tier,case_id,workload,stressor,rows_5hz,cols_total,numeric_cols,nan_fraction,file_bytes
tier0,BROWSER__ATOMIC,BROWSER,ATOMIC,5000,54,51,0.0,2532304
tier0,BROWSER__BRANCH,BROWSER,BRANCH,5000,54,51,0.0,2610228
tier0,BROWSER__CACHE,BROWSER,CACHE,5000,54,51,0.0,2576445
tier0,BROWSER__MEMBW,BROWSER,MEMBW,5000,54,51,0.0,2572359
tier0,BROWSER__NOMINAL,BROWSER,NOMINAL,5000,54,51,0.0,2571830
tier0,BROWSER__TLB,BROWSER,TLB,5000,54,51,0.0,2579347
tier0,PY_AI__ATOMIC,PY_AI,ATOMIC,5000,54,51,0.0,2422063
tier0,PY_AI__BRANCH,PY_AI,BRANCH,5000,54,51,0.0,2415433
tier0,PY_AI__CACHE,PY_AI,CACHE,5000,54,51,0.0,2414005
tier0,PY_AI__MEMBW,PY_AI,MEMBW,5000,54,51,0.0,2415070
tier0,PY_AI__NOMINAL,PY_AI,NOMINAL,5000,54,51,0.0,2413918
tier0,PY_AI__TLB,PY_AI,TLB,5000,54,51,0.0,2415281
tier0,PY_STATS__ATOMIC,PY_STATS,ATOMIC,5000,54,51,0.0,2436760
tier0,PY_STATS__BRANCH,PY_STATS,BRANCH,5000,54,51,0.0,2370919
tier0,PY_STATS__CACHE,PY_STATS,CACHE,5000,54,51,0.0,2391179
tier0,PY_STATS__MEMBW,PY_STATS,MEMBW,5000,54,51,0.0,2413193
tier0,PY_STATS__NOMINAL,PY_STATS,NOMINAL,5000,54,51,0.0,2384177
tier0,PY_STATS__TLB,PY_STATS,TLB,5000,54,51,0.0,2401911
tier0,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,5000,54,51,0.0,2473987
tier0,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,5000,54,51,0.0,2376737
tier0,VIDEO_SW__CACHE,VIDEO_SW,CACHE,5000,54,51,0.0,2361891
tier0,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,5000,54,51,0.0,2444521
tier0,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,5000,54,51,0.0,2377409
tier0,VIDEO_SW__TLB,VIDEO_SW,TLB,5000,54,51,0.0,2367145
tier1_alt,BROWSER__ATOMIC,BROWSER,ATOMIC,5000,14,13,0.0,639271
tier1_alt,BROWSER__BRANCH,BROWSER,BRANCH,5000,14,13,0.0,624957
