config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second,feature_profile,diagnosis_target,diagnosis_mode,family_acc,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau
tier0,20,0.4,0.6,0.4,0.3224242424242424,0.02381130779803228,0.01822786862907147,full,feature_level,whole_run,,,,,,,,,,,
tier0_tier1,20,0.2,0.35,0.2,0.1641025641025641,0.01337775065314441,0.011184353311806144,full,feature_level,whole_run,,,,,,,,,,,
tier0_tier1_tier2,20,0.3,0.4,0.3,0.2,0.023668645405303473,0.02129448284007203,full,feature_level,whole_run,,,,,,,,,,,
tier0,20,0.3,0.55,0.3,0.2765367965367965,0.015980828166171086,0.01340483346771254,full,feature_level,post_alert_window,,,,,,,,,,,
tier0_tier1,20,0.2,0.45,0.2,0.18,0.02860135295727335,0.018773570081393964,full,feature_level,post_alert_window,,,,,,,,,,,
tier0_tier1_tier2,20,0.2,0.3,0.2,0.18888888888888888,0.015508835901400411,0.015245840772674699,full,feature_level,post_alert_window,,,,,,,,,,,
tier0,20,0.45,0.65,0.45,0.43555555555555553,0.011925597055759147,0.01105585813767207,full,hierarchical,whole_run,0.45,0.45,0.55,0.5555555555555556,0.7777777777777778,0.45,0.43,0.012341506805167856,0.010158680329562842,0.011432294202428233,0.12363404303120488
tier0_tier1,20,0.2,0.5,0.2,0.19047619047619047,-0.0015377355226680795,0.004605273907176827,full,hierarchical,whole_run,0.55,0.6,0.4,0.25,0.5,0.2333333333333333,0.2571428571428571,0.022783414531524465,0.023487293032779487,0.011152983951714955,0.018458310151854895
tier0_tier1_tier2,20,0.25,0.4,0.25,0.18,0.014191728582591245,0.01730153567942684,full,hierarchical,whole_run,0.4,0.65,0.35,0.23076923076923078,0.38461538461538464,0.3333333333333333,0.18888888888888888,0.019781007665720406,0.014241759505608605,0.00977729151890968,0.08559720784312273
tier0,20,0.3,0.55,0.3,0.22575757575757574,0.002838891665330366,0.01340483346771254,full,hierarchical,post_alert_window,0.45,0.9,0.1,0.2777777777777778,0.5555555555555556,0.26666666666666666,0.20353535353535354,0.012341506805167856,0.010158680329562842,0.011432294202428233,-0.07008472074868778
tier0_tier1,20,0.25,0.45,0.25,0.20757020757020755,-0.0005957029802395083,0.014967181232788812,full,hierarchical,post_alert_window,0.55,0.4,0.6,0.375,0.5,0.3333333333333333,0.2333333333333333,0.022783414531524465,0.023487293032779487,0.011152983951714955,0.025160236870313105
tier0_tier1_tier2,20,0.3,0.5,0.3,0.25897435897435894,0.002538517169634627,0.0028726214764361324,full,hierarchical,post_alert_window,0.4,0.75,0.25,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.22666666666666666,0.019781007665720406,0.014241759505608605,0.00977729151890968,-0.06810387470727713
