config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,conf_0.00,0.0,15,0.75,0.25,0.4666666666666667,0.6666666666666666,0.45,0.4133333333333333,full
tier0,conf_0.05,0.05,14,0.7,0.30000000000000004,0.5,0.7142857142857143,0.4833333333333333,0.4222222222222222,full
tier0,conf_0.10,0.1,8,0.4,0.6,0.5,0.625,0.3125,0.2333333333333333,full
tier0,trained,0.12363404303120488,5,0.25,0.75,0.6,0.8,0.375,0.15,full
tier0,conf_0.15,0.15,5,0.25,0.75,0.6,0.8,0.375,0.15,full
tier0,conf_0.20,0.2,5,0.25,0.75,0.6,0.8,0.375,0.15,full
tier0,conf_0.25,0.25,4,0.2,0.8,0.75,1.0,0.5,0.17142857142857143,full
tier0_tier1,conf_0.00,0.0,14,0.7,0.30000000000000004,0.14285714285714285,0.42857142857142855,0.13333333333333333,0.12380952380952381,full
tier0_tier1,trained,0.018458310151854895,10,0.5,0.5,0.1,0.3,0.1,0.08,full
tier0_tier1,conf_0.05,0.05,7,0.35,0.65,0.0,0.2857142857142857,0.0,0.0,full
tier0_tier1,conf_0.10,0.1,5,0.25,0.75,0.0,0.2,0.0,0.0,full
tier0_tier1,conf_0.15,0.15,4,0.2,0.8,0.0,0.25,0.0,0.0,full
tier0_tier1,conf_0.20,0.2,1,0.05,0.95,0.0,0.0,0.0,0.0,full
tier0_tier1,conf_0.25,0.25,0,0.0,1.0,,,,,full
tier0_tier1_tier2,conf_0.00,0.0,17,0.85,0.15000000000000002,0.23529411764705882,0.35294117647058826,0.25,0.17230769230769233,full
tier0_tier1_tier2,conf_0.05,0.05,15,0.75,0.25,0.26666666666666666,0.3333333333333333,0.25,0.18,full
tier0_tier1_tier2,trained,0.08559720784312273,10,0.5,0.5,0.3,0.4,0.2,0.10909090909090909,full
tier0_tier1_tier2,conf_0.10,0.1,10,0.5,0.5,0.3,0.4,0.2,0.10909090909090909,full
tier0_tier1_tier2,conf_0.15,0.15,5,0.25,0.75,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.20,0.2,3,0.15,0.85,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.25,0.25,2,0.1,0.9,0.0,0.0,0.0,0.0,full
