config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,conf_0.00,0.0,12,0.6,0.4,0.5,0.5,0.4333333333333333,0.3666666666666666,mixed
tier0,trained,0.03782159192791079,9,0.45,0.55,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21333333333333332,mixed
tier0,conf_0.05,0.05,9,0.45,0.55,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21333333333333332,mixed
tier0,conf_0.10,0.1,7,0.35,0.65,0.42857142857142855,0.42857142857142855,0.41666666666666663,0.2333333333333333,mixed
tier0,conf_0.15,0.15,6,0.3,0.7,0.5,0.5,0.41666666666666663,0.2333333333333333,mixed
tier0,conf_0.20,0.2,4,0.2,0.8,0.5,0.5,0.3333333333333333,0.13333333333333333,mixed
tier0,conf_0.25,0.25,1,0.05,0.95,1.0,1.0,1.0,0.2,mixed
tier0_tier1,conf_0.00,0.0,13,0.65,0.35,0.3076923076923077,0.6923076923076923,0.26666666666666666,0.24888888888888888,mixed
tier0_tier1,trained,0.03983409894071789,9,0.45,0.55,0.3333333333333333,0.7777777777777778,0.26666666666666666,0.2,mixed
tier0_tier1,conf_0.05,0.05,7,0.35,0.65,0.14285714285714285,0.7142857142857143,0.2,0.06666666666666667,mixed
tier0_tier1,conf_0.10,0.1,5,0.25,0.75,0.2,0.6,0.25,0.08,mixed
tier0_tier1,conf_0.15,0.15,3,0.15,0.85,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1,mixed
tier0_tier1,conf_0.20,0.2,1,0.05,0.95,0.0,0.0,0.0,0.0,mixed
tier0_tier1,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
tier0_tier1_tier2,conf_0.00,0.0,16,0.8,0.19999999999999996,0.3125,0.75,0.26666666666666666,0.24666666666666667,mixed
tier0_tier1_tier2,conf_0.05,0.05,6,0.3,0.7,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1,mixed
tier0_tier1_tier2,conf_0.10,0.1,4,0.2,0.8,0.5,0.5,0.3333333333333333,0.13333333333333333,mixed
tier0_tier1_tier2,trained,0.1120236945423522,4,0.2,0.8,0.5,0.5,0.3333333333333333,0.13333333333333333,mixed
tier0_tier1_tier2,conf_0.15,0.15,3,0.15,0.85,0.6666666666666666,0.6666666666666666,0.5,0.16,mixed
tier0_tier1_tier2,conf_0.20,0.2,1,0.05,0.95,0.0,0.0,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
