config,n_cases,top1_acc,top2_acc,balanced_acc,macro_f1,mean_margin_to_second,median_margin_to_second,feature_profile,diagnosis_target,diagnosis_mode,family_acc,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,mean_family_margin,median_family_margin,family_margin_tau,confidence_tau,status,min_class_count,min_group_count,group_key,include_workload
tier0,20,0.3,0.55,0.3,0.23896103896103896,0.026338300997089364,0.020372939737092047,mixed,feature_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1,20,0.3,0.7,0.3,0.21611721611721615,0.0202757207681566,0.016723735800413003,mixed,feature_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1_tier2,20,0.55,0.7,0.55,0.5532600732600732,0.019271175790172013,0.016577368564312064,mixed,feature_level,whole_run,,,,,,,,,,,,,,,,
tier0,20,0.15,0.55,0.15,0.11333333333333333,0.016387312286974372,0.00940881353842607,mixed,feature_level,post_alert_window,,,,,,,,,,,,,,,,
tier0_tier1,20,0.15,0.25,0.15,0.11868131868131868,0.0826315417464377,0.05733981822014518,mixed,feature_level,post_alert_window,,,,,,,,,,,,,,,,
tier0_tier1_tier2,20,0.15,0.45,0.15,0.15064935064935064,0.06270884999259983,0.021101280699247146,mixed,feature_level,post_alert_window,,,,,,,,,,,,,,,,
tier0,20,0.4,0.65,0.4,0.3181818181818182,-0.010577693413513414,-0.008827534836072487,mixed,hierarchical,whole_run,0.45,0.35,0.65,0.5714285714285714,0.8571428571428571,0.41666666666666663,0.2742857142857143,0.014524043292928519,0.01593505455641058,0.013377991733365721,0.10606675411075947,,,,,
tier0_tier1,20,0.25,0.7,0.25,0.20161616161616164,0.004971509895871878,0.005555921798361119,mixed,hierarchical,whole_run,0.5,0.55,0.45,0.36363636363636365,0.7272727272727273,0.4666666666666666,0.28095238095238095,0.020289565291120113,0.01751772389864607,0.01736263428108744,0.02875087905387593,,,,,
tier0_tier1_tier2,20,0.45,0.7,0.45,0.4238095238095238,0.007374031589111667,0.007073502890353162,mixed,hierarchical,whole_run,0.3,0.4,0.6,0.625,1.0,0.5,0.43809523809523804,0.02014796659954896,0.013558405920814066,0.02058860042025322,0.12498797837042248,,,,,
tier0,20,0.35,0.6,0.35,0.29653679653679654,-0.018653646171877734,-0.0029060582247013994,mixed,hierarchical,post_alert_window,0.45,0.45,0.55,0.2222222222222222,0.4444444444444444,0.13333333333333333,0.14666666666666667,0.014524043292928519,0.01593505455641058,0.013377991733365721,-0.08144630641337491,,,,,
tier0_tier1,20,0.25,0.3,0.25,0.17575757575757572,-0.014219907601807075,0.004399035421964043,mixed,hierarchical,post_alert_window,0.5,0.65,0.35,0.23076923076923078,0.23076923076923078,0.2333333333333333,0.18888888888888888,0.020289565291120113,0.01751772389864607,0.01736263428108744,-0.08335028263935601,,,,,
tier0_tier1_tier2,20,0.15,0.45,0.15,0.11272727272727275,0.0017959845566684618,0.011052592450555801,mixed,hierarchical,post_alert_window,0.3,0.3,0.7,0.0,0.16666666666666666,0.0,0.0,0.02014796659954896,0.013558405920814066,0.02058860042025322,0.26343495101518144,,,,,
tier0,20,0.55,0.8,0.47222222222222215,0.39855072463768115,0.03332277397684671,0.03491641760234657,mixed,family_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1,20,0.5,0.75,0.4444444444444445,0.3567447045707916,0.025679861947523596,0.029229577787997535,mixed,family_level,whole_run,,,,,,,,,,,,,,,,
tier0_tier1_tier2,20,0.55,0.75,0.5833333333333334,0.5310391363022942,0.026703325874466333,0.028361561338672236,mixed,family_level,whole_run,,,,,,,,,,,,,,,,
tier0,20,,,,,,,mixed,supervised,whole_run,,,,,,,,,,,,skipped_insufficient_samples,4.0,4.0,base_case_id,1.0
tier0_tier1,20,,,,,,,mixed,supervised,whole_run,,,,,,,,,,,,skipped_insufficient_samples,4.0,4.0,base_case_id,1.0
tier0_tier1_tier2,20,,,,,,,mixed,supervised,whole_run,,,,,,,,,,,,skipped_insufficient_samples,4.0,4.0,base_case_id,1.0
