config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,trained,-0.0354130307648888,11,0.55,0.44999999999999996,0.2727272727272727,0.5454545454545454,0.2,0.19047619047619047,mixed
tier0,conf_0.00,0.0,10,0.5,0.5,0.3,0.5,0.2,0.19047619047619047,mixed
tier0,conf_0.05,0.05,7,0.35,0.65,0.2857142857142857,0.42857142857142855,0.3,0.21333333333333332,mixed
tier0,conf_0.10,0.1,5,0.25,0.75,0.4,0.6,0.375,0.2333333333333333,mixed
tier0,conf_0.15,0.15,2,0.1,0.9,0.5,1.0,0.5,0.2,mixed
tier0,conf_0.20,0.2,0,0.0,1.0,,,,,mixed
tier0,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
tier0_tier1,trained,-0.10343092557845902,11,0.55,0.44999999999999996,0.2727272727272727,0.36363636363636365,0.25,0.12,mixed
tier0_tier1,conf_0.00,0.0,9,0.45,0.55,0.1111111111111111,0.2222222222222222,0.25,0.06666666666666667,mixed
tier0_tier1,conf_0.05,0.05,6,0.3,0.7,0.16666666666666666,0.16666666666666666,0.25,0.08,mixed
tier0_tier1,conf_0.10,0.1,6,0.3,0.7,0.16666666666666666,0.16666666666666666,0.25,0.08,mixed
tier0_tier1,conf_0.15,0.15,5,0.25,0.75,0.2,0.2,0.25,0.08,mixed
tier0_tier1,conf_0.20,0.2,4,0.2,0.8,0.0,0.0,0.0,0.0,mixed
tier0_tier1,conf_0.25,0.25,2,0.1,0.9,0.0,0.0,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.00,0.0,13,0.65,0.35,0.07692307692307693,0.3076923076923077,0.06666666666666667,0.05714285714285714,mixed
tier0_tier1_tier2,conf_0.05,0.05,9,0.45,0.55,0.0,0.3333333333333333,0.0,0.0,mixed
tier0_tier1_tier2,trained,0.08750116531872884,8,0.4,0.6,0.0,0.25,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.10,0.1,8,0.4,0.6,0.0,0.25,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.15,0.15,7,0.35,0.65,0.0,0.2857142857142857,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.20,0.2,7,0.35,0.65,0.0,0.2857142857142857,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.25,0.25,6,0.3,0.7,0.0,0.3333333333333333,0.0,0.0,mixed
