config,holdout_workload,case_id,base_case_id,repeat_tag,repeat_index,workload,stressor,label_name,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,BROWSER__ATOMIC,BROWSER__ATOMIC,,0,BROWSER,ATOMIC,ANOMALY,synchronization,1,peak_window,5,"538,539,540,541,542",538,0.0047470824792337695,0.0047269494688354854,0.0047470824792337695,tier0,0.002789243582705235,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0008720374613660604,0.3126429928074936,0.0016125396167271772,0.5781279292800974,0.0,0.0,0.0001642864069278395,0.05889998562567318,0.00014038009768415705,0.05032909228673569,tier0:net_sent_Pps,0.00021779215944339535,tier0:cpu_times_idle_pct,0.00019817080313513173,tier0:net_recv_Pps,0.0001517697957860684,tier0:mem_free_bytes,0.0001225897872800682,tier0:net_recv_Bps,0.00012207231496912704,memory_io,0.0016125396167271772,compute,0.0008720374613660604,scheduler_runtime,0.0001642864069278395,mixed
tier0,ALL,BROWSER__BRANCH,BROWSER__BRANCH,,0,BROWSER,BRANCH,ANOMALY,control_flow,1,post_persist,5,"2,3,4,5,6",22,0.02050193831071092,0.019989652707017806,0.020025338493859738,tier0,0.00683425824169233,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0013421989021858553,0.19639276929832453,0.004391040932513865,0.6425043914387605,0.0,0.0,0.00042248620593419463,0.06181888231217563,0.000678532201058416,0.09928395695073919,tier0:net_sent_Pps,0.0006944248285984841,tier0:net_recv_Pps,0.0004417958895721161,tier0:net_recv_Bps,0.0003431733495474216,tier0:interrupts,0.0003250986422751261,tier0:mem_used_bytes,0.00032246324676012616,memory_io,0.004391040932513865,compute,0.0013421989021858553,platform_pressure,0.000678532201058416,mixed
tier0,ALL,BROWSER__CACHE,BROWSER__CACHE,,0,BROWSER,CACHE,ANOMALY,memory_pressure,1,peak_window,5,"540,541,542,543,544",540,0.007670005221093808,0.007418605785386665,0.007670005221093808,tier0,0.004108311670034582,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0011907414204672304,0.2898371681857348,0.0023715301004481504,0.5772517498479338,0.0,0.0,0.0002959213091773867,0.07202990740351879,0.00025011883994181507,0.060881174562812466,tier0:cpu_times_idle_pct,0.00025152464985481085,tier0:net_recv_Bps,0.00023491830091405531,tier0:net_recv_Pps,0.00021904963738544848,tier0:disk_write_Bps,0.00016966647667510137,tier0:disk_write_IOPS,0.00015730209494900014,memory_io,0.0023715301004481504,compute,0.0011907414204672304,scheduler_runtime,0.0002959213091773867,mixed
tier0,ALL,BROWSER__MEMBW,BROWSER__MEMBW,,0,BROWSER,MEMBW,ANOMALY,memory_pressure,1,peak_window,5,"6,7,8,9,10",6,0.010408933501971885,0.010388286990041693,0.010408933501971885,tier0,0.00560676245752139,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0011566812230622305,0.20630109297934662,0.003932667521168681,0.7014150413832968,0.0,0.0,0.00023878802331140872,0.04258928840316358,0.0002786256899790728,0.04969457723419341,tier0:net_sent_Pps,0.0010016597158015793,tier0:net_recv_Pps,0.000485060734242689,tier0:net_recv_Bps,0.000332798809182513,tier0:net_sent_Bps,0.00026481042436920333,tier0:cpu_times_idle_pct,0.00022197239393282616,memory_io,0.003932667521168681,compute,0.0011566812230622305,platform_pressure,0.0002786256899790728,mixed
tier0,ALL,BROWSER__NOMINAL,BROWSER__NOMINAL,,0,BROWSER,NOMINAL,NOMINAL,benign,0,peak_window_backfill,3,"877,878,879",879,0.004274095468086745,0.004255420451640721,0.004274095468086745,tier0,0.001851578746618496,0.0,0.0,0.9999999999999998,0.0,0.0,compute,0.0007538840481810887,0.4071574323035912,0.0007471971142720445,0.403545955383554,0.0,0.0,9.902020422696345e-05,0.053478797165825216,0.0002514773799383995,0.13581781514702948,tier0:cpu_times_idle_pct,0.0002341854981980288,tier0:net_sent_Bps,0.00012257463114289434,tier0:net_sent_Pps,0.00011288009381111311,tier0:load5,8.528603457996046e-05,tier0:load15,8.513621103316435e-05,compute,0.0007538840481810887,memory_io,0.0007471971142720445,platform_pressure,0.0002514773799383995,mixed
tier0,ALL,BROWSER__TLB,BROWSER__TLB,,0,BROWSER,TLB,ANOMALY,memory_pressure,1,peak_window,5,"114,115,116,117,118",114,0.008840864145284911,0.008829813531926295,0.008840864145284911,tier0,0.004831834114986773,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0010409539320902481,0.2154366038481223,0.0033692023751447494,0.6972926418758009,0.0,0.0,0.0003115418652636602,0.06447693729744548,0.0001101359424881157,0.022793816978631348,tier0:net_recv_Pps,0.00036760684916761906,tier0:net_sent_Pps,0.00035998071258068194,tier0:net_recv_Bps,0.0003365135711510386,tier0:cpu_times_idle_pct,0.00025604387487083096,tier0:interrupts,0.00022027200135922432,memory_io,0.0033692023751447494,compute,0.0010409539320902481,scheduler_runtime,0.0003115418652636602,mixed
tier0,ALL,PY_AI__ATOMIC,PY_AI__ATOMIC,,0,PY_AI,ATOMIC,ANOMALY,synchronization,1,peak_window,5,"333,334,335,336,337",333,0.010417560152680848,0.010396709875598561,0.010417560152680848,tier0,0.003243280282818523,0.0,0.0,1.0,0.0,0.0,memory_io,0.000936471863908783,0.28874219378133936,0.0018366558755418727,0.5662957608911171,0.0,0.0,0.0002523020968743784,0.07779225810700491,0.00021785044649348895,0.06716978722053876,tier0:cpu_times_idle_pct,0.00023232250494691574,tier0:mem_used_bytes,0.00020685810945776452,tier0:interrupts,0.0001559812559840802,tier0:mem_wired_bytes,0.00015155676663991898,tier0:mem_active_bytes,0.00014228747309059318,memory_io,0.0018366558755418727,compute,0.000936471863908783,scheduler_runtime,0.0002523020968743784,mixed
tier0,ALL,PY_AI__BRANCH,PY_AI__BRANCH,,0,PY_AI,BRANCH,ANOMALY,control_flow,1,peak_window,5,"520,521,522,523,524",520,0.008460374499981178,0.00844609430105205,0.008460374499981178,tier0,0.004965337049583303,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0013052041230181602,0.26286314705014724,0.0031579385206324884,0.635996809299684,0.0,0.0,0.00019411575597894637,0.03909417508630895,0.0003080786499537084,0.062045868563859664,tier0:swap_sin_bytes,0.0003061852540425809,tier0:net_recv_Pps,0.0003019853822447558,tier0:net_recv_Bps,0.0002927621659518118,tier0:disk_write_IOPS,0.000251499916728743,tier0:disk_write_Bps,0.00024832568293250854,memory_io,0.0031579385206324884,compute,0.0013052041230181602,platform_pressure,0.0003080786499537084,mixed
tier0,ALL,PY_AI__CACHE,PY_AI__CACHE,,0,PY_AI,CACHE,ANOMALY,memory_pressure,1,peak_window,5,"728,729,730,731,732",728,0.00517473016747221,0.005156099102815474,0.00517473016747221,tier0,0.0033325472674807406,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.001329073854712307,0.3988162051537918,0.001536132403831032,0.46094842189358676,0.0,0.0,0.0002095329753954645,0.06287471971968825,0.0002578080335419371,0.07736065323293335,tier0:cpu_times_idle_pct,0.00021061425084911833,tier0:net_sent_Bps,0.00020035698042920053,tier0:net_sent_Pps,0.00017009346622307974,tier0:cpu_times_user_pct,0.000141371247587637,tier0:cpu_pct,0.00013841865184038564,memory_io,0.001536132403831032,compute,0.001329073854712307,platform_pressure,0.0002578080335419371,mixed
tier0,ALL,PY_AI__MEMBW,PY_AI__MEMBW,,0,PY_AI,MEMBW,ANOMALY,memory_pressure,1,peak_window,5,"744,745,746,747,748",744,0.008691217992669609,0.00867305203934365,0.008691217992669609,tier0,0.005146518889811515,0.0,0.0,1.0000000000000004,0.0,0.0,memory_io,0.001224703126041759,0.23796728473420847,0.0035314608740182815,0.686184380088347,0.0,0.0,0.0002600186262457946,0.05052320448304378,0.00013033626350567872,0.02532513069440073,tier0:net_recv_Pps,0.00033018396843443026,tier0:net_recv_Bps,0.0003109592613702114,tier0:swap_sin_bytes,0.0003065707888015357,tier0:disk_write_IOPS,0.00028860138871762865,tier0:net_sent_Pps,0.0002803539940272801,memory_io,0.0035314608740182815,compute,0.001224703126041759,scheduler_runtime,0.0002600186262457946,mixed
tier0,ALL,PY_AI__NOMINAL,PY_AI__NOMINAL,,0,PY_AI,NOMINAL,NOMINAL,benign,0,peak_window,5,"169,170,171,172,173",169,0.004520558303760816,0.004507722453548167,0.004520558303760816,tier0,0.0022135066330528966,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0009587082342158832,0.4331173983850325,0.0009710715041133564,0.43870277577349853,0.0,0.0,0.0001343419955701503,0.06069193268459473,0.0001493848991535071,0.0674878931568746,tier0:cpu_times_idle_pct,0.0002357606615955674,tier0:net_sent_Bps,0.0001229122665329043,tier0:cpu_pct,0.00011202155649722649,tier0:net_sent_Pps,0.0001097027389862792,tier0:cpu_times_user_pct,0.00010735524404898084,memory_io,0.0009710715041133564,compute,0.0009587082342158832,platform_pressure,0.0001493848991535071,mixed
tier0,ALL,PY_AI__TLB,PY_AI__TLB,,0,PY_AI,TLB,ANOMALY,memory_pressure,1,peak_window,5,"723,724,725,726,727",723,0.006627732863441604,0.00661384932755806,0.006627732863441604,tier0,0.0037950692057388997,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0012068555185349547,0.31800619517292306,0.002270134919811468,0.5981801112819161,0.0,0.0,0.00016944887238256755,0.0446497450234444,0.00014862989500990975,0.039163948521716486,tier0:cpu_times_idle_pct,0.00021401401853175063,tier0:net_recv_Pps,0.0002007683554063009,tier0:swap_sin_bytes,0.00019347551175856334,tier0:net_recv_Bps,0.00019182393027457922,tier0:net_sent_Pps,0.00018100008439187612,memory_io,0.002270134919811468,compute,0.0012068555185349547,scheduler_runtime,0.00016944887238256755,mixed
tier0,ALL,PY_STATS__ATOMIC,PY_STATS__ATOMIC,,0,PY_STATS,ATOMIC,ANOMALY,synchronization,1,post_persist,5,"2,3,4,5,6",879,0.021521961144956085,0.0192477588706287,0.01925399781130351,tier0,0.008876084953017421,0.0,0.0,1.0,0.0,0.0,memory_io,0.0018544997004340217,0.20893217113740956,0.00581927960560943,0.6556133291210973,0.0,0.0,0.0008408656842798134,0.09473384816962138,0.000361439962694157,0.04072065157187186,tier0:interrupts,0.0006475232416348937,tier0:net_sent_Bps,0.0006149052211150343,tier0:mem_wired_bytes,0.0005973534434640896,tier0:net_sent_Pps,0.0005932961676335883,tier0:mem_used_bytes,0.0005897193848529845,memory_io,0.00581927960560943,compute,0.0018544997004340217,scheduler_runtime,0.0008408656842798134,mixed
tier0,ALL,PY_STATS__BRANCH,PY_STATS__BRANCH,,0,PY_STATS,BRANCH,ANOMALY,control_flow,1,post_persist,5,"330,331,332,333,334",879,0.016095361545251246,0.013966746662001006,0.013972077012844794,tier0,0.0066451444911176764,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0015287305784800714,0.23005227057492433,0.004232372129015165,0.6369119790656808,0.0,0.0,0.0005259397856371377,0.07914647850624504,0.00035810199798530095,0.05388927185314976,tier0:net_sent_Bps,0.00047108695637246794,tier0:interrupts,0.0004428091749029116,tier0:net_sent_Pps,0.0004426305564940248,tier0:mem_wired_bytes,0.00040780561650882393,tier0:mem_active_bytes,0.00038865610808200095,memory_io,0.004232372129015165,compute,0.0015287305784800714,scheduler_runtime,0.0005259397856371377,mixed
