stage,status,gain,block_B,alpha,persist_k,roc_auc_wc,pr_auc_wc,pr_auc,roc_auc,anomaly_detect_rate,benign_run_alert_rate,benign_run_keep_rate,median_time_to_detect_s,diag_source,diag_top1_acc,diag_top2_acc,diag_macro_f1,diag_selective_top2_acc,diag_selective_coverage,diag_mechanism_top1_proxy,diag_mechanism_top2_proxy,diag_mechanism_top3_proxy,feature_profile,selection_mode,out_dir,diag_strong_score,has_diag_over_0_8,alert_utility
gain_block,ok,0.1,20,0.05,3,1.0,1.0000000000000002,0.9665614298412286,0.8625,0.7,0.25,0.75,36.0,feature-level,0.4,0.8,0.4126984126984127,1.0,0.05,0.9166666666666666,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.1_B20_a0.05_k3,1.0,1,0.6712698412698411
gain_block,ok,0.1,30,0.05,3,1.0,1.0000000000000002,0.9665614298412286,0.8625,0.55,0.0,1.0,37.0,feature-level,0.4,0.8,0.4126984126984127,1.0,0.05,0.9166666666666666,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.1_B30_a0.05_k3,1.0,1,0.7712698412698412
gain_block,ok,0.1,45,0.05,3,1.0,1.0000000000000002,0.964180477460276,0.8625,0.5,0.0,1.0,51.5,feature-level,0.35,0.75,0.352014652014652,1.0,0.05,0.9166666666666666,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.1_B45_a0.05_k3,1.0,1,0.6977014652014653
gain_block,ok,0.1,60,0.05,3,1.0,1.0000000000000002,0.9591804774602762,0.85,0.45,0.0,1.0,62.0,feature-level,0.3,0.7,0.2742368742368742,1.0,0.05,0.8666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.1_B60_a0.05_k3,1.0,1,0.6224236874236874
gain_block,ok,0.1,90,0.05,3,1.0,1.0000000000000002,0.9473749219047206,0.825,0.45,0.0,1.0,92.0,feature-level,0.3,0.7,0.2742368742368742,1.0,0.05,0.8666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.1_B90_a0.05_k3,1.0,1,0.6224236874236874
gain_block,ok,0.1,120,0.05,3,1.0,1.0000000000000002,0.9402320647618636,0.8125,0.45,0.0,1.0,122.0,feature-level,0.4,0.65,0.3533333333333333,0.7,,0.9666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.1_B120_a0.05_k3,1.0,1,0.6503333333333333
gain_block,ok,0.15,20,0.05,3,1.0,1.0000000000000002,0.962015975295774,0.85,0.7,0.25,0.75,36.0,feature-level,0.45,0.75,0.4758241758241757,1.0,0.05,0.9166666666666666,0.9833333333333333,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.15_B20_a0.05_k3,1.0,1,0.6850824175824175
gain_block,ok,0.15,30,0.05,3,1.0,1.0000000000000002,0.962015975295774,0.85,0.55,0.0,1.0,38.0,feature-level,0.5,0.8,0.5285714285714286,1.0,0.05,0.8833333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.15_B30_a0.05_k3,1.0,1,0.8078571428571429
gain_block,ok,0.15,45,0.05,3,1.0,1.0000000000000002,0.9591804774602762,0.85,0.5,0.0,1.0,64.0,feature-level,0.45,0.75,0.4758241758241757,0.75,,0.8833333333333333,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.15_B45_a0.05_k3,1.0,1,0.7350824175824175
gain_block,ok,0.15,60,0.05,3,1.0,1.0000000000000002,0.9591804774602762,0.85,0.45,0.0,1.0,62.0,feature-level,0.4,0.75,0.378998778998779,0.75,0.8,0.8666666666666667,1.0,1.0,mixed,diagnosis_low_fp,/Users/hsiaopingni/Documents/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning/runs/g0.15_B60_a0.05_k3,1.0,1,0.6628998778998779
