config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,conf_0.00,0.0,15,0.75,0.25,0.3333333333333333,0.4,0.35,0.24242424242424238,full
tier0,conf_0.05,0.05,10,0.5,0.5,0.5,0.5,0.35,0.29333333333333333,full
tier0,conf_0.10,0.1,6,0.3,0.7,0.5,0.5,0.4,0.26,full
tier0,trained,0.12478164254546678,5,0.25,0.75,0.6,0.6,0.5,0.29333333333333333,full
tier0,conf_0.15,0.15,5,0.25,0.75,0.6,0.6,0.5,0.29333333333333333,full
tier0,conf_0.20,0.2,3,0.15,0.85,0.6666666666666666,0.6666666666666666,0.5,0.2,full
tier0,conf_0.25,0.25,3,0.15,0.85,0.6666666666666666,0.6666666666666666,0.5,0.2,full
tier0_tier1,conf_0.00,0.0,18,0.9,0.09999999999999998,0.2777777777777778,0.5555555555555556,0.3,0.34571428571428575,full
tier0_tier1,trained,0.02953600081019052,14,0.7,0.30000000000000004,0.2857142857142857,0.6428571428571429,0.26666666666666666,0.2963636363636364,full
tier0_tier1,conf_0.05,0.05,12,0.6,0.4,0.25,0.5833333333333334,0.2,0.2,full
tier0_tier1,conf_0.10,0.1,5,0.25,0.75,0.0,0.6,0.0,0.0,full
tier0_tier1,conf_0.15,0.15,2,0.1,0.9,0.0,1.0,0.0,0.0,full
tier0_tier1,conf_0.20,0.2,1,0.05,0.95,0.0,1.0,0.0,0.0,full
tier0_tier1,conf_0.25,0.25,1,0.05,0.95,0.0,1.0,0.0,0.0,full
tier0_tier1_tier2,conf_0.00,0.0,17,0.85,0.15000000000000002,0.23529411764705882,0.35294117647058826,0.2333333333333333,0.22666666666666666,full
tier0_tier1_tier2,trained,0.04356222789620698,13,0.65,0.35,0.23076923076923078,0.38461538461538464,0.2,0.2,full
tier0_tier1_tier2,conf_0.05,0.05,13,0.65,0.35,0.23076923076923078,0.38461538461538464,0.2,0.2,full
tier0_tier1_tier2,conf_0.10,0.1,11,0.55,0.44999999999999996,0.18181818181818182,0.2727272727272727,0.1,0.07272727272727272,full
tier0_tier1_tier2,conf_0.15,0.15,8,0.4,0.6,0.125,0.25,0.125,0.05714285714285714,full
tier0_tier1_tier2,conf_0.20,0.2,3,0.15,0.85,0.0,0.3333333333333333,0.0,0.0,full
tier0_tier1_tier2,conf_0.25,0.25,2,0.1,0.9,0.0,0.5,0.0,0.0,full
