config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,trained,-0.10498585549306252,16,0.8,0.19999999999999996,0.3125,0.6875,0.3333333333333333,0.24666666666666667,full
tier0,conf_0.00,0.0,14,0.7,0.30000000000000004,0.2857142857142857,0.6428571428571429,0.3,0.22222222222222218,full
tier0,conf_0.05,0.05,10,0.5,0.5,0.2,0.5,0.2,0.15714285714285714,full
tier0,conf_0.10,0.1,9,0.45,0.55,0.1111111111111111,0.4444444444444444,0.1,0.1,full
tier0,conf_0.15,0.15,7,0.35,0.65,0.14285714285714285,0.5714285714285714,0.125,0.1,full
tier0,conf_0.20,0.2,3,0.15,0.85,0.0,0.3333333333333333,0.0,0.0,full
tier0,conf_0.25,0.25,0,0.0,1.0,,,,,full
tier0_tier1,conf_0.00,0.0,11,0.55,0.44999999999999996,0.18181818181818182,0.45454545454545453,0.2,0.16666666666666666,full
tier0_tier1,conf_0.05,0.05,8,0.4,0.6,0.125,0.375,0.2,0.08,full
tier0_tier1,trained,0.05229642839400799,7,0.35,0.65,0.14285714285714285,0.42857142857142855,0.2,0.1,full
tier0_tier1,conf_0.10,0.1,6,0.3,0.7,0.16666666666666666,0.5,0.2,0.13333333333333333,full
tier0_tier1,conf_0.15,0.15,3,0.15,0.85,0.0,0.3333333333333333,0.0,0.0,full
tier0_tier1,conf_0.20,0.2,3,0.15,0.85,0.0,0.3333333333333333,0.0,0.0,full
tier0_tier1,conf_0.25,0.25,2,0.1,0.9,0.0,0.0,0.0,0.0,full
tier0_tier1_tier2,trained,-0.06616025563599236,15,0.75,0.25,0.3333333333333333,0.4,0.3666666666666666,0.3022222222222222,full
tier0_tier1_tier2,conf_0.00,0.0,14,0.7,0.30000000000000004,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.2704761904761905,full
tier0_tier1_tier2,conf_0.05,0.05,8,0.4,0.6,0.25,0.25,0.2,0.2,full
tier0_tier1_tier2,conf_0.10,0.1,8,0.4,0.6,0.25,0.25,0.2,0.2,full
tier0_tier1_tier2,conf_0.15,0.15,5,0.25,0.75,0.2,0.2,0.125,0.06666666666666667,full
tier0_tier1_tier2,conf_0.20,0.2,3,0.15,0.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,full
tier0_tier1_tier2,conf_0.25,0.25,2,0.1,0.9,0.5,0.5,0.5,0.13333333333333333,full
