config,workload,target_alpha,benign_block_false_alarm_rate,benign_persist_false_alarm_rate,benign_run_false_alarm_rate,feature_profile,profile_label,config_label
tier0,BROWSER,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0
tier0,PY_AI,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0
tier0,PY_STATS,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0
tier0,VIDEO_SW,0.05,0.08085106382978724,0.07872340425531915,1.0,mixed,Mixed,Tier-0
tier0_tier1,BROWSER,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0/1
tier0_tier1,PY_AI,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0/1
tier0_tier1,PY_STATS,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0/1
tier0_tier1,VIDEO_SW,0.05,0.0797872340425532,0.07765957446808511,1.0,mixed,Mixed,Tier-0/1
tier0_tier1_tier2,BROWSER,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0/1/2
tier0_tier1_tier2,PY_AI,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0/1/2
tier0_tier1_tier2,PY_STATS,0.05,0.0,0.0,0.0,mixed,Mixed,Tier-0/1/2
tier0_tier1_tier2,VIDEO_SW,0.05,0.07765957446808511,0.07553191489361702,1.0,mixed,Mixed,Tier-0/1/2
