case_id,workload,stressor,label,warning_available,original_anomaly_warning_s,original_warning_dominant_tier,original_warning_dominant_mechanism,original_top_feature_1,original_top_feature_2,original_case_id,pilot_root_name,pilot_root_path,pilot_root_mtime,crash_pilot_control_case_id,crash_pilot_abort_case_id,crash_pilot_anomaly_warning_s,crash_time_s,lead_time_s,anomaly_warning_shift_s,crash_pilot_warning_dominant_tier,crash_pilot_warning_dominant_mechanism,crash_pilot_warning_top_feature_1,crash_pilot_warning_top_feature_2,feature_storyboard_path,crash_peak_feature_1,crash_peak_feature_1_peak_abs_z,crash_peak_feature_1_first_divergence_s,crash_peak_feature_1_value_pre_crash,crash_peak_feature_2,crash_peak_feature_2_peak_abs_z,crash_peak_feature_2_first_divergence_s,crash_peak_feature_2_value_pre_crash,has_crash_pilot
BROWSER__ATOMIC,BROWSER,ATOMIC,1,0,,nan,nan,nan,nan,BROWSER__ATOMIC,,,,,,,,,,,,,,,,,,,,,,,0
BROWSER__BRANCH,BROWSER,BRANCH,1,1,30.0,tier0,memory_io,tier0:swap_sout_bytes,tier0:disk_read_IOPS,BROWSER__BRANCH,,,,,,,,,,,,,,,,,,,,,,,0
BROWSER__CACHE,BROWSER,CACHE,1,1,72.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,tier0:uptime_s,BROWSER__CACHE,,,,,,,,,,,,,,,,,,,,,,,0
BROWSER__MEMBW,BROWSER,MEMBW,1,1,30.0,tier0,memory_io,tier2:unique_thread_count,tier0:net_sent_Pps,BROWSER__MEMBW,,,,,,,,,,,,,,,,,,,,,,,0
BROWSER__TLB,BROWSER,TLB,1,1,999.0,tier0,memory_io,tier0:mem_inactive_bytes,tier0:syscalls,BROWSER__TLB,,,,,,,,,,,,,,,,,,,,,,,0
BROWSER__NOMINAL,BROWSER,NOMINAL,0,0,,nan,nan,nan,nan,BROWSER__NOMINAL,,,,,,,,,,,,,,,,,,,,,,,0
VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,1,1,80.0,tier0,memory_io,tier0:net_sent_Bps,tier0:uptime_s,VIDEO_SW__ATOMIC,,,,,,,,,,,,,,,,,,,,,,,0
VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,1,1,814.0,tier0,memory_io,tier0:uptime_s,tier0:ctx_switches,VIDEO_SW__BRANCH,,,,,,,,,,,,,,,,,,,,,,,0
VIDEO_SW__CACHE,VIDEO_SW,CACHE,1,0,,nan,nan,nan,nan,VIDEO_SW__CACHE,,,,,,,,,,,,,,,,,,,,,,,0
VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,1,30.0,tier0,memory_io,tier0:uptime_s,tier0:mem_inactive_bytes,VIDEO_SW__MEMBW,,,,,,,,,,,,,,,,,,,,,,,0
VIDEO_SW__TLB,VIDEO_SW,TLB,1,0,,nan,nan,nan,nan,VIDEO_SW__TLB,,,,,,,,,,,,,,,,,,,,,,,0
VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,0,0,,nan,nan,nan,nan,VIDEO_SW__NOMINAL,,,,,,,,,,,,,,,,,,,,,,,0
PY_AI__ATOMIC,PY_AI,ATOMIC,1,1,393.0,tier0,memory_io,tier0:mem_free_bytes,tier0:ctx_switches,PY_AI__ATOMIC,,,,,,,,,,,,,,,,,,,,,,,0
PY_AI__BRANCH,PY_AI,BRANCH,1,1,30.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,tier0:cpu_times_idle_pct,PY_AI__BRANCH,,,,,,,,,,,,,,,,,,,,,,,0
PY_AI__CACHE,PY_AI,CACHE,1,1,30.0,tier1_alt,compute,tier1_alt:gpu_avg_freq_mhz,tier1_alt:cpu_avg_freq_mhz,PY_AI__CACHE,data_workload_crash_pilot_real_py_ai_cache,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache,1774978623.527778,PY_AI__CACHE_CONTROL,PY_AI__CACHE_ABORT,62.0,214.779384,152.779384,32.0,tier0,memory_io,tier0:soft_interrupts,tier0:uptime_s,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/workload_crash_pilots/data_workload_crash_pilot_real_py_ai_cache/results_feature_crash_analysis/mixed/figures/fig_feature_storyboard__py_ai__cache.png,tier0:swap_sout_bytes,12.187434850324369,9.894371032714844e-05,12643549184.0,tier0:soft_interrupts,7.048802923088052,9.894371032714844e-05,2152684173.0,1
PY_AI__MEMBW,PY_AI,MEMBW,1,1,469.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,tier0:uptime_s,PY_AI__MEMBW,,,,,,,,,,,,,,,,,,,,,,,0
PY_AI__TLB,PY_AI,TLB,1,1,972.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,tier0:uptime_s,PY_AI__TLB,,,,,,,,,,,,,,,,,,,,,,,0
PY_AI__NOMINAL,PY_AI,NOMINAL,0,0,,nan,nan,nan,nan,PY_AI__NOMINAL,,,,,,,,,,,,,,,,,,,,,,,0
PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,1,30.0,tier0,memory_io,tier0:uptime_s,tier0:mem_inactive_bytes,PY_STATS__ATOMIC,,,,,,,,,,,,,,,,,,,,,,,0
PY_STATS__BRANCH,PY_STATS,BRANCH,1,1,30.0,tier0,memory_io,tier0:uptime_s,tier0:mem_free_bytes,PY_STATS__BRANCH,,,,,,,,,,,,,,,,,,,,,,,0
PY_STATS__CACHE,PY_STATS,CACHE,1,1,486.0,tier0,thermal_power,tier1_alt:ane_power_w,tier0:uptime_s,PY_STATS__CACHE,,,,,,,,,,,,,,,,,,,,,,,0
PY_STATS__MEMBW,PY_STATS,MEMBW,1,1,30.0,tier0,memory_io,tier0:uptime_s,tier0:mem_free_bytes,PY_STATS__MEMBW,,,,,,,,,,,,,,,,,,,,,,,0
PY_STATS__TLB,PY_STATS,TLB,1,1,351.0,tier0,memory_io,tier0:uptime_s,tier0:ctx_switches,PY_STATS__TLB,,,,,,,,,,,,,,,,,,,,,,,0
PY_STATS__NOMINAL,PY_STATS,NOMINAL,0,0,,nan,nan,nan,nan,PY_STATS__NOMINAL,,,,,,,,,,,,,,,,,,,,,,,0
