tier,tier_name,stressor,n_pos,n_neg,roc_auc,pr_auc,median_neg,median_pos,pos_neg_ratio
tier0,Tier-0,ATOMIC,4,4,1.0,1.0,0.8519805142180481,5.667459409014614,6.652099800908691
tier0,Tier-0,BRANCH,4,4,1.0,1.0,0.8519805142180481,3.5132497337618793,4.1236268613282006
tier0,Tier-0,CACHE,4,4,1.0,1.0,0.8519805142180481,2.457839013379469,2.8848535528214527
tier0,Tier-0,MEMBW,4,4,1.0,1.0,0.8519805142180481,4.0190079316950325,4.717253346315062
tier0,Tier-0,TLB,4,4,1.0,1.0,0.8519805142180481,2.867879184853267,3.3661323668676326
tier1_alt,Tier-1,ATOMIC,4,4,1.0,1.0,0.37362330469829697,3.8608197507440654,10.333455387241882
tier1_alt,Tier-1,BRANCH,4,4,1.0,1.0,0.37362330469829697,1.4489960223651392,3.878227091672812
tier1_alt,Tier-1,CACHE,4,4,1.0,1.0,0.37362330469829697,15.431281855420375,41.30171127264111
tier1_alt,Tier-1,MEMBW,4,4,0.8125,0.8928571428571428,0.37362330469829697,2.274704249389114,6.0882290284859595
tier1_alt,Tier-1,TLB,4,4,1.0,1.0,0.37362330469829697,1.893834002977493,5.06883264281843
tier2,Tier-2,ATOMIC,4,4,1.0,1.0,0.5795834474218171,73.02913653921468,126.00279884449243
tier2,Tier-2,BRANCH,4,4,1.0,1.0,0.5795834474218171,23.28867205924558,40.18174115013339
tier2,Tier-2,CACHE,4,4,1.0,1.0,0.5795834474218171,58.86868700280961,101.57068367734765
tier2,Tier-2,MEMBW,4,4,1.0,1.0,0.5795834474218171,66.56521162469629,114.85009090698843
tier2,Tier-2,TLB,4,4,1.0,1.0,0.5795834474218171,23.196376755183444,40.02249694729679
