tier_family,view,profile_variant,category_id,category_label,category_short,category_order,feature_count,features
Tier-0,Tier-0,base,t0_cpu_util,CPU utilization / core balance,CPU util / balance,0,13,"cpu0_pct, cpu10_pct, cpu11_pct, cpu1_pct, cpu2_pct, cpu3_pct, cpu4_pct, cpu5_pct, cpu6_pct, cpu7_pct, cpu8_pct, cpu9_pct, cpu_pct"
Tier-0,Tier-0,base,t0_cpu_times,CPU time composition,CPU time mix,1,3,"cpu_times_idle_pct, cpu_times_system_pct, cpu_times_user_pct"
Tier-0,Tier-0,base,t0_sched,Scheduler / kernel activity,Scheduler / kernel,2,4,"ctx_switches, interrupts, soft_interrupts, syscalls"
Tier-0,Tier-0,base,t0_load_proc,System load / process activity,Load / process,3,5,"load1, load15, load5, pids_count, uptime_s"
Tier-0,Tier-0,base,t0_memory,Memory footprint,Memory footprint,4,7,"mem_active_bytes, mem_available_bytes, mem_free_bytes, mem_inactive_bytes, mem_percent, mem_used_bytes, mem_wired_bytes"
Tier-0,Tier-0,base,t0_swap,Swap pressure,Swap pressure,5,6,"swap_free_bytes, swap_percent, swap_sin_bytes, swap_sout_bytes, swap_total_bytes, swap_used_bytes"
Tier-0,Tier-0,base,t0_disk,Disk I/O,Disk I/O,6,4,"disk_read_Bps, disk_read_IOPS, disk_write_Bps, disk_write_IOPS"
Tier-0,Tier-0,base,t0_network,Network I/O,Network I/O,7,4,"net_recv_Bps, net_recv_Pps, net_sent_Bps, net_sent_Pps"
Tier-1,Tier-1 core,core,t1c_cpu_perf,CPU power / frequency / thermal,CPU power/freq/temp,0,3,"cpu_avg_freq_mhz, cpu_power_w, cpu_temp_c"
Tier-1,Tier-1 core,core,t1c_cpu_act,CPU activity / residency,CPU usage/residency,1,2,"cpu_residency_active_pct, cpu_usage_pct"
Tier-1,Tier-1 core,core,t1c_gpu_perf,GPU power / frequency / thermal,GPU power/freq/temp,2,3,"gpu_avg_freq_mhz, gpu_power_w, gpu_temp_c"
Tier-1,Tier-1 core,core,t1c_gpu_act,GPU activity / residency,GPU usage/residency,3,2,"gpu_residency_active_pct, gpu_usage_pct"
Tier-1,Tier-1 core,core,t1c_accel,Accelerator power,Accelerator power,4,1,ane_power_w
Tier-1,Tier-1 full,full,t1f_system_power,System-level power,System power,0,2,"all_power, sys_power"
Tier-1,Tier-1 full,full,t1f_cpu_domain,CPU cluster power / usage,CPU cluster power/usage,1,5,"cpu_power, ecpu_usage_0, ecpu_usage_1, pcpu_usage_0, pcpu_usage_1"
Tier-1,Tier-1 full,full,t1f_gpu_domain,GPU power / engine usage,GPU power/engine usage,2,4,"gpu_power, gpu_ram_power, gpu_usage_0, gpu_usage_1"
Tier-1,Tier-1 full,full,t1f_memory,Memory / swap / power,Memory/swap/power,3,4,"memory_ram_usage, memory_swap_total, memory_swap_usage, ram_power"
Tier-1,Tier-1 full,full,t1f_accel,Accelerator power,Accelerator power,4,1,ane_power
Tier-1,Tier-1 full,full,t1f_thermal,Thermal,Thermal,5,2,"temp_cpu_temp_avg, temp_gpu_temp_avg"
Tier-2,Tier-2 core,core,t2_place,Execution placement / affinity,Core placement,0,2,"avg_core_id, max_core_id"
Tier-2,Tier-2 core,core,t2_density,Execution density / workload volume,Execution density,1,2,"samples_per_bucket, total_weight_ns"
Tier-2,Tier-2 core,core,t2_concurrency,Concurrency diversity,Concurrency,2,2,"unique_process_count, unique_thread_count"
Tier-2,Tier-2 core,core,t2_bookkeeping,Profiler bookkeeping,Trace bookkeeping,3,1,sentinel_count
Tier-2,Tier-2 full,full,t2_place,Execution placement / affinity,Core placement,0,2,"avg_core_id, max_core_id"
Tier-2,Tier-2 full,full,t2_density,Execution density / workload volume,Execution density,1,3,"running_count, samples_per_bucket, total_weight_ns"
Tier-2,Tier-2 full,full,t2_concurrency,Concurrency diversity,Concurrency,2,2,"unique_process_count, unique_thread_count"
Tier-2,Tier-2 full,full,t2_temporal,Temporal coverage / trace span,Temporal coverage,3,3,"first_sample_time_ns, last_sample_time_ns, sample_span_ns"
Tier-2,Tier-2 full,full,t2_bookkeeping,Profiler bookkeeping,Trace bookkeeping,4,1,sentinel_count
