config,workload,target_alpha,benign_block_false_alarm_rate,benign_persist_false_alarm_rate,benign_run_false_alarm_rate,benign_run_keep_rate,feature_profile,profile_label,config_label
tier0,BROWSER,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0
tier0,PY_AI,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0
tier0,PY_STATS,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0
tier0,VIDEO_SW,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0
tier0_tier1,BROWSER,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1
tier0_tier1,PY_AI,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1
tier0_tier1,PY_STATS,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1
tier0_tier1,VIDEO_SW,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1
tier0_tier1_tier2,BROWSER,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1/2
tier0_tier1_tier2,PY_AI,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1/2
tier0_tier1_tier2,PY_STATS,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1/2
tier0_tier1_tier2,VIDEO_SW,0.1,0.0,0.0,0.0,1.0,mixed,Mixed,Tier-0/1/2
tier0,BROWSER,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0
tier0,PY_AI,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0
tier0,PY_STATS,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0
tier0,VIDEO_SW,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0
tier0_tier1,BROWSER,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1
tier0_tier1,PY_AI,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1
tier0_tier1,PY_STATS,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1
tier0_tier1,VIDEO_SW,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1
tier0_tier1_tier2,BROWSER,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1/2
tier0_tier1_tier2,PY_AI,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1/2
tier0_tier1_tier2,PY_STATS,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1/2
tier0_tier1_tier2,VIDEO_SW,0.02,0.0,0.0,0.0,1.0,full,Full,Tier-0/1/2
