feature_profile,profile_label,config,config_label,gate_label,confidence_threshold,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_macro_f1
mixed,Mixed,tier0,Tier-0,trained,0.0678526491092809,0.35,0.65,0.5714285714285714,0.5714285714285714,0.32
mixed,Mixed,tier0,Tier-0,conf_0.05,0.05,0.4,0.6,0.5,0.625,0.2933333333333333
mixed,Mixed,tier0,Tier-0,conf_0.15,0.15,0.15,0.85,0.6666666666666666,0.6666666666666666,0.16
mixed,Mixed,tier0,Tier-0,conf_0.25,0.25,0.1,0.9,1.0,1.0,0.2
mixed,Mixed,tier0_tier1,Tier-0/1,trained,0.0202314564900793,0.4,0.6,0.25,0.5,0.0888888888888888
mixed,Mixed,tier0_tier1,Tier-0/1,conf_0.05,0.05,0.3,0.7,0.1666666666666666,0.5,0.0666666666666666
mixed,Mixed,tier0_tier1,Tier-0/1,conf_0.15,0.15,0.25,0.75,0.2,0.4,0.0666666666666666
mixed,Mixed,tier0_tier1,Tier-0/1,conf_0.25,0.25,0.05,0.95,1.0,1.0,0.2
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,trained,0.0568293652653761,0.35,0.65,0.4285714285714285,0.7142857142857143,0.2
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,conf_0.05,0.05,0.35,0.65,0.4285714285714285,0.7142857142857143,0.2
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,conf_0.15,0.15,0.25,0.75,0.4,0.6,0.1142857142857142
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,conf_0.25,0.25,0.0,1.0,,,
full,Full,tier0,Tier-0,trained,0.1018784308787785,0.3,0.7,0.3333333333333333,0.5,0.1142857142857142
full,Full,tier0,Tier-0,conf_0.05,0.05,0.6,0.4,0.3333333333333333,0.5833333333333334,0.2031746031746031
full,Full,tier0,Tier-0,conf_0.15,0.15,0.2,0.8,0.5,0.75,0.1333333333333333
full,Full,tier0,Tier-0,conf_0.25,0.25,0.15,0.85,0.6666666666666666,0.6666666666666666,0.16
full,Full,tier0_tier1,Tier-0/1,trained,0.0040118738424273,0.7,0.3,0.1428571428571428,0.2142857142857142,0.1333333333333333
full,Full,tier0_tier1,Tier-0/1,conf_0.05,0.05,0.45,0.55,0.1111111111111111,0.2222222222222222,0.08
full,Full,tier0_tier1,Tier-0/1,conf_0.15,0.15,0.2,0.8,0.0,0.25,0.0
full,Full,tier0_tier1,Tier-0/1,conf_0.25,0.25,0.0,1.0,,,
full,Full,tier0_tier1_tier2,Tier-0/1/2,trained,0.0796421184592926,0.5,0.5,0.3,0.4,0.109090909090909
full,Full,tier0_tier1_tier2,Tier-0/1/2,conf_0.05,0.05,0.65,0.35,0.3076923076923077,0.3846153846153846,0.2
full,Full,tier0_tier1_tier2,Tier-0/1/2,conf_0.15,0.15,0.3,0.7,0.1666666666666666,0.1666666666666666,0.0666666666666666
full,Full,tier0_tier1_tier2,Tier-0/1/2,conf_0.25,0.25,0.1,0.9,0.0,0.0,0.0
