stressor,exact_recall,feature_profile,profile_label,config,config_label
ATOMIC,0.5,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2
BRANCH,0.5,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2
CACHE,0.5,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2
MEMBW,0.5,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2
TLB,0.5,mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2
ATOMIC,1.0,full,Full,tier0_tier1_tier2,Tier-0/1/2
BRANCH,0.5,full,Full,tier0_tier1_tier2,Tier-0/1/2
CACHE,0.0,full,Full,tier0_tier1_tier2,Tier-0/1/2
MEMBW,0.0,full,Full,tier0_tier1_tier2,Tier-0/1/2
TLB,0.0,full,Full,tier0_tier1_tier2,Tier-0/1/2
