feature_profile,profile_label,config,config_label,rank,feature_name,feature_tier,hit_count,case_count,mean_feature_score,earliest_block_s
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,1,tier1_alt:ane_power_w,tier1_alt,30,6,8.39941101155809e-05,30.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,2,tier0:mem_free_bytes,tier0,20,4,8.693875052335221e-06,30.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,3,tier0:mem_inactive_bytes,tier0,16,4,5.310125399019448e-06,30.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,4,tier1_alt:gpu_avg_freq_mhz,tier1_alt,5,1,97.79335860042715,30.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,5,tier0:swap_sout_bytes,tier0,5,1,3.4027928719950626e-05,30.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,6,tier0:net_sent_Bps,tier0,5,1,9.082203836161351e-06,80.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,7,tier2:unique_process_count,tier2,5,1,4.097917263076289e-06,803.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,8,tier2:unique_thread_count,tier2,3,1,6.048582489735343e-06,30.0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,9,tier0:net_sent_Pps,tier0,2,1,5.991771508014312e-06,33.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,1,tier1_alt:memory_swap_total,tier1_alt,25,5,0.0004624460527767,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,2,tier0:mem_free_bytes,tier0,22,5,0.0004469597868203,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,3,tier1_alt:ane_power,tier1_alt,15,3,0.0015947081239333,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,4,tier0:mem_available_bytes,tier0,13,3,0.0003064293937121,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,5,tier0:swap_sout_bytes,tier0,5,1,0.0016054733439466,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,6,tier0:swap_used_bytes,tier0,5,1,0.0006640691552341,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,7,tier0:load15,tier0,5,1,0.0002523194614769,60.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,8,tier0:net_recv_Bps,tier0,1,1,0.0002763485528844,819.0
