stressor,feature_top1_coverage,feature_top3_coverage,feature_top5_coverage,mechanism_top1_coverage,mechanism_top2_coverage,mechanism_top3_coverage,feature_profile,profile_label
ATOMIC,0.06089387298560742,0.17073121197194363,0.2595439087174367,0.40138775158894,0.675291853595235,0.8778477060867699,mixed,Mixed
BRANCH,0.06044833589235714,0.15578178206118193,0.23370825278863444,0.46566839164541096,0.7132924382132917,0.9033525531734767,mixed,Mixed
CACHE,0.15976698723495703,0.34738722070020517,0.41377418823686474,0.5262090391724128,0.7435306347513678,0.8814778247263221,mixed,Mixed
MEMBW,0.07458312238436819,0.16358463676676469,0.2427528474507586,0.4852598868343938,0.7181329635575081,0.8844546475935496,mixed,Mixed
TLB,0.06237618939849343,0.1544613547282134,0.22929088562500027,0.40035755241881593,0.7006276469743371,0.8931831397254166,mixed,Mixed
ATOMIC,0.07189531040260357,0.15970690276737165,0.2372197017060831,0.3398572260791793,0.6616680168987914,0.7968961348760395,full,Full
BRANCH,0.05649806097687507,0.13952029461812845,0.2123305176155018,0.4005226664230698,0.6932973288712297,0.8415519519464084,full,Full
CACHE,0.1411515028445008,0.2895025591549478,0.34642271908129,0.5016468953418226,0.7713748226022187,0.8616653632424047,full,Full
MEMBW,0.060635833015274525,0.15778801394694486,0.23536939525765038,0.39040380357423876,0.6772595676061759,0.8145841652526413,full,Full
TLB,0.060844649567719816,0.139694761871883,0.21003780498984698,0.3887442872447926,0.6799763652213441,0.8259683684274591,full,Full
