feature_profile,stage_group,metric,gain,block_B,alpha,persist_k,metric_value,anomaly_detect_rate,benign_run_alert_rate,diag_top2_acc,diag_selective_top2_acc,diag_mechanism_top3_proxy
mixed,Stage 1,AUC-PR,0.15,30,0.05,3,1.0000000000000002,0.6,0.25,0.55,,1.0
mixed,Stage 1,ROC-AUC,0.15,30,0.05,3,1.0,0.6,0.25,0.55,,1.0
mixed,Stage 1,Diagnosis strength,0.15,30,0.05,3,1.0,0.6,0.25,0.55,,1.0
mixed,Stage 2,AUC-PR,0.15,30,0.1,1,1.0000000000000002,0.85,0.0,0.8,1.0,1.0
mixed,Stage 2,ROC-AUC,0.15,30,0.1,1,1.0,0.85,0.0,0.8,1.0,1.0
mixed,Stage 2,Diagnosis strength,0.15,30,0.1,1,1.0,0.85,0.0,0.8,1.0,1.0
full,Stage 1,AUC-PR,0.35,60,0.05,3,1.0000000000000002,0.95,0.25,0.5,,0.9833333333333332
full,Stage 1,ROC-AUC,0.35,60,0.05,3,1.0,0.95,0.25,0.5,,0.9833333333333332
full,Stage 1,Diagnosis strength,0.35,60,0.05,3,0.9833333333333332,0.95,0.25,0.5,,0.9833333333333332
full,Stage 2,AUC-PR,0.35,60,0.02,1,1.0000000000000002,0.95,0.0,0.4,0.8333333333333334,1.0
full,Stage 2,ROC-AUC,0.35,60,0.02,1,1.0,0.95,0.0,0.4,0.8333333333333334,1.0
full,Stage 2,Diagnosis strength,0.35,60,0.02,1,1.0,0.95,0.0,0.4,0.8333333333333334,1.0
