policy,trigger_quantile,trigger_gate_value,trigger_source,trigger_note,trigger_rate_all,trigger_rate_benign,trigger_rate_anomaly,avg_feature_budget,auc_pr,roc_auc,benign_alert_rate,detection_rate,median_ttd_s,feature_profile,profile_label,stage2_config
Tier-0 only,,,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.0,0.0,0.0,46.0,1.0000000000000002,1.0,0.25,0.3,74.5,mixed,Mixed,tier0_tier1_tier2
Two-stage q=0.90,0.9,0.009193057639154976,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.75,0.25,0.85,59.5,1.0000000000000002,1.0,0.25,0.4,74.0,mixed,Mixed,tier0_tier1_tier2
Two-stage q=0.95,0.95,0.012300684858469064,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.4583333333333333,0.25,0.5,54.25,1.0000000000000002,1.0,0.25,0.3,74.0,mixed,Mixed,tier0_tier1_tier2
Two-stage q=0.98,0.98,0.016510199600206787,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.2916666666666667,0.25,0.3,51.25,1.0000000000000002,1.0,0.25,0.3,74.0,mixed,Mixed,tier0_tier1_tier2
Always tier0_tier1_tier2,0.0,,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,1.0,1.0,1.0,64.0,1.0000000000000002,1.0,0.25,0.45,62.0,mixed,Mixed,tier0_tier1_tier2
Tier-0 only,,,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.0,0.0,0.0,46.0,1.0000000000000002,1.0,0.25,0.3,74.5,full,Full,tier0_tier1_tier2
Two-stage q=0.90,0.9,0.009193057639154976,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.75,0.25,0.85,67.75,1.0000000000000002,1.0,0.25,0.85,62.0,full,Full,tier0_tier1_tier2
Two-stage q=0.95,0.95,0.012300684858469064,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.4583333333333333,0.25,0.5,59.291666666666664,1.0000000000000002,1.0,0.25,0.5,79.5,full,Full,tier0_tier1_tier2
Two-stage q=0.98,0.98,0.016510199600206787,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,0.2916666666666667,0.25,0.3,54.458333333333336,1.0000000000000002,1.0,0.25,0.3,79.5,full,Full,tier0_tier1_tier2
Always tier0_tier1_tier2,0.0,,Stage-1 peak block score,Calibrated from all benign stage-1 block scores using a strict > gate.,1.0,1.0,1.0,75.0,1.0000000000000002,1.0,0.25,0.95,62.0,full,Full,tier0_tier1_tier2
