protocol,config,n_cases,n_features,roc_auc_mean_score,pr_auc_mean_score,roc_auc_wc_mean_score,pr_auc_wc_mean_score,uncertainty_auc,uncertainty_pr_auc,uncertainty_log_auc,uncertainty_log_pr_auc,benign_mean_score_std,anomaly_mean_score_std,benign_p95_score_std,benign_over_p95_rate,anomaly_over_benign_p95_rate,benign_mean_log_score_std,anomaly_mean_log_score_std,benign_p95_log_score_std,benign_over_p95_log_rate,anomaly_over_benign_p95_log_rate,mean_alert_probability_benign,mean_alert_probability_anomaly,feature_profile,profile_label,config_label
global,tier0,24,46,0.4375,0.8123886021193027,1.0,1.0000000000000002,0.35,0.7795853184464538,0.35,0.7795853184464538,0.1583276029791899,0.1271121351898848,0.244006345399,0.25,0.05,0.063045023379922,0.0511219130820054,0.0947573242065711,0.25,0.05,0.5833333333333333,0.6041666666666667,mixed,Mixed,Tier-0
global,tier0_tier1,24,57,0.575,0.8799720354875826,1.0,1.0000000000000002,0.3875,0.82073250459364,0.3875,0.82073250459364,0.000961209867568,0.0321855444083368,0.00152455386595,0.25,0.1,0.000417212437207,0.010917709438901,0.0006615846693675,0.25,0.1,0.5833333333333334,0.7,mixed,Mixed,Tier-0/1
global,tier0_tier1_tier2,24,64,0.7875,0.9360912780123812,1.0,1.0000000000000002,0.5375,0.8790812150619157,0.5375,0.8790812150619157,0.278925135196037,1.036914687672259,0.9480977110181537,0.25,0.25,0.0813821064712684,0.1346660144599543,0.2765915744109318,0.25,0.25,0.4791666666666666,0.6208333333333333,mixed,Mixed,Tier-0/1/2
workload_holdout,tier0,24,46,0.425,0.8146519185130539,1.0,1.0000000000000002,0.3375,0.792373918735054,0.3375,0.792373918735054,143187428.38928944,114308317.44277585,486837256.2659509,0.25,0.05,2.2229937522663024,2.1847701691181,7.452251816334964,0.25,0.25,1.0,0.8625,mixed,Mixed,Tier-0
workload_holdout,tier0_tier1,24,57,0.475,0.8383280596234055,1.0,1.0000000000000002,0.5375,0.8817929719041072,0.5375,0.8817929719041072,0.0025533049562555,0.034186365868134,0.0051623290114765,0.25,0.2,0.0011066472713802,0.0117715247628048,0.0022360267192482,0.25,0.2,1.0,0.9416666666666668,mixed,Mixed,Tier-0/1
workload_holdout,tier0_tier1_tier2,24,64,0.5875,0.8575242493555859,1.0,1.0000000000000002,0.6499999999999999,0.9017627644636664,0.6499999999999999,0.9017627644636664,12274709.96518186,12274711.119569251,41734013.873611264,0.25,0.25,1.9238821532605508,2.0604948188112013,6.537728332294522,0.25,0.25,1.0,0.925,mixed,Mixed,Tier-0/1/2
global,tier0,24,46,0.4375,0.8123886021193027,1.0,1.0000000000000002,0.35,0.7795853184464538,0.35,0.7795853184464538,0.1583276029791899,0.1271121351898848,0.244006345399,0.25,0.05,0.063045023379922,0.0511219130820054,0.0947573242065711,0.25,0.05,0.5833333333333333,0.6041666666666667,full,Full,Tier-0
global,tier0_tier1,24,64,0.425,0.8224410496717504,1.0,1.0000000000000002,0.475,0.8285965155826509,0.475,0.8285965155826509,0.2605024154665923,0.2986152894205982,0.4008547902536797,0.25,0.15,0.0988659328429534,0.1055181889677285,0.1462031328297932,0.25,0.15,0.5833333333333334,0.7833333333333332,full,Full,Tier-0/1
global,tier0_tier1_tier2,24,75,0.675,0.9044125422221398,1.0,1.0000000000000002,0.4375,0.8413046860353867,0.4375,0.8413046860353867,1.1497597442462548,1.114054337947356,3.888018981629216,0.25,0.2,0.1895366881532046,0.1646341197007232,0.635302617820231,0.25,0.2,0.4791666666666666,0.9583333333333334,full,Full,Tier-0/1/2
workload_holdout,tier0,24,46,0.425,0.8146519185130539,1.0,1.0000000000000002,0.3375,0.792373918735054,0.3375,0.792373918735054,143187428.38928944,114308317.44277585,486837256.2659509,0.25,0.05,2.2229937522663024,2.1847701691181,7.452251816334964,0.25,0.25,1.0,0.8625,full,Full,Tier-0
workload_holdout,tier0_tier1,24,64,0.3125,0.7481876363212175,1.0,1.0000000000000002,0.375,0.7662833965551357,0.375,0.7662833965551357,253832737.6916628,96562603.89476964,515526190.5936118,0.25,0.0,4.3974612871996035,2.6128423168572907,8.712197087321377,0.25,0.0,1.0,0.95,full,Full,Tier-0/1
workload_holdout,tier0_tier1_tier2,24,75,0.25,0.7267191568302922,1.0,1.0000000000000002,0.3,0.7659453473064827,0.3,0.7659453473064827,270667230.1692422,92067674.71537349,485004722.8314391,0.25,0.05,6.396000418255607,4.541873843094617,8.685491870989987,0.25,0.05,1.0,1.0,full,Full,Tier-0/1/2
