feature_profile,budget_pct,n_selected_features,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,detection_rate,benign_alert_rate,median_time_to_detect_s,block_B,alpha,persist_k,gain,roc_auc_boot_mean,roc_auc_boot_q05,roc_auc_boot_q25,roc_auc_boot_q75,roc_auc_boot_q95,pr_auc_boot_mean,pr_auc_boot_q05,pr_auc_boot_q25,pr_auc_boot_q75,pr_auc_boot_q95
full,10.0,8,0.9125000000000001,0.9833069993825142,1.0,1.0000000000000002,0.9,0.25,91.0,90.0,0.05,2.0,0.35,0.914828125,0.811875,0.875,0.9624999999999999,1.0,0.9840971988440893,0.9631862373737374,0.9777050971903914,0.9924874686716791,1.0
full,20.0,15,0.975,0.9951190476190477,1.0,1.0000000000000002,1.0,0.25,93.5,90.0,0.05,2.0,0.35,0.976484375,0.925,0.9625,1.0,1.0,0.9955663123856782,0.9859090909090911,0.9926190476190476,1.0,1.0000000000000002
full,30.0,23,0.9,0.9767387525185512,1.0,1.0000000000000002,0.85,0.25,91.0,90.0,0.05,2.0,0.35,0.9020937499999999,0.725,0.8625,1.0,1.0,0.9781773180529172,0.9361621254562431,0.9693717773884183,1.0,1.0000000000000002
full,40.0,30,0.95,0.990322966507177,1.0,1.0000000000000002,0.9,0.25,94.0,90.0,0.05,2.0,0.35,0.951703125,0.875,0.925,0.9875,1.0,0.9909159630564183,0.9753535353535353,0.9869565217391304,0.9976190476190476,1.0
full,50.0,38,0.9375,0.9867685144233131,1.0,1.0000000000000002,0.8,0.25,96.5,90.0,0.05,2.0,0.35,0.93875,0.8125,0.9125,1.0,1.0,0.9875261427976977,0.9633465272472626,0.9808009607351713,1.0,1.0000000000000002
full,60.0,45,0.9625,0.9924874686716791,1.0,1.0000000000000002,0.95,0.25,101.0,90.0,0.05,2.0,0.35,0.9629062500000001,0.875,0.95,1.0,1.0,0.9928294109185524,0.9755449229133439,0.9898558897243108,1.0,1.0000000000000002
full,70.0,53,0.95,0.9897096908939014,1.0,1.0000000000000002,0.95,0.25,116.0,90.0,0.05,2.0,0.35,0.9506874999999999,0.85,0.925,1.0,1.0,0.9902005600561501,0.9695209849490036,0.985909090909091,1.0,1.0000000000000002
full,80.0,60,0.9625,0.9924874686716791,1.0,1.0000000000000002,0.95,0.25,91.0,90.0,0.05,2.0,0.35,0.9629062500000001,0.875,0.95,1.0,1.0,0.9928294109185524,0.975544922913344,0.9898558897243108,1.0,1.0000000000000002
full,90.0,68,0.9625,0.9924874686716791,1.0,1.0000000000000002,0.95,0.25,91.0,90.0,0.05,2.0,0.35,0.9629062500000001,0.875,0.95,1.0,1.0,0.9928294109185524,0.975544922913344,0.9898558897243108,1.0,1.0000000000000002
full,100.0,75,0.95,0.9897096908939014,1.0,1.0000000000000002,0.95,0.25,91.0,90.0,0.05,2.0,0.35,0.950859375,0.85,0.925,1.0,1.0,0.9902287543294657,0.9699471182412361,0.9856926406926407,1.0,1.0000000000000002
