feature_profile,profile_label,config,config_label,case_id,workload,stressor,run_score,run_alert,localization_source,dominant_tier,dominant_mechanism,n_recorded_blocks,first_block_s,second_block_s,third_block_s,fourth_block_s,fifth_block_s
full,Full,tier0,Tier-0,PY_STATS__ATOMIC,PY_STATS,ATOMIC,0.0250225465726831,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0,Tier-0,BROWSER__BRANCH,BROWSER,BRANCH,0.0277894475417816,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0,Tier-0,VIDEO_SW__CACHE,VIDEO_SW,CACHE,0.0115569133633671,0,diagnosis-selected windows,tier0,memory_io,5,188.0,189.0,190.0,191.0,192.0
full,Full,tier0,Tier-0,PY_STATS__MEMBW,PY_STATS,MEMBW,0.0221567799751175,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0,Tier-0,PY_STATS__TLB,PY_STATS,TLB,0.0141502288750712,0,diagnosis-selected windows,tier0,memory_io,5,944.0,945.0,946.0,947.0,948.0
full,Full,tier0_tier1,Tier-0/1,PY_STATS__ATOMIC,PY_STATS,ATOMIC,0.0356411910142762,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1,Tier-0/1,PY_AI__BRANCH,PY_AI,BRANCH,0.0436217474895454,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1,Tier-0/1,PY_AI__CACHE,PY_AI,CACHE,0.0410768586869881,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1,Tier-0/1,PY_AI__MEMBW,PY_AI,MEMBW,0.0485238432777235,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1,Tier-0/1,PY_AI__TLB,PY_AI,TLB,0.0290613269355159,1,post-persist abnormal windows,tier0,compute,5,974.0,975.0,976.0,977.0,978.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,0.0086260284368678,1,post-persist abnormal windows,tier0,compute,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__BRANCH,BROWSER,BRANCH,0.015243961687633,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,0.0406167402644297,1,post-persist abnormal windows,tier2,compute,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,PY_AI__MEMBW,PY_AI,MEMBW,0.0103606109765302,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
full,Full,tier0_tier1_tier2,Tier-0/1/2,BROWSER__TLB,BROWSER,TLB,0.0162231198088203,1,post-persist abnormal windows,tier0,memory_io,5,60.0,61.0,62.0,63.0,64.0
