feature_profile,profile_label,config,config_label,stressor,mean_run_score,mean_run_score_wc,mean_peak_block_score,mean_run_alert,n_cases,rank
full,Full,tier0,Tier-0,BRANCH,0.019703393812731403,0.010430199869317223,0.019703393812731403,0.75,4,1
full,Full,tier0,Tier-0,MEMBW,0.016097879925443773,0.007304357610824775,0.016097879925443773,0.5,4,2
full,Full,tier0,Tier-0,ATOMIC,0.014223062313078474,0.009070644395027125,0.014223062313078474,0.25,4,3
full,Full,tier0,Tier-0,TLB,0.010776319434469127,0.00684838849934135,0.010776319434469127,0.0,4,4
full,Full,tier0,Tier-0,CACHE,0.009685115183523675,0.0050615973225180255,0.009685115183523675,0.0,4,5
full,Full,tier0_tier1,Tier-0/1,BRANCH,0.033634301213878004,0.021041062113806026,0.033634301213878004,1.0,4,1
full,Full,tier0_tier1,Tier-0/1,MEMBW,0.029492265477703925,0.017570420868619825,0.029492265477703925,0.75,4,2
full,Full,tier0_tier1,Tier-0/1,CACHE,0.0237799356518828,0.01526791756025475,0.0237799356518828,0.25,4,3
full,Full,tier0_tier1,Tier-0/1,ATOMIC,0.02227481886766078,0.0129349788408779,0.02227481886766078,0.5,4,4
full,Full,tier0_tier1,Tier-0/1,TLB,0.021072462784169976,0.0125434174788056,0.021072462784169976,0.25,4,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,CACHE,0.016247280964374375,0.012965195845544552,0.016247280964374375,1.0,4,1
full,Full,tier0_tier1_tier2,Tier-0/1/2,BRANCH,0.00962277893478525,0.006340693815955426,0.00962277893478525,1.0,4,2
full,Full,tier0_tier1_tier2,Tier-0/1/2,TLB,0.008768128790040224,0.005486043671210375,0.008768128790040224,1.0,4,3
full,Full,tier0_tier1_tier2,Tier-0/1/2,MEMBW,0.008720824613129275,0.005438739494299475,0.008720824613129275,1.0,4,4
full,Full,tier0_tier1_tier2,Tier-0/1/2,ATOMIC,0.00684919943260675,0.0035671143137769247,0.00684919943260675,0.75,4,5
