feature_profile,profile_label,config,config_label,case_id,workload,stressor,run_score,run_alert,localization_source,first_block_s,second_block_s,third_block_s,fourth_block_s,fifth_block_s,n_recorded_blocks
full,Full,tier0,Tier-0,BROWSER__ATOMIC,BROWSER,ATOMIC,0.0052723077575771,0,diagnosis-selected windows,90.0,91.0,92.0,93.0,94.0,5
full,Full,tier0,Tier-0,BROWSER__BRANCH,BROWSER,BRANCH,0.0232367818593669,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0,Tier-0,BROWSER__CACHE,BROWSER,CACHE,0.0084137010292095,0,diagnosis-selected windows,630.0,631.0,632.0,633.0,634.0,5
full,Full,tier0,Tier-0,BROWSER__MEMBW,BROWSER,MEMBW,0.0112033147045066,0,diagnosis-selected windows,93.0,94.0,95.0,96.0,97.0,5
full,Full,tier0,Tier-0,BROWSER__TLB,BROWSER,TLB,0.009867603214352,0,diagnosis-selected windows,224.0,225.0,226.0,227.0,228.0,5
full,Full,tier0,Tier-0,PY_AI__ATOMIC,PY_AI,ATOMIC,0.0114525446207028,0,diagnosis-selected windows,429.0,430.0,431.0,432.0,433.0,5
full,Full,tier0,Tier-0,PY_AI__BRANCH,PY_AI,BRANCH,0.0090136339521793,0,diagnosis-selected windows,610.0,611.0,612.0,613.0,614.0,5
full,Full,tier0,Tier-0,PY_AI__CACHE,PY_AI,CACHE,0.0056060281331753,0,diagnosis-selected windows,821.0,822.0,823.0,824.0,825.0,5
full,Full,tier0,Tier-0,PY_AI__MEMBW,PY_AI,MEMBW,0.0092940278157117,0,diagnosis-selected windows,852.0,853.0,854.0,855.0,856.0,5
full,Full,tier0,Tier-0,PY_AI__TLB,PY_AI,TLB,0.007084421722964,0,diagnosis-selected windows,814.0,815.0,816.0,817.0,818.0,5
full,Full,tier0,Tier-0,PY_STATS__ATOMIC,PY_STATS,ATOMIC,0.0229404772037742,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0,Tier-0,PY_STATS__BRANCH,PY_STATS,BRANCH,0.0171229770804685,1,post-persist abnormal windows,553.0,554.0,555.0,556.0,557.0,5
full,Full,tier0,Tier-0,PY_STATS__CACHE,PY_STATS,CACHE,0.0105693037083723,0,diagnosis-selected windows,996.0,998.0,999.0,,,3
full,Full,tier0,Tier-0,PY_STATS__MEMBW,PY_STATS,MEMBW,0.0204002164254354,1,post-persist abnormal windows,91.0,92.0,93.0,94.0,95.0,5
full,Full,tier0,Tier-0,PY_STATS__TLB,PY_STATS,TLB,0.013089053668466,0,diagnosis-selected windows,942.0,943.0,944.0,945.0,946.0,5
full,Full,tier0,Tier-0,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,0.0110299394062117,0,diagnosis-selected windows,96.0,97.0,98.0,99.0,100.0,5
full,Full,tier0,Tier-0,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,0.0192121355900257,1,post-persist abnormal windows,824.0,825.0,826.0,827.0,828.0,5
full,Full,tier0,Tier-0,VIDEO_SW__CACHE,VIDEO_SW,CACHE,0.0107342789783028,0,diagnosis-selected windows,185.0,186.0,187.0,188.0,189.0,5
full,Full,tier0,Tier-0,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,0.0169615125660291,1,post-persist abnormal windows,92.0,93.0,94.0,95.0,96.0,5
full,Full,tier0,Tier-0,VIDEO_SW__TLB,VIDEO_SW,TLB,0.0095576865461789,0,diagnosis-selected windows,976.0,977.0,978.0,979.0,980.0,5
