feature_profile,profile_label,config,config_label,feature_name,feature_tier,hit_count,case_count,stressor_count,mean_feature_score,earliest_block_s,rank
full,Full,tier0,Tier-0,tier0:mem_free_bytes,tier0,44,10,5,0.001149069408991525,91.0,1
full,Full,tier0,Tier-0,tier0:net_sent_Pps,tier0,10,2,2,0.00067987023293824,90.0,2
full,Full,tier0,Tier-0,tier0:swap_percent,tier0,10,2,2,0.00044165953496205,610.0,3
full,Full,tier0,Tier-0,tier0:swap_used_bytes,tier0,8,2,2,0.0003190446603966875,630.0,4
full,Full,tier0,Tier-0,tier0:cpu_times_idle_pct,tier0,6,2,1,0.0002521182168979,632.0,5
full,Full,tier0,Tier-0,tier0:swap_sout_bytes,tier0,5,1,1,0.00452011935147046,91.0,6
full,Full,tier0,Tier-0,tier0:net_recv_Bps,tier0,5,1,1,0.0009869067716112,824.0,7
full,Full,tier0,Tier-0,tier0:net_sent_Bps,tier0,5,1,1,0.0008865621737718999,96.0,8
full,Full,tier0,Tier-0,tier0:net_recv_Pps,tier0,5,1,1,0.0006646825642903,224.0,9
full,Full,tier0_tier1,Tier-0/1,tier0:mem_free_bytes,tier0,39,9,5,0.0016444098452232615,91.0,1
full,Full,tier0_tier1,Tier-0/1,tier1_alt:ane_power,tier1_alt,17,4,3,0.005174219726047318,91.0,2
full,Full,tier0_tier1,Tier-0/1,tier0:mem_available_bytes,tier0,7,2,2,0.0011023904552950141,91.0,3
full,Full,tier0_tier1,Tier-0/1,tier0:swap_sout_bytes,tier0,5,1,1,0.00512628187411608,91.0,4
full,Full,tier0_tier1,Tier-0/1,tier0:swap_total_bytes,tier0,5,1,1,0.0026301584722896202,91.0,5
full,Full,tier0_tier1,Tier-0/1,tier0:net_recv_Bps,tier0,5,1,1,0.00201315467461908,836.0,6
full,Full,tier0_tier1,Tier-0/1,tier0:net_sent_Pps,tier0,5,1,1,0.0011964670011376602,94.0,7
full,Full,tier0_tier1,Tier-0/1,tier0:net_sent_Bps,tier0,5,1,1,0.0009100461689128401,155.0,8
full,Full,tier0_tier1,Tier-0/1,tier0:net_recv_Pps,tier0,5,1,1,0.0007053742037166999,224.0,9
full,Full,tier0_tier1,Tier-0/1,tier1_alt:ecpu_usage_0,tier1_alt,5,1,1,0.00028840275425852,628.0,10
full,Full,tier0_tier1_tier2,Tier-0/1/2,tier0:mem_free_bytes,tier0,40,8,4,0.0003940392667436775,91.0,1
full,Full,tier0_tier1_tier2,Tier-0/1/2,tier1_alt:memory_swap_total,tier1_alt,35,7,4,0.00044577148674328286,91.0,2
full,Full,tier0_tier1_tier2,Tier-0/1/2,tier1_alt:ane_power,tier1_alt,10,2,2,0.0016037631976943498,91.0,3
full,Full,tier0_tier1_tier2,Tier-0/1/2,tier0:swap_sout_bytes,tier0,5,1,1,0.00121558974307506,91.0,4
full,Full,tier0_tier1_tier2,Tier-0/1/2,tier0:swap_used_bytes,tier0,5,1,1,0.0008436497568392,91.0,5
full,Full,tier0_tier1_tier2,Tier-0/1/2,tier0:mem_available_bytes,tier0,5,1,1,0.00038123185482845997,91.0,6
