case_id,workload,stressor,source_file,power_col,mean_power_w,median_power_w,p95_power_w,duration_s,energy_j,delta_vs_nominal_w
BROWSER__ATOMIC,BROWSER,ATOMIC,tier1_alt_full_5hz.csv,sys_power,15.990155877113342,15.55331039428711,19.181455612182617,1000.0,15990.155877113342,5.577662358760833
BROWSER__BRANCH,BROWSER,BRANCH,tier1_alt_full_5hz.csv,sys_power,17.52164182662964,15.411476135253906,26.48084259033203,1000.0,17521.64182662964,7.109148308277131
BROWSER__CACHE,BROWSER,CACHE,tier1_alt_full_5hz.csv,sys_power,27.97577554321289,24.355133056640625,40.368459701538264,1000.0,27975.77554321289,17.56328202486038
BROWSER__MEMBW,BROWSER,MEMBW,tier1_alt_full_5hz.csv,sys_power,19.86717758846283,17.312313079833984,44.29256401062014,1000.0,19867.17758846283,9.454684070110321
BROWSER__NOMINAL,BROWSER,NOMINAL,tier1_alt_full_5hz.csv,sys_power,10.412493518352509,9.218109130859375,15.749275207519531,1000.0,10412.493518352509,0.0
BROWSER__TLB,BROWSER,TLB,tier1_alt_full_5hz.csv,sys_power,22.214486366271974,19.716175079345703,36.3885498046875,1000.0,22214.486366271973,11.801992847919465
PY_AI__ATOMIC,PY_AI,ATOMIC,tier1_alt_full_5hz.csv,sys_power,21.370897470855713,19.947986602783203,31.066679000854492,1000.0,21370.897470855714,-42.36666230659485
PY_AI__BRANCH,PY_AI,BRANCH,tier1_alt_full_5hz.csv,sys_power,30.940926737976074,27.74943733215332,53.19687271118164,1000.0,30940.926737976075,-32.796633039474486
PY_AI__CACHE,PY_AI,CACHE,tier1_alt_full_5hz.csv,sys_power,22.788188934326172,22.788188934326172,22.788188934326172,1000.0,22788.188934326172,-40.94937084312439
PY_AI__MEMBW,PY_AI,MEMBW,tier1_alt_full_5hz.csv,sys_power,58.97990251922607,61.02552795410156,77.5555419921875,1000.0,58979.902519226074,-4.757657258224491
PY_AI__NOMINAL,PY_AI,NOMINAL,tier1_alt_full_5hz.csv,sys_power,63.737559777450564,64.3734130859375,97.93477630615234,1000.0,63737.559777450566,0.0
PY_AI__TLB,PY_AI,TLB,tier1_alt_full_5hz.csv,sys_power,30.39985140838623,26.256000518798828,50.459698677062995,1000.0,30399.85140838623,-33.33770836906433
PY_STATS__ATOMIC,PY_STATS,ATOMIC,tier1_alt_full_5hz.csv,sys_power,27.83093754043579,26.798606872558594,36.15387725830078,1000.0,27830.937540435792,3.4547001884460435
PY_STATS__BRANCH,PY_STATS,BRANCH,tier1_alt_full_5hz.csv,sys_power,31.119845993804933,28.44721221923828,53.183223724365234,1000.0,31119.845993804935,6.743608641815186
PY_STATS__CACHE,PY_STATS,CACHE,tier1_alt_full_5hz.csv,sys_power,34.370487286758426,33.74830627441406,39.90676498413086,1000.0,34370.48728675843,9.994249934768678
PY_STATS__MEMBW,PY_STATS,MEMBW,tier1_alt_full_5hz.csv,sys_power,38.546874824523925,37.1835823059082,48.47136688232422,1000.0,38546.874824523926,14.170637472534178
PY_STATS__NOMINAL,PY_STATS,NOMINAL,tier1_alt_full_5hz.csv,sys_power,24.376237351989747,23.386001586914062,32.91867446899414,1000.0,24376.23735198975,0.0
PY_STATS__TLB,PY_STATS,TLB,tier1_alt_full_5hz.csv,sys_power,22.605270335006715,21.68320083618164,26.729795455932617,1000.0,22605.270335006713,-1.7709670169830325
VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,tier1_alt_full_5hz.csv,sys_power,15.17959713344574,12.212329864501951,30.93598175048828,1000.0,15179.597133445739,2.1897950538635254
VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,tier1_alt_full_5hz.csv,sys_power,16.19369070930481,15.67263126373291,19.564437866210938,1000.0,16193.69070930481,3.203888629722597
VIDEO_SW__CACHE,VIDEO_SW,CACHE,tier1_alt_full_5hz.csv,sys_power,25.946317544555665,24.95075225830078,31.19182586669922,1000.0,25946.317544555666,12.956515464973451
VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,tier1_alt_full_5hz.csv,sys_power,19.49937412528992,19.385337829589844,24.398923873901367,1000.0,19499.37412528992,6.509572045707705
VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,tier1_alt_full_5hz.csv,sys_power,12.989802079582214,12.490079879760742,16.139270782470703,1000.0,12989.802079582214,0.0
VIDEO_SW__TLB,VIDEO_SW,TLB,tier1_alt_full_5hz.csv,sys_power,19.674308396339416,17.621971130371094,29.044342041015625,1000.0,19674.308396339417,6.6845063167572025
