feature_profile,budget_pct,n_selected_features,roc_auc,pr_auc,roc_auc_wc,pr_auc_wc,detection_rate,benign_alert_rate,median_time_to_detect_s,block_B,alpha,persist_k,gain,roc_auc_boot_mean,roc_auc_boot_q05,roc_auc_boot_q25,roc_auc_boot_q75,roc_auc_boot_q95,pr_auc_boot_mean,pr_auc_boot_q05,pr_auc_boot_q25,pr_auc_boot_q75,pr_auc_boot_q95
mixed,10.0,7,0.75,0.9404959756968776,1.0,1.0000000000000002,0.75,0.5,30.0,30.0,0.1,1.0,0.15,0.7542812499999999,0.525,0.675,0.85,0.9381249999999994,0.9439472813228079,0.8853779735925298,0.9271655909627458,0.9673677400021794,0.9881567555251767
mixed,20.0,13,0.6625000000000001,0.8889026354622329,1.0,1.0000000000000002,0.4,0.25,30.0,30.0,0.1,1.0,0.15,0.6679374999999999,0.375,0.55,0.790625,0.925,0.9004923910331953,0.7957711115788162,0.8572615807073043,0.9600713640719446,0.9869073498964804
mixed,30.0,20,0.8125,0.9610562865497075,1.0,1.0000000000000002,0.8,0.5,41.0,30.0,0.1,1.0,0.15,0.8148281249999999,0.625,0.75,0.8875,0.9625,0.962627470973269,0.9226333532738332,0.9510013670539987,0.9772269005289517,0.9924874686716793
mixed,40.0,26,0.8375,0.9597540705338693,1.0,1.0000000000000002,0.75,0.25,72.0,30.0,0.1,1.0,0.15,0.840546875,0.625,0.775,0.95,1.0,0.9623187779418271,0.9071997685836695,0.9439323493138568,0.9905303030303031,1.0
mixed,50.0,32,0.825,0.9547540705338693,1.0,1.0000000000000002,0.75,0.25,73.0,30.0,0.1,1.0,0.15,0.829671875,0.625,0.75,0.95,1.0,0.958268232607335,0.9012800388568746,0.9386144852641227,0.9905303030303031,1.0
mixed,60.0,39,0.825,0.9547540705338693,1.0,1.0000000000000002,0.75,0.25,72.0,30.0,0.1,1.0,0.15,0.829671875,0.625,0.75,0.95,1.0,0.958268232607335,0.9012800388568746,0.9386144852641227,0.9905303030303031,1.0
mixed,70.0,45,0.825,0.9547540705338693,1.0,1.0000000000000002,0.8,0.25,75.5,30.0,0.1,1.0,0.15,0.829671875,0.625,0.75,0.95,1.0,0.9582690103803635,0.9012800388568746,0.938618401304223,0.9905303030303031,1.0
mixed,80.0,52,0.825,0.9547540705338693,1.0,1.0000000000000002,0.8,0.25,75.0,30.0,0.1,1.0,0.15,0.829671875,0.625,0.75,0.95,1.0,0.9582700067167049,0.9012800388568746,0.9385960798756515,0.9905303030303031,1.0
mixed,90.0,58,0.825,0.9547540705338693,1.0,1.0000000000000002,0.8,0.25,76.0,30.0,0.1,1.0,0.15,0.829671875,0.625,0.75,0.95,1.0,0.9582700543586727,0.9012800388568746,0.9385960798756515,0.9905303030303031,1.0
mixed,100.0,64,0.85,0.962015975295774,1.0,1.0000000000000002,0.9,0.25,76.0,30.0,0.1,1.0,0.15,0.8536562499999999,0.65,0.7875,0.975,1.0,0.9647302519867833,0.9117121232740428,0.948320764856806,0.9954545454545454,1.0
