feature_profile,profile_label,config,config_label,case_id,workload,stressor,label,run_score,run_score_wc,run_alert,first_block_alert_s,time_to_detect_s,n_blocks,warning_source,first_warning_s,first_warning_window_start_s,first_warning_window_end_s,first_warning_block_idx,warning_dominant_tier,warning_dominant_mechanism,warning_top_feature_1,warning_top_feature_score_1,warning_top_feature_2,warning_top_feature_score_2,warning_threshold,run_duration_s,warning_available
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__ATOMIC,BROWSER,ATOMIC,1,4.8866115534866805e-05,8.383304037764587e-06,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__BRANCH,BROWSER,BRANCH,1,0.00023476003657,0.0001942772250729,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:swap_sout_bytes,6.955119394139914e-05,tier0:uptime_s,6.7403336992463375e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__CACHE,BROWSER,CACHE,1,8.742706349904428e-05,4.694425200194206e-05,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__MEMBW,BROWSER,MEMBW,1,0.0001056960086334,6.521319713633735e-05,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:net_sent_Pps,6.750967626210466e-06,tier2:unique_thread_count,6.207098087634476e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__TLB,BROWSER,TLB,1,8.769128441395927e-05,4.7208472916857055e-05,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__NOMINAL,BROWSER,NOMINAL,0,4.048281149710222e-05,0.0,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,1,9.41875222594646e-05,4.720110832527312e-05,1,84.0,84.0,955,first_persistent_alert,84.0,39.0,84.0,39.0,tier0,memory_io,tier0:uptime_s,8.349561295067709e-06,tier0:net_sent_Bps,8.243140342126979e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,1,0.0001523302389147,1.0941608329999565e-05,1,576.0,576.0,955,first_persistent_alert,576.0,531.0,576.0,531.0,tier0,memory_io,tier0:uptime_s,1.0217424818064892e-05,tier0:mem_free_bytes,6.189318200026049e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__CACHE,VIDEO_SW,CACHE,1,8.601643672570441e-05,5.53721938590333e-05,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,0.000149871184338,8.48255375335215e-06,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:uptime_s,1.332532949258118e-05,tier0:mem_inactive_bytes,5.0043810258594005e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__TLB,VIDEO_SW,TLB,1,0.0001104719402386,3.0916690346091355e-05,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__NOMINAL,VIDEO_SW,NOMINAL,0,0.0001413886305847,0.0,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__ATOMIC,PY_AI,ATOMIC,1,9.27227706578422e-05,4.8963550524510865e-05,1,383.0,383.0,955,first_persistent_alert,383.0,338.0,383.0,338.0,tier0,memory_io,tier0:mem_free_bytes,8.972015484782994e-06,tier0:ctx_switches,8.4506293894809e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__BRANCH,PY_AI,BRANCH,1,0.0002079942872569,0.0001642350671235,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,0.0001239152498879,tier0:cpu_times_idle_pct,3.970352966374064e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__CACHE,PY_AI,CACHE,1,282.5633348343998,282.5632910751797,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier1_alt,compute,tier1_alt:gpu_avg_freq_mhz,102.05298871873153,tier1_alt:cpu_avg_freq_mhz,50.40453045301829,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__MEMBW,PY_AI,MEMBW,1,0.0002243389154948,0.0001805796953615,1,469.0,469.0,955,first_persistent_alert,469.0,424.0,469.0,424.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,5.3643625089394046e-05,tier0:uptime_s,3.671822217964571e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__TLB,PY_AI,TLB,1,0.0001205698208201,7.681060068681086e-05,1,972.0,972.0,955,first_persistent_alert,972.0,927.0,972.0,927.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,5.042581497989673e-05,tier0:uptime_s,4.006966939456371e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_AI__NOMINAL,PY_AI,NOMINAL,0,4.3759220133331335e-05,0.0,0,,,955,no_detected_warning,,,,,,,,,,,,999.0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,0.0001799344410357,0.0001311219764046,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:uptime_s,3.308698854185893e-05,tier0:mem_inactive_bytes,8.321267733073649e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__BRANCH,PY_STATS,BRANCH,1,0.000135074120768,8.626165613688787e-05,1,45.0,45.0,955,first_persistent_alert,45.0,0.0,45.0,0.0,tier0,memory_io,tier0:uptime_s,1.920436704702723e-05,tier0:mem_free_bytes,7.585094205392135e-06,9.158281112622878e-05,999.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,PY_STATS__CACHE,PY_STATS,CACHE,1,0.0001050216340559,5.620916942486734e-05,1,487.0,487.0,955,first_persistent_alert,487.0,442.0,487.0,442.0,tier0,thermal_power,tier1_alt:ane_power_w,3.7923178649230245e-05,tier0:uptime_s,6.349270343219378e-06,9.158281112622878e-05,999.0,1
