feature_profile,profile_label,config,config_label,case_id,workload,stressor,label,run_score,run_score_wc,run_alert,first_block_alert_s,time_to_detect_s,n_blocks,warning_source,first_warning_s,first_warning_window_start_s,first_warning_window_end_s,first_warning_block_idx,warning_dominant_tier,warning_dominant_mechanism,warning_top_feature_1,warning_top_feature_score_1,warning_top_feature_2,warning_top_feature_score_2,warning_threshold,run_duration_s,warning_available,crash_outcome_observed,crash_detected,crash_time_s,monitor_duration_s,crash_source,crash_kind,diagnostic_report_path,system_log_path,screenshot_path,evidence_note,lead_time_s,warning_before_crash,late_warning_after_crash,warning_without_observed_crash,missing_warning_before_crash
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__ATOMIC,BROWSER,ATOMIC,1,4.6631551074576415e-05,9.09028014395645e-06,0,,,970,no_detected_warning,,,,,,,,,,,,999.0,0,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__BRANCH,BROWSER,BRANCH,1,0.0002343419228909,0.0001968006519603,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier0,memory_io,tier0:swap_sout_bytes,2.139810572691051e-05,tier0:disk_read_IOPS,6.0701621314945214e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__CACHE,BROWSER,CACHE,1,8.594802207330892e-05,4.840675114268895e-05,1,72.0,72.0,970,first_persistent_alert,72.0,42.0,72.0,42.0,tier1_alt,thermal_power,tier1_alt:ane_power_w,3.117296245419876e-05,tier0:uptime_s,3.748425087715805e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__MEMBW,BROWSER,MEMBW,1,9.87262316436562e-05,6.118496071303624e-05,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier0,memory_io,tier2:unique_thread_count,5.84450557240547e-06,tier0:net_sent_Pps,5.7561974318571115e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__TLB,BROWSER,TLB,1,8.359705895864198e-05,4.605578802802202e-05,1,999.0,999.0,970,first_persistent_alert,999.0,969.0,999.0,969.0,tier0,memory_io,tier0:mem_inactive_bytes,3.593715914764526e-06,tier0:syscalls,3.5488317758814885e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BROWSER__NOMINAL,BROWSER,NOMINAL,0,3.7541270930619965e-05,0.0,0,,,970,no_detected_warning,,,,,,,,,,,,999.0,0,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,1,9.495198175504206e-05,3.656208627737516e-05,1,80.0,80.0,970,first_persistent_alert,80.0,50.0,80.0,50.0,tier0,memory_io,tier0:net_sent_Bps,9.064513471930409e-06,tier0:uptime_s,8.189057982137826e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,1,0.0001443801033548,1.2866035322479449e-05,1,814.0,814.0,970,first_persistent_alert,814.0,784.0,814.0,784.0,tier0,memory_io,tier0:uptime_s,1.148923196330674e-05,tier0:ctx_switches,4.790713773853456e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__CACHE,VIDEO_SW,CACHE,1,7.997994152230973e-05,5.153412651010748e-05,0,,,970,no_detected_warning,,,,,,,,,,,,999.0,0,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,VIDEO_SW__MEMBW,VIDEO_SW,MEMBW,1,0.0001366762367877,5.162168755374572e-06,1,30.0,30.0,970,first_persistent_alert,30.0,0.0,30.0,0.0,tier0,memory_io,tier0:uptime_s,1.187196344481798e-05,tier0:mem_inactive_bytes,4.841335297414417e-06,8.295898001795177e-05,999.0,1,0,0,,999.0,,,,,,No crash manifest was supplied for this run.,,0,0,0,0
