feature_profile,profile_label,config,config_label,stressor,mean_run_score,mean_run_score_wc,mean_peak_block_score,mean_run_alert,n_cases,rank
mixed,Mixed,tier0,Tier-0,BRANCH,0.042897834226826505,0.024261087820485427,0.042897834226826505,0.75,4,1
mixed,Mixed,tier0,Tier-0,MEMBW,0.03217545649804137,0.013573451127445594,0.03217545649804137,0.5,4,2
mixed,Mixed,tier0,Tier-0,ATOMIC,0.029472626212728,0.017655516645524477,0.029472626212728,0.75,4,3
mixed,Mixed,tier0,Tier-0,TLB,0.0215130233113325,0.01433415478052835,0.0215130233113325,0.25,4,4
mixed,Mixed,tier0,Tier-0,CACHE,0.019526974498862,0.010070108283826248,0.019526974498862,0.0,4,5
mixed,Mixed,tier0_tier1,Tier-0/1,CACHE,73.50389139723141,73.50385533689786,73.50389139723141,0.5,4,1
mixed,Mixed,tier0_tier1,Tier-0/1,BRANCH,0.00017643157132699998,0.00011424983937264574,0.00017643157132699998,1.0,4,2
mixed,Mixed,tier0_tier1,Tier-0/1,MEMBW,0.0001527533875799583,9.06246601954067e-05,0.0001527533875799583,1.0,4,3
mixed,Mixed,tier0_tier1,Tier-0/1,TLB,9.928635276981278e-05,4.871594719577235e-05,9.928635276981278e-05,0.75,4,4
mixed,Mixed,tier0_tier1,Tier-0/1,ATOMIC,9.195663837133493e-05,4.6915695291561326e-05,9.195663837133493e-05,0.75,4,5
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,CACHE,73.50324849013039,73.50320856233307,73.50324849013039,0.75,4,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,BRANCH,0.000187670954728625,0.00012197609416528501,0.000187670954728625,1.0,4,2
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,MEMBW,0.00016299986200276625,9.730500143941767e-05,0.00016299986200276625,1.0,4,3
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,TLB,0.00010763027564721797,5.0171824418939763e-05,0.00010763027564721797,1.0,4,4
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,ATOMIC,9.899312224760998e-05,5.157930482308876e-05,9.899312224760998e-05,0.75,4,5
