feature_profile,profile_label,config,config_label,feature_name,feature_tier,hit_count,case_count,stressor_count,mean_feature_score,earliest_block_s,rank
mixed,Mixed,tier0,Tier-0,tier0:mem_free_bytes,tier0,30,7,5,0.00168234588196087,45.0,1
mixed,Mixed,tier0,Tier-0,tier0:mem_inactive_bytes,tier0,16,4,3,0.0013221937971197438,45.0,2
mixed,Mixed,tier0,Tier-0,tier0:net_recv_Bps,tier0,10,2,2,0.0017557726333248698,223.0,3
mixed,Mixed,tier0,Tier-0,tier0:swap_percent,tier0,10,2,2,0.00069946228376054,561.0,4
mixed,Mixed,tier0,Tier-0,tier0:swap_sout_bytes,tier0,5,1,1,0.01766774241336198,45.0,5
mixed,Mixed,tier0,Tier-0,tier0:net_sent_Bps,tier0,5,1,1,0.00232441426157318,98.0,6
mixed,Mixed,tier0,Tier-0,tier0:net_sent_Pps,tier0,5,1,1,0.0017644434618522002,68.0,7
mixed,Mixed,tier0,Tier-0,tier0:swap_used_bytes,tier0,5,1,1,0.00051989599682256,791.0,8
mixed,Mixed,tier0,Tier-0,tier0:pids_count,tier0,5,1,1,0.00045357549224604,772.0,9
mixed,Mixed,tier0,Tier-0,tier0:cpu_times_idle_pct,tier0,3,1,1,0.0006074293509040667,587.0,10
mixed,Mixed,tier0,Tier-0,tier0:mem_available_bytes,tier0,2,1,1,0.0006393270213527001,585.0,11
mixed,Mixed,tier0,Tier-0,tier0:mem_used_bytes,tier0,1,1,1,0.0008642617883622,388.0,12
mixed,Mixed,tier0_tier1,Tier-0/1,tier1_alt:ane_power_w,tier1_alt,35,7,4,6.075942936962382e-05,45.0,1
mixed,Mixed,tier0_tier1,Tier-0/1,tier0:mem_free_bytes,tier0,23,5,5,6.9305534656704954e-06,45.0,2
mixed,Mixed,tier0_tier1,Tier-0/1,tier0:mem_inactive_bytes,tier0,15,3,2,5.324136500423299e-06,45.0,3
mixed,Mixed,tier0_tier1,Tier-0/1,tier0:net_recv_Bps,tier0,10,2,2,7.3312667840161514e-06,222.0,4
mixed,Mixed,tier0_tier1,Tier-0/1,tier1_alt:gpu_avg_freq_mhz,tier1_alt,5,1,1,97.76183244399814,45.0,5
mixed,Mixed,tier0_tier1,Tier-0/1,tier0:swap_sout_bytes,tier0,5,1,1,7.015251856510656e-05,45.0,6
mixed,Mixed,tier0_tier1,Tier-0/1,tier0:net_sent_Bps,tier0,5,1,1,8.207914390551023e-06,84.0,7
mixed,Mixed,tier0_tier1,Tier-0/1,tier0:mem_used_bytes,tier0,2,1,1,3.3208246745691163e-06,384.0,8
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier1_alt:ane_power_w,tier1_alt,30,6,4,6.533103067618978e-05,45.0,1
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:mem_free_bytes,tier0,24,6,5,6.9178459517987025e-06,45.0,2
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:mem_inactive_bytes,tier0,15,3,2,5.344290038048786e-06,45.0,3
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:net_recv_Bps,tier0,7,2,2,5.711112547033872e-06,222.0,4
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier1_alt:gpu_avg_freq_mhz,tier1_alt,5,1,1,97.76099508599695,45.0,5
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:swap_sout_bytes,tier0,5,1,1,7.034893039261581e-05,45.0,6
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:net_sent_Bps,tier0,5,1,1,8.199966773653968e-06,84.0,7
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:net_sent_Pps,tier0,5,1,1,6.803724856672676e-06,45.0,8
mixed,Mixed,tier0_tier1_tier2,Tier-0/1/2,tier0:mem_used_bytes,tier0,4,1,1,3.29511252085306e-06,384.0,9
