idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,20.6,8.6,0.0,20.6,17.6,14.3,0.0,0.0,0.0,0.0,28.6,44.1,3504.0,3504.0,702.0,13.5,86.5,0.0,2.7,10.7,2856.0,1150610.9218806403,180.92564482696775,0.0,0.0,149984.0,1.96142578125,2.5244140625,2.54345703125,3520167936.0,3544645632.0,45187072.0,3494871040.0,79.4,17179869184.0,5977505792.0,2457337856.0,126762.22020718918,152.35843774902546,14626.410023906445,109.50762713211203,549.0,1192713857.0,1441398784.0,91.1,3923753025536.0,40942501888.0,16106127360.0,14664728576.0,213422.0,0.0031800270080566,1771726408.739773,272992.73977303505
1,23.8,9.5,45.5,19.0,14.3,9.5,0.0,0.0,0.0,0.0,54.5,23.8,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3643.0,1150610.9218806403,180.92564482696775,0.0,0.0,154786.0,1.96142578125,2.5244140625,2.54345703125,3436183552.0,3469361152.0,57442304.0,3409641472.0,79.8,17179869184.0,5972197376.0,2536013824.0,126762.22020718918,152.35843774902546,14626.410023906445,109.50762713211203,549.0,1192725514.0,1441398784.0,91.1,3923753123840.0,40942501888.0,16106127360.0,14664728576.0,208102.0,0.2132101058959961,1771726408.949803,272992.9498040676
2,14.3,0.0,0.0,9.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4119.0,780113.2800312411,95.2286718788136,1170169.9200468615,90.46723828487292,153669.0,1.96142578125,2.5244140625,2.54345703125,3437985792.0,3492462592.0,65077248.0,3424944128.0,79.7,17179869184.0,5955715072.0,2517729280.0,39005.66400156206,71.42150390911021,14627.12400058577,80.94437109699157,549.0,1192725545.0,1441398784.0,91.1,3923753123840.0,40942501888.0,16106127360.0,14664728576.0,209042.0,0.423231840133667,1771726409.1598248,272993.1598248482
3,9.5,100.0,0.0,9.5,5.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4204.0,77972.5581888262,4.759067272267224,0.0,0.0,153737.0,1.96142578125,2.5244140625,2.54345703125,3437985792.0,3492462592.0,65077248.0,3424944128.0,79.7,17179869184.0,5955715072.0,2517729280.0,107212.26750963602,118.9766818066806,4873.284886801637,66.62694181174113,549.0,1192725599.0,1441398784.0,91.1,3923753123840.0,40942501888.0,16106127360.0,14664728576.0,208876.0,0.633357048034668,1771726409.36995,272993.3699500561
4,25.0,80.0,0.0,10.5,9.5,5.0,0.0,0.0,0.0,0.0,5.0,23.8,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4066.0,20463.43138385306,4.995954927698501,0.0,0.0,153737.0,1.96142578125,2.5244140625,2.54345703125,3437985792.0,3492462592.0,65077248.0,3424944128.0,79.7,17179869184.0,5955715072.0,2517729280.0,46042.72061366939,99.91909855397004,15347.573537889795,94.92314362627152,549.0,1192725620.0,1441398784.0,91.1,3923753123840.0,40942501888.0,16106127360.0,14664728576.0,208876.0,0.8335180282592773,1771726409.570111,272993.57011199
5,9.5,0.0,0.0,14.3,9.1,4.8,0.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,12.6,87.4,0.0,2.7,9.9,4087.0,0.0,0.0,0.0,0.0,153737.0,1.96142578125,2.5244140625,2.54345703125,3442262016.0,3489103872.0,64552960.0,3422109696.0,79.7,17179869184.0,5961089024.0,2518827008.0,102387.310910385,104.7489229923954,4875.586233827858,57.13577617767021,549.0,1192725655.0,1441398784.0,91.1,3923753123840.0,40942501888.0,16106127360.0,14664728576.0,208869.0,1.043544054031372,1771726409.780137,272993.78013801575
6,10.0,0.0,0.0,9.5,0.0,9.5,0.0,0.0,0.0,0.0,100.0,4.5,3504.0,3504.0,702.0,11.2,88.8,0.0,0.8,10.4,4125.0,0.0,0.0,0.0,0.0,153737.0,1.96142578125,2.5244140625,2.54345703125,3442524160.0,3489710080.0,65175552.0,3422093312.0,79.7,17179869184.0,5961351168.0,2518827008.0,39005.44260389422,71.42109851787271,14627.040976460332,66.65969195001453,549.0,1192725663.0,1441398784.0,91.1,3923753123840.0,40942501888.0,16106127360.0,14664728576.0,208868.0,1.253566026687622,1771726409.990159,272993.9901599884
7,9.5,0.0,0.0,14.3,14.3,15.0,0.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,12.6,87.4,0.0,2.0,10.6,4125.0,79232.06655913222,9.67188312489407,118848.09983869833,14.507824687341104,153737.0,1.96142578125,2.5244140625,2.54345703125,3481665536.0,3530964992.0,67354624.0,3461185536.0,79.4,17179869184.0,5915574272.0,2433908736.0,108944.0915188068,125.73448062362291,4952.004159945764,67.70318187425849,549.0,1192725663.0,1441398784.0,91.1,3923753123840.0,40942534656.0,16106127360.0,14664728576.0,208868.0,1.460350751876831,1771726410.1969438,272994.196944952
8,28.6,0.0,0.0,20.0,20.0,18.2,0.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4125.0,1033687.6466630868,171.41783645282615,273049.5670430795,38.09285254507248,153737.0,1.96142578125,2.5244140625,2.54345703125,3478650880.0,3528114176.0,69107712.0,3455991808.0,79.5,17179869184.0,5912395776.0,2433744896.0,48758.851257692775,95.2321313626812,14627.655377307832,85.70891822641308,550.0,1192725663.0,1441398784.0,91.1,3923753762816.0,40942534656.0,16106127360.0,14664728576.0,208868.0,1.6703641414642334,1771726410.4069571,272994.4069581032
9,38.1,0.0,0.0,36.4,27.3,28.6,0.0,0.0,0.0,0.0,95.5,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4125.0,13515769.44241779,361.8771693017479,0.0,0.0,153737.0,1.96142578125,2.5244140625,2.54345703125,3472261120.0,3519299584.0,64847872.0,3451289600.0,79.5,17179869184.0,5906137088.0,2433875968.0,97516.3740434184,104.75391742945337,9751.637404341838,66.66158381874304,550.0,1192725663.0,1441398784.0,91.1,3923756105728.0,40942534656.0,16106127360.0,14664728576.0,208868.0,1.8803811073303225,1771726410.616974,272994.6169741154
10,10.0,100.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,3504.0,3504.0,702.0,15.1,84.9,0.0,2.9,12.2,3964.0,0.0,0.0,0.0,0.0,148552.0,1.96142578125,2.5244140625,2.54345703125,3474374656.0,3518283776.0,61816832.0,3453304832.0,79.5,17179869184.0,5908250624.0,2433875968.0,48755.41956656726,80.94161451480893,9751.083913313452,71.41907163071376,550.0,1192727033.0,1441398784.0,91.1,3923756105728.0,40942534656.0,16106127360.0,14664728576.0,210773.0,2.0904080867767334,1771726410.827001,272994.8270020485
11,22.7,85.7,0.0,19.0,13.6,9.1,0.0,0.0,0.0,0.0,15.0,0.0,3504.0,3504.0,702.0,13.8,86.2,0.0,2.0,11.8,3971.0,0.0,0.0,0.0,0.0,148552.0,1.96142578125,2.5244140625,2.54345703125,3472801792.0,3520282624.0,61931520.0,3455188992.0,79.5,17179869184.0,5906677760.0,2433875968.0,117015.7964627086,114.27323873311386,14626.974557838574,90.46631399704847,550.0,1192727078.0,1441398784.0,91.1,3923756105728.0,40942534656.0,16106127360.0,14664728576.0,210888.0,2.300431966781616,1771726411.037025,272995.0370249748
12,38.1,0.0,0.0,19.0,10.0,10.0,0.0,0.0,0.0,0.0,100.0,8.7,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4226.0,0.0,0.0,0.0,0.0,148559.0,1.96142578125,2.5244140625,2.54345703125,3469295616.0,3518676992.0,66109440.0,3449405440.0,79.5,17179869184.0,5903286272.0,2433990656.0,48757.24605171145,85.70609657527405,9751.44921034229,76.18319695579915,551.0,1192727666.0,1441398784.0,91.1,3923756204032.0,40942534656.0,16106127360.0,14664728576.0,210535.0,2.5104520320892334,1771726411.247045,272995.24704504013
13,5.0,0.0,0.0,5.0,4.8,4.8,45.0,0.0,0.0,0.0,0.0,50.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4258.0,0.0,0.0,277005.3077071912,38.644713686829135,148559.0,1.96142578125,2.5244140625,2.54345703125,3469295616.0,3518676992.0,66109440.0,3449405440.0,79.5,17179869184.0,5903286272.0,2433990656.0,103876.9903901967,115.9341410604874,9893.04670382826,96.61178421707284,551.0,1192727682.0,1441398784.0,91.1,3923756204032.0,40942534656.0,16106127360.0,14664728576.0,210540.0,2.7174649238586426,1771726411.454058,272995.454059124
