idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,6.9,0.0,6.7,3.6,7.1,6.9,65.5,0.0,0.0,0.0,79.3,6.9,3504.0,3504.0,702.0,15.2,84.8,0.0,4.0,11.2,5655.0,0.0,0.0,244951.6713516288,19.93421804619375,226466.0,2.19970703125,2.09814453125,2.09619140625,3045326848.0,2955771904.0,71712768.0,2856943616.0,82.8,17179869184.0,6673186816.0,3627859968.0,0.0,0.0,0.0,0.0,516.0,1207506816.0,1317076992.0,92.3,3933081501696.0,41170501632.0,17179869184.0,15862792192.0,177382.0,0.0030088424682617,1771736091.374223,282675.37422299385
1,14.3,25.0,0.0,9.5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,78.9,3504.0,3504.0,702.0,11.6,88.4,0.0,2.5,9.1,4099.0,0.0,0.0,244951.6713516288,19.93421804619375,227627.0,2.19970703125,2.09814453125,2.09619140625,3045326848.0,2955771904.0,71712768.0,2856943616.0,82.8,17179869184.0,6673186816.0,3627859968.0,0.0,0.0,0.0,0.0,516.0,1207515767.0,1317076992.0,92.3,3933081501696.0,41170501632.0,17179869184.0,15862792192.0,177745.0,0.2036678791046142,1771736091.574882,282675.57488298416
2,10.0,20.0,9.5,5.3,5.3,5.0,25.0,0.0,0.0,0.0,60.0,35.0,3504.0,3504.0,702.0,14.7,85.3,0.0,5.0,9.7,4099.0,10026979.351296429,332.01524571066705,0.0,0.0,227627.0,2.19970703125,2.09814453125,2.09619140625,3045326848.0,2955771904.0,71712768.0,2856943616.0,82.8,17179869184.0,6673186816.0,3627859968.0,0.0,0.0,0.0,0.0,516.0,1207515767.0,1317076992.0,92.3,3933081501696.0,41170501632.0,17179869184.0,15862792192.0,177745.0,0.4054646492004394,1771736091.7766788,282675.77668094635
3,10.0,0.0,0.0,14.3,17.4,4.8,33.3,61.9,0.0,0.0,4.8,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4099.0,2847342.360555469,209.4978459847908,0.0,0.0,227627.0,2.19970703125,2.09814453125,2.09619140625,3045326848.0,2955771904.0,71712768.0,2856943616.0,82.8,17179869184.0,6673186816.0,3627859968.0,14626.758701483574,28.567888088835105,4875.586233827858,14.283944044417552,516.0,1207515767.0,1317076992.0,92.3,3933081501696.0,41170501632.0,17179869184.0,15862792192.0,177745.0,0.6154918670654297,1771736091.986706,282675.9867069721
4,9.5,0.0,0.0,4.8,5.3,9.1,4.8,33.3,66.7,4.5,0.0,0.0,3504.0,3504.0,702.0,11.9,88.1,0.0,1.8,10.1,12849.0,0.0,0.0,0.0,0.0,227277.0,2.19970703125,2.09814453125,2.09619140625,2829647872.0,3016949760.0,207405056.0,2806398976.0,82.4,17179869184.0,6553354240.0,3723706368.0,0.0,9.522759084164964,0.0,14.284138626247444,516.0,1207524162.0,1317076992.0,92.3,3933084975104.0,41170550784.0,17179869184.0,15862792192.0,171289.0,0.8255150318145752,1771736092.1967292,282676.1967301369
5,13.6,0.0,0.0,9.5,13.6,0.0,81.8,19.0,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,12.3,87.7,0.0,1.6,10.7,12741.0,448569.20979517145,95.22953672621676,5226806.444569823,866.5887842085725,227291.0,2.19970703125,2.09814453125,2.09619140625,2831646720.0,3017031680.0,205635584.0,2808250368.0,82.4,17179869184.0,6555582464.0,3723935744.0,4875.7522803822985,14.284430508932514,0.0,0.0,516.0,1207524230.0,1317076992.0,92.3,3933084975104.0,41170550784.0,17179869184.0,15862792192.0,171402.0,1.0355348587036133,1771736092.406749,282676.4067490101
6,5.0,0.0,0.0,5.0,0.0,4.8,0.0,100.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,10.0,90.0,0.0,0.8,9.2,12768.0,0.0,0.0,0.0,0.0,220109.0,2.19970703125,2.09814453125,2.09619140625,2947858432.0,3018620928.0,206077952.0,2809397248.0,82.4,17179869184.0,6554124288.0,3606265856.0,0.0,0.0,0.0,0.0,516.0,1207524232.0,1317076992.0,92.3,3933084975104.0,41170550784.0,17179869184.0,15862792192.0,171466.0,1.2455649375915527,1771736092.616779,282676.61678004265
7,9.5,0.0,0.0,9.1,9.1,4.8,100.0,0.0,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12722.0,0.0,0.0,0.0,0.0,220095.0,2.19970703125,2.09814453125,2.09619140625,2946170880.0,3020619776.0,205324288.0,2812149760.0,82.4,17179869184.0,6552207360.0,3606036480.0,9750.906809454023,23.805924827768617,9750.906809454023,19.044739862214893,516.0,1207524256.0,1317076992.0,92.3,3933084975104.0,41170550784.0,17179869184.0,15862792192.0,171634.0,1.455596685409546,1771736092.8268108,282676.82681179047
8,5.0,0.0,0.0,5.0,9.5,9.5,90.0,4.8,4.8,4.5,4.8,4.8,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,12533.0,0.0,0.0,0.0,0.0,214327.0,2.19970703125,2.09814453125,2.09619140625,2946170880.0,3020619776.0,205324288.0,2812149760.0,82.4,17179869184.0,6552207360.0,3606036480.0,19502.787721096654,33.32995948429605,0.0,9.522845566941728,516.0,1207524272.0,1317076992.0,92.3,3933084975104.0,41170550784.0,17179869184.0,15862792192.0,176329.0,1.6656179428100586,1771736093.036832,282677.03683304787
9,23.8,0.0,0.0,28.6,23.8,23.8,36.4,66.7,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,13.5,86.5,0.0,2.2,11.2,11949.0,13847120.756694412,609.4683431643667,273041.8177376363,38.09177144777292,214328.0,2.19970703125,2.09814453125,2.09619140625,2944827392.0,3118776320.0,191365120.0,2922971136.0,81.8,17179869184.0,6456377344.0,3511549952.0,0.0,4.761471430971615,0.0,0.0,516.0,1207525130.0,1317076992.0,92.3,3933088251904.0,41170550784.0,17179869184.0,15862792192.0,178398.0,1.875638008117676,1771736093.2468522,282677.2468521595
