idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,9.7,0.0,0.0,6.7,6.7,3.3,59.4,32.3,6.9,6.5,0.0,0.0,3504.0,3504.0,702.0,11.2,88.8,0.0,1.8,9.4,8524.0,83752311.33866934,3038.403221964644,198360.73738105895,17.936264592471336,157458.0,2.423828125,2.3935546875,2.25537109375,2923184128.0,3021275136.0,122126336.0,2881585152.0,82.4,17179869184.0,5502976000.0,2579791872.0,16530.06144842158,44.84066148117834,11020.040965614387,48.4279143996726,554.0,1205535068.0,1295908864.0,92.0,3931429175296.0,41142468608.0,16106127360.0,14810218496.0,175878.0,0.0037870407104492,1771735043.5153012,281627.51530122757
1,24.1,0.0,0.0,16.4,12.7,10.7,16.7,12.5,3.5,0.0,0.0,0.0,3504.0,3504.0,702.0,8.0,92.0,0.0,3.6,4.4,5052.0,83752311.33866934,3038.403221964644,198360.73738105895,17.936264592471336,157395.0,2.423828125,2.3935546875,2.25537109375,2946400256.0,2981576704.0,60358656.0,2898771968.0,82.6,17179869184.0,5525159936.0,2578759680.0,16530.06144842158,44.84066148117834,11020.040965614387,48.4279143996726,554.0,1205538369.0,1295908864.0,92.0,3931472461824.0,41142534144.0,16106127360.0,14810218496.0,176927.0,0.5613157749176025,1771735044.07283,281628.07283091545
2,27.3,0.0,0.0,23.8,9.5,10.0,19.0,15.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,5123.0,57203364.77206207,3447.371846147035,0.0,0.0,157410.0,2.423828125,2.3935546875,2.25537109375,2938601472.0,2971992064.0,57622528.0,2888024064.0,82.7,17179869184.0,5517606912.0,2579005440.0,0.0,23.80781661703753,4875.840843169287,38.092506587260054,555.0,1205539529.0,1295908864.0,92.0,3931481669632.0,41142534144.0,16106127360.0,14810218496.0,176271.0,0.7713308334350586,1771735044.282845,281628.28284597397
3,25.0,0.0,0.0,19.0,14.3,14.3,23.8,4.8,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,5314.0,24554399.98303513,1480.826020372832,0.0,0.0,157407.0,2.423828125,2.3935546875,2.25537109375,2925887488.0,2962620416.0,61816832.0,2875506688.0,82.8,17179869184.0,5504843776.0,2578956288.0,0.0,9.522996915580912,0.0,4.761498457790457,555.0,1205540601.0,1295908864.0,92.0,3931484225536.0,41142534144.0,16106127360.0,14810218496.0,175507.0,0.981348752975464,1771735044.492863,281628.4928638935
4,23.8,0.0,0.0,25.0,20.0,14.3,31.8,13.6,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,9.3,90.7,0.0,4.2,5.0,4925.0,17162063.54307406,1295.0775933605248,0.0,0.0,150603.0,2.423828125,2.3935546875,2.25537109375,2956525568.0,3040100352.0,60489728.0,2959376384.0,82.3,17179869184.0,5424005120.0,2467479552.0,4875.586233827858,19.045258725890072,14626.758701483574,23.80657340736259,555.0,1205541118.0,1295908864.0,92.0,3931485585408.0,41142534144.0,16106127360.0,14810218496.0,180626.0,1.1913747787475586,1771735044.702889,281628.7028899193
5,18.2,0.0,0.0,19.0,18.2,9.5,30.0,10.0,0.0,4.8,0.0,0.0,3504.0,3504.0,702.0,9.1,90.9,0.0,4.0,5.2,5109.0,20789900.907875616,1623.6396396396397,0.0,0.0,150597.0,2.423828125,2.3935546875,2.25537109375,2974220288.0,3006808064.0,59031552.0,2923069440.0,82.5,17179869184.0,5441601536.0,2467381248.0,0.0,9.522813135716362,0.0,0.0,555.0,1205541998.0,1295908864.0,92.0,3931486355456.0,41142534144.0,16106127360.0,14810218496.0,178410.0,1.4013969898223877,1771735044.9129112,281628.91291189194
6,35.0,0.0,0.0,33.3,25.0,20.0,33.3,27.3,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,14.5,85.5,0.0,6.0,8.4,5429.0,22759368.94679321,1315.629514902222,0.0,0.0,150596.0,2.423828125,2.3935546875,2.25537109375,2959065088.0,2989735936.0,59899904.0,2900754432.0,82.6,17179869184.0,5426429952.0,2467364864.0,9869.630939632789,24.095778661212854,4934.8154698163935,14.457467196727716,555.0,1205546437.0,1295908864.0,92.0,3931487453184.0,41142534144.0,16106127360.0,14810218496.0,177048.0,1.608902931213379,1771735045.120417,281629.1204171181
7,15.0,0.0,0.0,19.0,9.5,13.6,35.0,20.0,0.0,19.0,0.0,0.0,3504.0,3504.0,702.0,10.8,89.2,0.0,3.2,7.6,5429.0,34735016.973618396,1633.1939710221268,0.0,0.0,150596.0,2.423828125,2.3935546875,2.25537109375,2959065088.0,2989735936.0,59899904.0,2900754432.0,82.6,17179869184.0,5426429952.0,2467364864.0,0.0,0.0,0.0,0.0,555.0,1205546437.0,1295908864.0,92.0,3931487453184.0,41142534144.0,16106127360.0,14810218496.0,177048.0,1.818919897079468,1771735045.330434,281629.3304350376
8,14.3,0.0,0.0,10.0,5.0,0.0,60.0,45.0,25.0,10.5,5.0,0.0,3504.0,3504.0,702.0,14.7,85.3,0.0,13.0,1.7,5429.0,26653540.979612865,1518.515460393166,491020627.1668849,7901.259133258867,150596.0,2.423828125,2.3935546875,2.25537109375,2959065088.0,2989735936.0,59899904.0,2900754432.0,82.6,17179869184.0,5426429952.0,2467364864.0,0.0,0.0,0.0,0.0,555.0,1205546437.0,1197801472.0,92.6,3931487453184.0,41142534144.0,16106127360.0,14908325888.0,177048.0,2.0197598934173584,1771735045.531274,281629.53128910065
9,20.0,0.0,0.0,19.0,19.0,17.4,80.0,65.0,35.0,42.9,9.5,0.0,3504.0,3504.0,702.0,25.3,74.7,0.0,22.1,3.2,26016.0,9147607.045394272,380.9471217598227,2793667488.9678297,44332.72129479937,224070.0,2.423828125,2.3935546875,2.25537109375,2327527424.0,2681667584.0,384925696.0,2254536704.0,84.4,17179869184.0,5998690304.0,3671162880.0,4876.123158525731,19.047356087991137,14628.369475577192,19.047356087991137,556.0,1205617027.0,610926592.0,96.2,3931503443968.0,41142599680.0,16106127360.0,15495200768.0,137606.0,2.2297768592834473,1771735045.741291,281629.7412919998
