idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,9.7,0.0,0.0,6.7,10.0,6.5,61.3,53.3,60.0,6.5,51.6,0.0,3504.0,3504.0,702.0,22.1,77.9,0.0,5.2,16.9,4052.0,0.0,0.0,0.0,0.0,145749.0,2.29052734375,2.33984375,2.396484375,3453435904.0,3506470912.0,68681728.0,3437051904.0,79.6,17179869184.0,5841403904.0,2387968000.0,0.0,9.43604695634176,0.0,4.71802347817088,535.0,1209199169.0,1384185856.0,91.9,3933875798016.0,41197092864.0,17179869184.0,15795683328.0,209781.0,0.0240976810455322,1771737131.716102,283715.71610188484
1,5.0,0.0,0.0,9.5,9.1,0.0,42.9,72.7,9.5,0.0,0.0,0.0,3504.0,3504.0,702.0,12.6,87.4,0.0,2.8,9.8,3791.0,0.0,0.0,0.0,0.0,217264.0,2.29052734375,2.33984375,2.396484375,2868035584.0,2909487104.0,61407232.0,2847342592.0,83.1,17179869184.0,6427688960.0,3559653376.0,0.0,9.43604695634176,0.0,4.71802347817088,535.0,1209202608.0,1384185856.0,91.9,3933875798016.0,41197092864.0,17179869184.0,15795683328.0,173788.0,0.2360498905181884,1771737131.928054,283715.928055048
2,10.0,0.0,0.0,10.0,9.5,9.5,25.0,71.4,4.5,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3791.0,1704019.9688436077,190.87999421214585,0.0,0.0,217264.0,2.29052734375,2.33984375,2.396484375,2878521344.0,2913910784.0,61571072.0,2851569664.0,83.0,17179869184.0,6424494080.0,3545972736.0,0.0,0.0,0.0,0.0,535.0,1209202608.0,1384185856.0,91.9,3933875798016.0,41197092864.0,17179869184.0,15795683328.0,173788.0,0.4403667449951172,1771737132.132371,283716.13237190247
3,9.5,0.0,0.0,9.1,4.8,0.0,14.3,85.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3791.0,0.0,0.0,0.0,0.0,217264.0,2.18701171875,2.33154296875,2.373046875,2878521344.0,2913910784.0,61571072.0,2851569664.0,83.0,17179869184.0,6424494080.0,3545972736.0,0.0,0.0,0.0,0.0,535.0,1209202608.0,1384185856.0,91.9,3933875798016.0,41197092864.0,17179869184.0,15795683328.0,173788.0,0.650390625,1771737132.3423948,283716.3423960209
4,9.5,0.0,0.0,5.3,10.0,4.8,15.0,85.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,10.8,89.2,0.0,1.4,9.5,3743.0,80212.66876771298,4.895792771466857,0.0,0.0,216429.0,2.18701171875,2.33154296875,2.373046875,2872950784.0,2918809600.0,61685760.0,2856337408.0,83.0,17179869184.0,6418923520.0,3545972736.0,5013.291797982061,9.791585542933714,0.0,0.0,535.0,1209202755.0,1384185856.0,91.9,3933875798016.0,41197092864.0,17179869184.0,15795683328.0,174350.0,0.8546476364135742,1771737132.5466518,283716.5466530323
5,15.0,0.0,0.0,13.6,5.0,4.8,28.6,68.2,25.0,18.2,0.0,4.8,3504.0,3504.0,702.0,15.6,84.4,0.0,2.8,12.8,3813.0,155936.44664604744,9.517605386111294,272888.781630583,38.070421544445175,216429.0,2.18701171875,2.33154296875,2.373046875,2877669376.0,2919858176.0,61800448.0,2857353216.0,83.0,17179869184.0,6423642112.0,3545972736.0,0.0,14.27640807916694,4873.013957688982,9.517605386111294,535.0,1209202830.0,1384185856.0,91.9,3933875798016.0,41197092864.0,17179869184.0,15795683328.0,174399.0,1.064785718917847,1771737132.75679,283716.7567899227
6,22.7,0.0,0.0,14.3,18.2,15.0,9.5,90.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4071.0,695297.2985457195,66.0140121774636,0.0,0.0,216460.0,2.18701171875,2.33154296875,2.373046875,2876669952.0,2920529920.0,65421312.0,2853797888.0,83.0,17179869184.0,6423150592.0,3546480640.0,4828.453462123051,14.145859752313628,0.0,14.145859752313628,538.0,1209203252.0,1384185856.0,91.9,3933876469760.0,41197092864.0,17179869184.0,15795683328.0,174182.0,1.2768619060516355,1771737132.968866,283716.96886610985
7,27.3,0.0,0.0,31.8,26.1,29.2,16.7,88.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6210.0,11261812.927027583,451.7901954568816,0.0,0.0,210437.0,2.18701171875,2.33154296875,2.373046875,2876669952.0,2920529920.0,65421312.0,2853797888.0,83.0,17179869184.0,6423150592.0,3546480640.0,0.0,4.302763766256016,0.0,4.302763766256016,538.0,1209204680.0,1384185856.0,91.9,3933876469760.0,41197092864.0,17179869184.0,15795683328.0,176153.0,1.5092706680297852,1771737133.2012749,283717.2012748718
8,4.5,0.0,0.0,8.7,0.0,4.5,22.7,77.3,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,6222.0,0.0,0.0,0.0,0.0,210437.0,2.18701171875,2.33154296875,2.373046875,2876669952.0,2920529920.0,65421312.0,2853797888.0,83.0,17179869184.0,6423150592.0,3546480640.0,0.0,0.0,0.0,0.0,538.0,1209204685.0,1384185856.0,91.9,3933876469760.0,41197092864.0,17179869184.0,15795683328.0,176174.0,1.727712869644165,1771737133.419717,283717.41971707344
9,13.6,0.0,0.0,13.6,8.7,4.5,13.6,86.4,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,13.6,86.4,0.0,2.2,11.4,6208.0,0.0,0.0,0.0,0.0,210437.0,2.18701171875,2.33154296875,2.373046875,2906374144.0,2988736512.0,99696640.0,2886991872.0,82.6,17179869184.0,6354173952.0,3447799808.0,9346.729971023828,22.819164968319892,0.0,9.127665987327957,538.0,1209204735.0,1384185856.0,91.9,3933878730752.0,41197092864.0,17179869184.0,15795683328.0,176208.0,1.9468259811401367,1771737133.6388302,283717.6388311386
