idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,0.0,3.8,0.0,7.1,0.0,3.6,0.0,0.0,0.0,0.0,59.3,92.6,3504.0,3504.0,702.0,14.1,85.9,0.0,0.5,13.6,33742.0,390060.18243058387,14.284430508932514,429066.2006736422,42.85329152679754,149515.0,2.2607421875,2.310546875,2.4189453125,4023730176.0,4887248896.0,533774336.0,4335435776.0,71.6,17179869184.0,6473383936.0,2449653760.0,0.0,0.0,0.0,0.0,534.0,1218850358.0,1379926016.0,92.4,3939927883776.0,41345269760.0,18253611008.0,16873684992.0,264614.0,0.0013840198516845,1771745756.380469,292340.3804690838
1,19.0,27.3,4.5,10.0,5.0,4.8,0.0,0.0,0.0,0.0,4.8,76.2,3504.0,3504.0,702.0,12.7,87.3,0.0,3.2,9.5,3927.0,390060.18243058387,14.284430508932514,429066.2006736422,42.85329152679754,159021.0,2.2607421875,2.310546875,2.4189453125,4361748480.0,4410392576.0,63520768.0,4346019840.0,74.3,17179869184.0,6967148544.0,2605400064.0,0.0,0.0,0.0,0.0,534.0,1218881102.0,1379926016.0,92.4,3939927883776.0,41345368064.0,18253611008.0,16873684992.0,265260.0,0.2114019393920898,1771745756.590487,292340.590487957
2,5.0,89.5,20.0,5.0,9.5,5.0,20.0,0.0,0.0,0.0,55.0,45.0,3504.0,3504.0,702.0,20.8,79.2,0.0,12.9,7.9,2853.0,20420.961699113024,4.985586352322516,1184415.7785485554,19.942345409290063,158508.0,2.2607421875,2.310546875,2.4189453125,4169105408.0,4199153664.0,48365568.0,4150116352.0,75.6,17179869184.0,6766100480.0,2596995072.0,0.0,0.0,0.0,0.0,534.0,1218913728.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,253404.0,0.4119799137115478,1771745756.791065,292340.79106616974
3,19.0,57.1,30.0,10.0,14.3,0.0,52.4,0.0,0.0,0.0,66.7,65.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,2853.0,0.0,0.0,0.0,0.0,158508.0,2.2607421875,2.310546875,2.4189453125,3835314176.0,3876782080.0,64651264.0,3811409920.0,77.4,17179869184.0,6432456704.0,2597142528.0,0.0,0.0,0.0,0.0,534.0,1218913728.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,253404.0,0.6174430847167969,1771745756.996528,292340.99652814865
4,9.5,14.3,76.2,9.1,0.0,4.5,23.8,0.0,0.0,0.0,85.0,14.3,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,2853.0,117010.21758980727,9.52231588458718,0.0,0.0,158508.0,2.2607421875,2.310546875,2.4189453125,3835396096.0,3876864000.0,64700416.0,3811442688.0,77.4,17179869184.0,6432538624.0,2597142528.0,0.0,23.805789711467952,0.0,14.28347382688077,534.0,1218913728.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,253404.0,0.82747483253479,1771745757.20656,292341.20656108856
5,0.0,0.0,0.0,5.0,4.8,9.5,100.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,21.3,78.7,0.0,9.8,11.5,52604.0,0.0,0.0,0.0,0.0,158483.0,2.2607421875,2.310546875,2.4189453125,3321380864.0,4682465280.0,861192192.0,3820568576.0,72.7,17179869184.0,5917966336.0,2596585472.0,4875.636046606668,14.284089980292972,0.0,9.522726653528649,534.0,1218936434.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,233189.0,1.037498950958252,1771745757.416584,292341.41658496857
6,9.5,0.0,0.0,4.8,4.8,0.0,100.0,0.0,0.0,0.0,100.0,4.5,3504.0,3504.0,702.0,19.0,81.0,0.0,1.6,17.4,52620.0,195026.10604369844,19.045518168329927,273036.5484611778,38.091036336659855,158466.0,2.2607421875,2.310546875,2.4189453125,3320872960.0,4682727424.0,861405184.0,3820568576.0,72.7,17179869184.0,5917179904.0,2596306944.0,0.0,0.0,0.0,0.0,533.0,1218936547.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,233189.0,1.247523069381714,1771745757.626608,292341.6266081333
7,31.8,0.0,0.0,27.3,23.8,19.0,100.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,24.9,75.1,0.0,5.1,19.8,52278.0,604590.537383342,52.37600736530338,19502.92056075297,4.76145521502758,150302.0,2.2607421875,2.310546875,2.4189453125,3320872960.0,4682727424.0,861405184.0,3820568576.0,72.7,17179869184.0,5917179904.0,2596306944.0,19502.92056075297,52.37600736530338,19502.92056075297,38.09164172022064,535.0,1218937018.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,233192.0,1.4575419425964355,1771745757.836627,292341.8366279602
8,25.0,0.0,0.0,25.0,23.8,28.6,100.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,51139.0,11428205.4813049,209.4947543834556,0.0,0.0,150313.0,2.2607421875,2.310546875,2.4189453125,3320872960.0,4682727424.0,861405184.0,3820568576.0,72.7,17179869184.0,5917179904.0,2596306944.0,4875.5142838331485,4.761244417805809,0.0,4.761244417805809,535.0,1218938103.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,233192.0,1.667569875717163,1771745758.046655,292342.0466570854
9,0.0,0.0,0.0,4.8,4.8,0.0,100.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,51166.0,0.0,0.0,0.0,0.0,150313.0,2.2607421875,2.310546875,2.4189453125,3320872960.0,4682727424.0,861405184.0,3820568576.0,72.7,17179869184.0,5917179904.0,2596306944.0,0.0,4.760957979702127,0.0,0.0,535.0,1218938123.0,1379926016.0,92.4,3939927883776.0,41345613824.0,18253611008.0,16873684992.0,233192.0,1.8776130676269531,1771745758.256698,292342.2566988468
10,13.6,0.0,0.0,9.1,0.0,8.7,100.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,20.7,79.2,0.0,1.5,19.3,51125.0,0.0,0.0,0.0,0.0,150313.0,2.2607421875,2.310546875,2.4189453125,3480125440.0,4658282496.0,835747840.0,3820617728.0,72.9,17179869184.0,5942853632.0,2462728192.0,0.0,0.0,0.0,0.0,535.0,1218938166.0,1379926016.0,92.4,3939931308032.0,41345613824.0,18253611008.0,16873684992.0,233192.0,2.0876400470733643,1771745758.466725,292342.46672582626
