idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,9.4,12.5,6.3,11.8,6.2,6.3,0.0,3.0,0.0,0.0,43.8,33.3,3504.0,3504.0,702.0,10.8,89.2,0.0,1.4,9.4,13916.0,1875494.5413555664,228.9422047553182,7162792.982411153,930.3821512396972,212298.0,1.44970703125,1.97216796875,1.634765625,4463017984.0,4662181888.0,220741632.0,4435197952.0,72.9,17179869184.0,7941308416.0,3478290432.0,14964.052191666751,34.097775176323985,0.0,19.484442957899414,507.0,1215426881.0,775880704.0,95.7,3937849753600.0,41301983232.0,18253611008.0,17477730304.0,270697.0,0.0026750564575195,1771741509.764588,288093.7645881176
1,15.0,55.0,4.8,15.0,10.0,9.5,4.8,0.0,0.0,0.0,36.4,57.1,3504.0,3504.0,702.0,17.3,82.7,0.0,7.6,9.6,3460.0,1875494.5413555664,228.9422047553182,7162792.982411153,930.3821512396972,212311.0,1.44970703125,1.97216796875,1.634765625,4457955328.0,4501749760.0,57638912.0,4443602944.0,73.8,17179869184.0,7936458752.0,3478503424.0,14964.052191666751,34.097775176323985,0.0,19.484442957899414,507.0,1215455995.0,775880704.0,95.7,3937849753600.0,41302343680.0,18253611008.0,17477730304.0,271365.0,0.2079660892486572,1771741509.9698792,288093.96988010406
2,40.0,71.4,10.0,20.0,23.8,23.8,0.0,0.0,0.0,0.0,57.9,61.9,3504.0,3504.0,702.0,25.9,74.1,0.0,13.2,12.8,3460.0,120629.7594337801,9.816874953920909,0.0,0.0,212311.0,1.44970703125,1.97216796875,1.634765625,4201136128.0,4246110208.0,63078400.0,4182474752.0,75.3,17179869184.0,7679901696.0,3478765568.0,5026.239976407504,9.816874953920909,0.0,9.816874953920909,507.0,1215455995.0,775880704.0,95.7,3937849753600.0,41302343680.0,18253611008.0,17477730304.0,271365.0,0.4116969108581543,1771741510.17361,288094.1736109257
3,38.1,18.2,9.5,25.0,19.0,15.0,0.0,0.0,0.0,0.0,81.0,25.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3460.0,3399184.5020058765,114.46607293931427,0.0,0.0,212311.0,1.44970703125,1.97216796875,1.634765625,3732176896.0,4574609408.0,854736896.0,3719020544.0,73.4,17179869184.0,7210647552.0,3478470656.0,0.0,4.769419705804761,0.0,0.0,507.0,1215455995.0,775880704.0,95.7,3937850195968.0,41302343680.0,18253611008.0,17477730304.0,271365.0,0.621366024017334,1771741510.383279,288094.38328003883
4,15.0,0.0,0.0,9.1,5.0,4.8,0.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3460.0,58507.30047258003,14.284008904438483,0.0,0.0,212311.0,1.44970703125,1.97216796875,1.634765625,4875878400.0,4573659136.0,853622784.0,3719168000.0,73.4,17179869184.0,7212072960.0,2336194560.0,0.0,9.52267260295899,0.0,4.761336301479495,507.0,1215455995.0,775880704.0,95.7,3937850195968.0,41302343680.0,18253611008.0,17477730304.0,271365.0,0.8313910961151123,1771741510.5933042,288094.59330511093
5,18.2,0.0,0.0,10.0,9.5,5.0,9.5,0.0,42.9,0.0,57.1,8.7,3504.0,3504.0,702.0,14.6,85.4,0.0,3.7,10.9,51190.0,0.0,0.0,273047.08721748006,38.092506587260054,143931.0,1.44970703125,1.97216796875,1.634765625,4872454144.0,4560273408.0,837730304.0,3721674752.0,73.5,17179869184.0,7231668224.0,2359214080.0,14627.52252950786,42.854069910667555,29255.04505901572,52.37719655748257,507.0,1215500272.0,775880704.0,95.7,3937850195968.0,41302343680.0,18253611008.0,17477730304.0,227147.0,1.0414071083068848,1771741510.8033202,288094.80332016945
6,5.0,0.0,0.0,9.5,9.5,13.6,0.0,0.0,100.0,0.0,18.2,5.0,3504.0,3504.0,702.0,13.5,86.5,0.0,1.6,12.0,47104.0,331532.3368837358,14.283619753148082,0.0,0.0,151386.0,1.44970703125,1.97216796875,1.634765625,4850794496.0,4500684800.0,770965504.0,3728900096.0,73.8,17179869184.0,7331102720.0,2480308224.0,24377.377712039393,38.08965267506155,0.0,19.044826337530775,507.0,1215500330.0,775880704.0,95.7,3937850195968.0,41302343680.0,18253611008.0,17477730304.0,227588.0,1.251436710357666,1771741511.0133498,288095.0133509636
7,9.5,0.0,0.0,4.8,0.0,4.8,0.0,0.0,100.0,0.0,0.0,0.0,3504.0,3504.0,702.0,9.9,90.1,0.0,1.2,8.7,46610.0,1989286.6058131985,80.94427920789381,0.0,0.0,150853.0,1.44970703125,1.97216796875,1.634765625,4828725248.0,4537401344.0,761626624.0,3774562304.0,73.6,17179869184.0,7300300800.0,2471575552.0,0.0,0.0,0.0,0.0,507.0,1215500342.0,775880704.0,95.7,3937850523648.0,41302343680.0,18253611008.0,17477730304.0,230294.0,1.4614579677581787,1771741511.223371,288095.2233719826
8,4.8,0.0,0.0,9.5,0.0,0.0,0.0,0.0,90.5,0.0,15.0,9.1,3504.0,3504.0,702.0,10.8,89.2,0.0,1.2,9.6,44930.0,15231400.556361668,595.1670376849368,0.0,0.0,150853.0,1.44970703125,1.97216796875,1.634765625,4828725248.0,4537401344.0,761626624.0,3774562304.0,73.6,17179869184.0,7300300800.0,2471575552.0,0.0,0.0,0.0,0.0,507.0,1215500379.0,775880704.0,95.7,3937850523648.0,41302343680.0,18253611008.0,17477730304.0,237483.0,1.671482801437378,1771741511.433396,288095.4333970547
9,9.5,0.0,0.0,5.0,9.1,5.0,0.0,0.0,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,10.8,89.2,0.0,0.8,10.0,44911.0,0.0,0.0,0.0,0.0,150853.0,1.44970703125,1.97216796875,1.634765625,4828725248.0,4537401344.0,761626624.0,3774562304.0,73.6,17179869184.0,7300300800.0,2471575552.0,0.0,4.761449809737447,0.0,0.0,507.0,1215500455.0,775880704.0,95.7,3937850523648.0,41302343680.0,18253611008.0,17477730304.0,237555.0,1.8815031051635744,1771741511.6434162,288095.64341712
