idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,4.0,0.0,0.0,4.0,7.7,4.0,52.0,4.0,32.0,0.0,100.0,0.0,3504.0,3504.0,702.0,17.3,82.7,0.0,0.7,16.6,32368.0,97512.72093213336,14.284089980292972,8425099.088536322,1152.2499250769663,154049.0,2.55517578125,2.38037109375,2.630859375,4334780416.0,5182963712.0,464814080.0,4652613632.0,69.8,17179869184.0,6858719232.0,2523938816.0,0.0,0.0,0.0,0.0,525.0,1217095303.0,1195376640.0,93.5,3938754592768.0,41320923136.0,18253611008.0,17058234368.0,283973.0,0.0018770694732666,1771743607.534027,290191.5340280533
1,9.5,0.0,0.0,5.0,9.5,4.8,4.8,100.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,11.2,88.8,0.0,3.2,8.0,3828.0,97512.72093213336,14.284089980292972,8425099.088536322,1152.2499250769663,153601.0,2.55517578125,2.38037109375,2.630859375,4741464064.0,4783587328.0,58261504.0,4720836608.0,72.2,17179869184.0,7258062848.0,2516598784.0,0.0,0.0,0.0,0.0,525.0,1217123868.0,1195376640.0,93.5,3938754592768.0,41321562112.0,18253611008.0,17058234368.0,288131.0,0.2119009494781494,1771743607.744051,290191.7440519333
2,4.5,0.0,0.0,4.8,0.0,0.0,71.4,77.3,57.1,27.3,22.7,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3828.0,3097763.8516785502,99.26306287422112,0.0,0.0,153601.0,2.55517578125,2.38037109375,2.630859375,4545511424.0,4550082560.0,25313280.0,4520706048.0,73.5,17179869184.0,7062454272.0,2516942848.0,0.0,0.0,0.0,0.0,525.0,1217123868.0,1195376640.0,93.5,3938754592768.0,41321562112.0,18253611008.0,17058234368.0,288131.0,0.4234580993652344,1771743607.955608,290191.9556109905
3,19.0,0.0,0.0,13.6,9.1,13.6,57.1,66.7,36.4,28.6,50.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3828.0,1085996.195544239,181.4086983716476,1219364.149383005,116.28762716131256,153601.0,2.55517578125,2.38037109375,2.630859375,3796615168.0,5108842496.0,873676800.0,4231069696.0,70.3,17179869184.0,6314229760.0,2517614592.0,0.0,0.0,0.0,0.0,525.0,1217123868.0,1195376640.0,93.5,3938754592768.0,41321562112.0,18253611008.0,17058234368.0,288131.0,0.6384439468383789,1771743608.170594,290192.17059516907
4,0.0,0.0,0.0,4.8,4.8,4.5,61.9,76.2,36.4,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3828.0,0.0,0.0,0.0,0.0,153601.0,2.55517578125,2.38037109375,2.630859375,3796615168.0,5108842496.0,873676800.0,4231069696.0,70.3,17179869184.0,6314229760.0,2517614592.0,0.0,18.7265151405224,0.0,0.0,525.0,1217123868.0,1195376640.0,93.5,3938754592768.0,41321562112.0,18253611008.0,17058234368.0,288131.0,0.8520450592041016,1771743608.384195,290192.384196043
5,9.1,0.0,0.0,4.5,4.5,0.0,59.1,63.6,0.0,0.0,19.0,21.7,3504.0,3504.0,702.0,19.4,80.6,0.0,8.1,11.4,52863.0,18825.68595273161,4.596114734553615,0.0,0.0,153663.0,2.55517578125,2.38037109375,2.630859375,3813081088.0,5097209856.0,862044160.0,4231069696.0,70.3,17179869184.0,6330695680.0,2517614592.0,4706.421488182902,9.19222946910723,4706.421488182902,9.19222946910723,525.0,1217180661.0,1195376640.0,93.5,3938754592768.0,41321562112.0,18253611008.0,17058234368.0,258244.0,1.06961989402771,1771743608.60177,290192.60177111626
6,28.6,0.0,0.0,19.0,13.6,17.4,0.0,0.0,0.0,0.0,71.4,95.2,3504.0,3504.0,702.0,20.0,80.0,0.0,3.5,16.5,50897.0,80105927.12906528,2445.2134226658163,37652.60969638791,9.192531664157205,148439.0,2.55517578125,2.38037109375,2.630859375,3924901888.0,5065048064.0,826081280.0,4231069696.0,70.5,17179869184.0,6356926464.0,2432024576.0,0.0,18.38506332831441,4706.576212048489,13.788797496235809,525.0,1217181322.0,1203765248.0,93.4,3938762702848.0,41321562112.0,18253611008.0,17049845760.0,258244.0,1.2871880531311035,1771743608.819338,290192.81933903694
7,45.0,0.0,0.0,35.0,21.1,15.8,0.0,0.0,0.0,0.0,70.0,95.2,3504.0,3504.0,702.0,23.7,76.3,0.0,4.6,19.1,49434.0,67638232.99707009,2269.708962512208,282330.13177071593,39.387574186762826,148371.0,2.55517578125,2.38037109375,2.630859375,3924901888.0,5065048064.0,826081280.0,4231069696.0,70.5,17179869184.0,6356926464.0,2432024576.0,0.0,4.923446773345353,0.0,0.0,527.0,1217181756.0,1220542464.0,93.3,3938762702848.0,41321562112.0,18253611008.0,17033068544.0,258244.0,1.49029803276062,1771743609.022448,290193.02244877815
8,40.9,19.0,0.0,40.9,40.9,40.9,0.0,0.0,0.0,0.0,65.2,72.7,3504.0,3504.0,702.0,27.0,73.0,0.0,4.6,22.4,45800.0,40756448.90473613,1305.2593967578418,0.0,0.0,146265.0,2.55517578125,2.38037109375,2.630859375,3924901888.0,5065048064.0,826081280.0,4231069696.0,70.5,17179869184.0,6356926464.0,2432024576.0,0.0,4.595983791400852,4706.287402394472,4.595983791400852,527.0,1217183151.0,1220542464.0,93.3,3938762702848.0,41321562112.0,18253611008.0,17033068544.0,258257.0,1.707878828048706,1771743609.2400289,290193.2400300503
9,0.0,0.0,0.0,4.8,0.0,0.0,9.1,0.0,0.0,0.0,80.0,77.3,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,45817.0,0.0,0.0,0.0,0.0,146265.0,2.55517578125,2.38037109375,2.630859375,3924901888.0,5065048064.0,826081280.0,4231069696.0,70.5,17179869184.0,6356926464.0,2432024576.0,4778.594510638156,13.999788605385222,0.0,4.666596201795074,527.0,1217183156.0,1220542464.0,93.3,3938762702848.0,41321562112.0,18253611008.0,17033068544.0,258257.0,1.922168016433716,1771743609.454318,290193.45431900024
