idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,12.5,8.3,0.0,20.8,13.0,4.2,0.0,0.0,0.0,0.0,20.0,83.3,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,11884.0,78006.81172653819,9.52231588458718,1014088.5524449964,57.13389530752308,162153.0,1.576171875,1.96728515625,1.9814453125,4133748736.0,4270161920.0,155697152.0,4076470272.0,75.1,17179869184.0,6790463488.0,2656714752.0,9750.851465817272,19.04463176917436,0.0,9.52231588458718,525.0,1199750077.0,1281228800.0,92.5,3927733878784.0,41052831744.0,17179869184.0,15898640384.0,248802.0,0.001957893371582,1771732833.589801,279417.5898010731
1,19.0,4.8,4.5,19.0,13.6,4.8,81.8,0.0,0.0,0.0,65.0,10.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,7463.0,78006.81172653819,9.52231588458718,1014088.5524449964,57.13389530752308,162160.0,1.576171875,1.96728515625,1.9814453125,4133748736.0,4270161920.0,155697152.0,4076470272.0,75.1,17179869184.0,6790463488.0,2656714752.0,9750.851465817272,19.04463176917436,0.0,9.52231588458718,525.0,1199765682.0,1281228800.0,92.5,3927733878784.0,41052831744.0,17179869184.0,15898640384.0,250025.0,0.2119908332824707,1771732833.799834,279417.799834013
2,23.8,0.0,0.0,22.7,0.0,4.8,55.0,9.1,0.0,0.0,100.0,0.0,3504.0,3504.0,702.0,16.5,83.5,0.0,3.0,13.5,7127.0,0.0,0.0,0.0,0.0,162153.0,1.576171875,1.96728515625,1.9814453125,4161126400.0,4213194752.0,78872576.0,4096393216.0,75.5,17179869184.0,6817841152.0,2656714752.0,0.0,0.0,0.0,0.0,525.0,1199766043.0,1281228800.0,92.5,3927733878784.0,41052913664.0,17179869184.0,15898640384.0,250024.0,0.4220197200775146,1771732834.009863,279418.0098628998
3,25.0,0.0,0.0,15.0,13.6,4.8,90.0,9.5,0.0,0.0,59.1,0.0,3504.0,3504.0,702.0,17.9,82.1,0.0,2.8,15.1,6923.0,604572.6929946544,133.3168110812305,0.0,0.0,162153.0,1.576171875,1.96728515625,1.9814453125,4160733184.0,4212424704.0,75382784.0,4098965504.0,75.5,17179869184.0,6817447936.0,2656714752.0,0.0,33.329202770307624,0.0,28.567888088835105,525.0,1199766152.0,1281228800.0,92.5,3927733878784.0,41052913664.0,17179869184.0,15898640384.0,250175.0,0.6320450305938721,1771732834.2198882,279418.21988892555
4,27.3,0.0,0.0,23.8,20.0,5.0,100.0,0.0,0.0,0.0,60.0,0.0,3504.0,3504.0,702.0,19.9,80.1,0.0,2.4,17.5,6976.0,702101.1549928936,42.85285369829673,0.0,0.0,162153.0,1.576171875,1.96728515625,1.9814453125,4160733184.0,4212424704.0,75382784.0,4098965504.0,75.5,17179869184.0,6817447936.0,2656714752.0,34129.917256598994,47.614281886996366,24378.51232614214,57.13713826439564,525.0,1199766228.0,1281228800.0,92.5,3927733878784.0,41052913664.0,17179869184.0,15898640384.0,250245.0,0.842066764831543,1771732834.42991,279418.42990994453
5,75.0,0.0,0.0,57.1,61.9,59.1,85.7,0.0,0.0,0.0,71.4,0.0,3504.0,3504.0,702.0,34.1,65.9,0.0,6.7,27.4,6566.0,3939755.43528183,519.0204189135494,273052.3569007209,38.09324175512289,162169.0,1.576171875,1.96728515625,1.9814453125,4160733184.0,4212424704.0,75382784.0,4098965504.0,75.5,17179869184.0,6817447936.0,2656714752.0,4875.93494465573,23.808276096951808,0.0,19.046620877561445,526.0,1199768683.0,1281228800.0,92.5,3927733878784.0,41052913664.0,17179869184.0,15898640384.0,250295.0,1.052077054977417,1771732834.6399202,279418.63992094994
6,100.0,0.0,0.0,95.5,95.2,100.0,66.7,36.4,0.0,0.0,59.1,0.0,3504.0,3504.0,702.0,46.3,53.7,0.0,11.4,34.9,6851.0,46631641.872192025,2785.460787118395,2866939.086245181,28.56882858582969,162214.0,1.576171875,1.96728515625,1.9814453125,4160733184.0,4212424704.0,75382784.0,4098965504.0,75.5,17179869184.0,6817447936.0,2656714752.0,4875.746745314934,19.04588572388646,9751.493490629868,23.80735715485807,528.0,1199772335.0,1281228800.0,92.5,3927733878784.0,41052913664.0,17179869184.0,15898640384.0,250234.0,1.2620956897735596,1771732834.8499389,279418.84994006157
7,95.5,0.0,0.0,100.0,95.2,95.2,100.0,0.0,0.0,0.0,61.9,0.0,3504.0,3504.0,702.0,45.8,54.2,0.0,12.4,33.5,7036.0,40878678.37055655,2509.321081878814,1267707.1059571449,123.79952206612742,162244.0,1.576171875,1.96728515625,1.9814453125,4157128704.0,4198203392.0,67780608.0,4082892800.0,75.6,17179869184.0,6815334400.0,2658205696.0,4875.796561373634,23.8076003973322,0.0,23.8076003973322,531.0,1199775337.0,1281228800.0,92.5,3927739662336.0,41053552640.0,17179869184.0,15898640384.0,249194.0,1.4721128940582275,1771732835.059956,279419.05995702744
8,66.7,0.0,0.0,61.9,57.1,50.0,100.0,0.0,0.0,0.0,61.9,0.0,3504.0,3504.0,702.0,33.1,66.9,0.0,8.4,24.7,8291.0,94904766.79375245,4947.337306750041,1072700.8166166015,85.70940473676681,162220.0,1.576171875,1.96728515625,1.9814453125,4147937280.0,4202496000.0,73187328.0,4066574336.0,75.5,17179869184.0,6805749760.0,2657812480.0,0.0,9.52326719297409,0.0,9.52326719297409,529.0,1199776547.0,1281228800.0,92.5,3927746510848.0,41053552640.0,17179869184.0,15898640384.0,248204.0,1.6821246147155762,1771732835.2699678,279419.2699689865
9,45.0,0.0,0.0,40.0,38.1,28.6,81.0,9.5,0.0,0.0,66.7,0.0,3504.0,3504.0,702.0,25.6,74.4,0.0,6.8,18.8,9659.0,119299229.6393276,7256.449510039869,253537.67946889956,19.045799238949787,162220.0,1.576171875,1.96728515625,1.9814453125,4140204032.0,4205199360.0,71188480.0,4046897152.0,75.5,17179869184.0,6798016512.0,2657812480.0,0.0,0.0,0.0,0.0,529.0,1199777596.0,1281228800.0,92.5,3927752605696.0,41053552640.0,17179869184.0,15898640384.0,247003.0,1.8921458721160889,1771732835.479989,279419.4799890518
10,45.0,0.0,0.0,47.6,33.3,19.0,100.0,0.0,0.0,0.0,55.0,0.0,3504.0,3504.0,702.0,24.8,75.2,0.0,4.4,20.4,12109.0,87685927.18326126,6547.060379461878,585092.9304932914,61.89947995127594,160182.0,1.68994140625,1.97314453125,1.998046875,4140204032.0,4205199360.0,71188480.0,4046897152.0,75.5,17179869184.0,6798016512.0,2657812480.0,4875.774420777428,9.522996915580912,9751.548841554855,19.045993831161827,528.0,1199777695.0,1281228800.0,92.5,3927752605696.0,41053552640.0,17179869184.0,15898640384.0,246620.0,2.102163791656494,1771732835.690007,279419.69000697136
