idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,7.7,9.8,4.9,9.8,10.0,2.4,0.0,4.9,0.0,0.0,42.9,19.0,3504.0,3504.0,702.0,9.4,90.6,0.0,1.2,8.2,7109.0,3900247.61176122,257.0964001893383,390024.76117612206,52.37148892745779,156736.0,1.5419921875,1.8125,1.67529296875,3339698176.0,3430219776.0,102350848.0,3313713152.0,80.0,17179869184.0,5907660800.0,2567962624.0,4875.309514701526,23.805222239753544,0.0,23.805222239753544,478.0,1194770788.0,1525350400.0,90.5,3925093531648.0,40987967488.0,16106127360.0,14580776960.0,202253.0,0.0029060840606689,1771728657.793492,275241.7934920788
1,22.7,9.5,0.0,23.8,14.3,9.5,0.0,0.0,0.0,0.0,10.0,55.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4427.0,3900247.61176122,257.0964001893383,390024.76117612206,52.37148892745779,156737.0,1.5419921875,1.8125,1.67529296875,3358752768.0,3393077248.0,58130432.0,3320512512.0,80.2,17179869184.0,5926731776.0,2567979008.0,4875.309514701526,23.805222239753544,0.0,23.805222239753544,478.0,1194775708.0,1525350400.0,90.5,3925094187008.0,40988000256.0,16106127360.0,14580776960.0,202662.0,0.2129440307617187,1771728658.00353,275242.0035300255
2,10.0,0.0,0.0,9.5,9.1,0.0,0.0,0.0,0.0,0.0,61.9,4.5,3504.0,3504.0,702.0,9.9,90.1,0.0,3.2,6.8,4508.0,0.0,0.0,0.0,0.0,151427.0,1.5419921875,1.8125,1.67529296875,3399696384.0,3437395968.0,59457536.0,3363504128.0,80.0,17179869184.0,5880676352.0,2480979968.0,0.0,4.761341706511917,0.0,4.761341706511917,478.0,1194776215.0,1525350400.0,90.5,3925094187008.0,40988000256.0,16106127360.0,14580776960.0,205292.0,0.4229688644409179,1771728658.2135549,275242.21355485916
3,14.3,0.0,0.0,0.0,5.0,9.1,0.0,0.0,0.0,0.0,0.0,57.9,3504.0,3504.0,702.0,6.9,93.1,0.0,1.6,5.2,4485.0,0.0,0.0,0.0,0.0,151427.0,1.5419921875,1.8125,1.67529296875,3399827456.0,3437019136.0,59080704.0,3363504128.0,80.0,17179869184.0,5880807424.0,2480979968.0,0.0,0.0,0.0,0.0,478.0,1194776256.0,1525350400.0,90.5,3925094187008.0,40988000256.0,16106127360.0,14580776960.0,205292.0,0.629594087600708,1771728658.42018,275242.420181036
4,23.8,0.0,0.0,14.3,9.5,4.8,0.0,0.0,0.0,0.0,65.0,4.5,3504.0,3504.0,702.0,9.9,90.1,0.0,1.6,8.3,4485.0,0.0,0.0,0.0,0.0,151427.0,1.5419921875,1.8125,1.67529296875,3478044672.0,3435577344.0,57344000.0,3363799040.0,80.0,17179869184.0,5880397824.0,2402353152.0,0.0,19.04627491582147,0.0,19.04627491582147,478.0,1194776256.0,1525350400.0,90.5,3925094187008.0,40988000256.0,16106127360.0,14580776960.0,205292.0,0.839608907699585,1771728658.630195,275242.6301958561
5,5.0,0.0,0.0,5.0,4.8,5.3,0.0,0.0,0.0,0.0,61.9,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4485.0,0.0,0.0,0.0,0.0,151427.0,1.5419921875,1.8125,1.67529296875,3468230656.0,3446276096.0,66273280.0,3365568512.0,79.9,17179869184.0,5870583808.0,2402353152.0,0.0,0.0,0.0,0.0,478.0,1194776256.0,1525350400.0,90.5,3925094187008.0,40988000256.0,16106127360.0,14580776960.0,205292.0,1.043376922607422,1771728658.833963,275242.8339641094
6,14.3,0.0,0.0,14.3,5.0,13.6,0.0,0.0,0.0,0.0,63.6,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4485.0,0.0,0.0,0.0,0.0,151427.0,1.5419921875,1.8125,1.67529296875,3467804672.0,3446669312.0,65830912.0,3366404096.0,79.9,17179869184.0,5870157824.0,2402353152.0,0.0,0.0,0.0,0.0,478.0,1194776256.0,1525350400.0,90.5,3925094187008.0,40988000256.0,16106127360.0,14580776960.0,205292.0,1.2534019947052002,1771728659.043988,275243.0439889431
7,33.3,0.0,0.0,36.4,36.4,30.0,0.0,0.0,0.0,0.0,40.0,19.0,3504.0,3504.0,702.0,11.0,89.0,0.0,2.9,8.0,5052.0,13748887.8511573,676.0936374059232,0.0,0.0,146646.0,1.5419921875,1.8125,1.67529296875,3428614144.0,3467968512.0,68026368.0,3385163776.0,79.8,17179869184.0,5831262208.0,2402648064.0,0.0,4.761222798633263,0.0,0.0,479.0,1194777859.0,1525350400.0,90.5,3925096988672.0,40988000256.0,16106127360.0,14580776960.0,206614.0,1.4634311199188232,1771728659.254017,275243.254019022
8,15.0,0.0,0.0,5.3,15.0,9.1,25.0,4.8,0.0,0.0,0.0,35.0,3504.0,3504.0,702.0,9.1,90.9,0.0,2.9,6.2,4548.0,201372.4514293685,24.581598074874083,3463606.1645851377,658.7868284066254,146646.0,1.5419921875,1.8125,1.67529296875,3428614144.0,3467968512.0,68026368.0,3385163776.0,79.8,17179869184.0,5831262208.0,2402648064.0,0.0,0.0,0.0,0.0,479.0,1194779471.0,1525350400.0,90.5,3925096988672.0,40988000256.0,16106127360.0,14580776960.0,206535.0,1.6668360233306885,1771728659.457422,275243.45742321014
9,19.0,0.0,0.0,14.3,15.0,5.0,61.9,0.0,4.5,0.0,0.0,0.0,3504.0,3504.0,702.0,10.0,90.0,0.0,2.0,8.0,4721.0,0.0,0.0,78010.17674570669,4.761363326764324,146646.0,1.5419921875,1.8125,1.67529296875,3428614144.0,3467968512.0,68026368.0,3385163776.0,79.8,17179869184.0,5831262208.0,2402648064.0,4875.636046606668,28.568179960585944,19502.544186426672,28.568179960585944,479.0,1194780132.0,1525350400.0,90.5,3925096988672.0,40988000256.0,16106127360.0,14580776960.0,206126.0,1.8768599033355713,1771728659.667446,275243.66744709015
