idx,cpu0_pct,cpu10_pct,cpu11_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu_freq_current_mhz,cpu_freq_max_mhz,cpu_freq_min_mhz,cpu_pct,cpu_times_idle_pct,cpu_times_nice_pct,cpu_times_system_pct,cpu_times_user_pct,ctx_switches,disk_read_Bps,disk_read_IOPS,disk_write_Bps,disk_write_IOPS,interrupts,load1,load15,load5,mem_active_bytes,mem_available_bytes,mem_free_bytes,mem_inactive_bytes,mem_percent,mem_total_bytes,mem_used_bytes,mem_wired_bytes,net_recv_Bps,net_recv_Pps,net_sent_Bps,net_sent_Pps,pids_count,soft_interrupts,swap_free_bytes,swap_percent,swap_sin_bytes,swap_sout_bytes,swap_total_bytes,swap_used_bytes,syscalls,t_rel_s,ts_unix_s,uptime_s
0,9.1,0.0,0.0,39.1,8.3,26.1,9.1,50.0,0.0,0.0,90.9,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,13097.0,595224.6262725419,24.21975204559497,9662479.76649093,1172.2359990067964,155538.0,1.90283203125,2.06494140625,2.140625,4567449600.0,4757094400.0,204275712.0,4537008128.0,72.3,17179869184.0,7115784192.0,2548334592.0,0.0,0.0,0.0,0.0,510.0,1198052270.0,928907264.0,94.6,3926387474432.0,41032564736.0,17179869184.0,16250961920.0,277154.0,0.0023338794708251,1771730743.8401668,277327.8401668072
1,20.0,0.0,0.0,20.0,10.5,5.0,28.6,81.0,14.3,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,3844.0,595224.6262725419,24.21975204559497,9662479.76649093,1172.2359990067964,155544.0,1.90283203125,2.06494140625,2.140625,4567449600.0,4757094400.0,204275712.0,4537008128.0,72.3,17179869184.0,7115784192.0,2548334592.0,0.0,0.0,0.0,0.0,510.0,1198065595.0,928907264.0,94.6,3926387474432.0,41032564736.0,17179869184.0,16250961920.0,280713.0,0.2087769508361816,1771730744.04661,277328.04660987854
2,9.5,0.0,0.0,5.0,9.1,9.5,20.0,85.7,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,15.8,84.2,0.0,3.3,12.5,4729.0,199429.44153527013,19.475531399928723,279201.2181493782,38.951062799857446,155475.0,1.90283203125,2.06494140625,2.140625,4610555904.0,4672585728.0,73793536.0,4595073024.0,72.8,17179869184.0,7157858304.0,2547302400.0,0.0,0.0,0.0,0.0,508.0,1198065639.0,928907264.0,94.6,3926387556352.0,41032646656.0,17179869184.0,16250961920.0,280461.0,0.4141628742218017,1771730744.2519958,277328.2519958019
3,18.2,0.0,0.0,13.6,9.5,4.8,43.5,66.7,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,13.3,86.7,0.0,2.0,11.3,4696.0,307426.36602000165,9.381908142700246,0.0,0.0,155475.0,1.90283203125,2.06494140625,2.140625,4611031040.0,4672307200.0,73252864.0,4595335168.0,72.8,17179869184.0,7158333440.0,2547302400.0,0.0,0.0,0.0,0.0,508.0,1198065669.0,928907264.0,94.6,3926387556352.0,41032646656.0,17179869184.0,16250961920.0,280477.0,0.6273379325866699,1771730744.4651709,277328.4651720524
4,5.3,0.0,0.0,9.5,9.5,14.3,15.8,90.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,11.8,88.2,0.0,0.8,11.0,4446.0,0.0,0.0,0.0,0.0,155475.0,1.90283203125,2.06494140625,2.140625,4614995968.0,4668211200.0,69156864.0,4595335168.0,72.8,17179869184.0,7162298368.0,2547302400.0,0.0,0.0,0.0,0.0,508.0,1198065912.0,928907264.0,94.6,3926387556352.0,41032646656.0,17179869184.0,16250961920.0,280477.0,0.8331801891326904,1771730744.671013,277328.67101311684
5,9.5,0.0,0.0,9.5,4.8,0.0,28.6,77.3,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4460.0,1413068.112524408,344.9873321592793,0.0,0.0,155475.0,1.90283203125,2.06494140625,2.140625,4615307264.0,4668932096.0,69386240.0,4595826688.0,72.8,17179869184.0,7162609664.0,2547302400.0,0.0,0.0,0.0,0.0,508.0,1198065952.0,928907264.0,94.6,3926387556352.0,41032646656.0,17179869184.0,16250961920.0,280507.0,1.044780969619751,1771730744.882614,277328.8826150894
6,13.6,0.0,0.0,5.0,9.5,9.1,31.8,76.2,4.8,0.0,4.8,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4395.0,0.0,0.0,0.0,0.0,163688.0,1.90283203125,2.06494140625,2.140625,4615307264.0,4668932096.0,69386240.0,4595826688.0,72.8,17179869184.0,7162609664.0,2547302400.0,0.0,0.0,0.0,0.0,508.0,1198066045.0,928907264.0,94.6,3926387556352.0,41032646656.0,17179869184.0,16250961920.0,276410.0,1.2522051334381104,1771730745.090038,277329.0900390148
7,25.0,0.0,0.0,23.8,25.0,15.0,20.0,81.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,13.3,86.7,0.0,2.1,11.1,4293.0,966466.4627958208,75.50519240592351,270610.6095828299,37.752596202961755,163730.0,1.90283203125,2.06494140625,2.140625,4551655424.0,4597874688.0,65814528.0,4527505408.0,73.2,17179869184.0,7234207744.0,2682552320.0,0.0,0.0,0.0,0.0,511.0,1198067069.0,928907264.0,94.6,3926388490240.0,41032646656.0,17179869184.0,16250961920.0,276337.0,1.464111089706421,1771730745.301944,277329.3019449711
8,33.3,0.0,0.0,28.6,28.6,19.0,27.3,85.0,0.0,0.0,0.0,0.0,3504.0,3504.0,702.0,18.5,81.5,0.0,2.4,16.1,4610.0,11772499.452333758,342.3898012775997,0.0,0.0,164241.0,1.90283203125,2.06494140625,2.140625,4542480384.0,4598874112.0,70926336.0,4523311104.0,73.2,17179869184.0,7233404928.0,2690924544.0,0.0,0.0,0.0,0.0,511.0,1198067788.0,928907264.0,94.6,3926390571008.0,41032646656.0,17179869184.0,16250961920.0,276081.0,1.6714770793914795,1771730745.50931,277329.50931096077
9,5.0,0.0,0.0,19.0,5.0,4.8,20.0,81.0,4.8,0.0,0.0,0.0,3504.0,3504.0,702.0,0.0,0.0,0.0,0.0,0.0,4562.0,0.0,0.0,0.0,0.0,164241.0,1.90283203125,2.06494140625,2.140625,4542529536.0,4598038528.0,70139904.0,4523261952.0,73.2,17179869184.0,7233454080.0,2690924544.0,0.0,0.0,0.0,0.0,511.0,1198067795.0,928907264.0,94.6,3926390571008.0,41032646656.0,17179869184.0,16250961920.0,276078.0,1.8791520595550537,1771730745.716985,277329.71698617935
