idx,ane_power_w,cpu_avg_freq_mhz,cpu_power_w,cpu_residency_active_pct,cpu_temp_c,cpu_usage_pct,fan_rpm,gpu_avg_freq_mhz,gpu_power_w,gpu_residency_active_pct,gpu_temp_c,gpu_usage_pct,soc_temp_c
0,0.0,1756.0,16.047,80.58,59.884517669677734,1703.0,0.0,1299.0,25.506,100.0,54.78093338012695,406.0,0.0
1,0.0,1756.0,16.047,80.58,59.884517669677734,1703.0,0.0,1299.0,25.506,100.0,54.78093338012695,406.0,0.0
2,0.0,1842.0,16.575,73.75,59.884517669677734,1703.0,0.0,1290.0,25.209,100.0,54.78093338012695,406.0,0.0
3,0.0,1634.0,15.917,70.51,59.884517669677734,1703.0,0.0,1282.0,24.721,100.0,54.78093338012695,406.0,0.0
4,0.0,1846.0,17.549,87.59,59.884517669677734,1703.0,0.0,1274.0,24.329,100.0,54.78093338012695,406.0,0.0
5,0.0,1569.0,16.387,80.88,59.884517669677734,1703.0,0.0,1268.0,24.173,100.0,54.78093338012695,406.0,0.0
6,0.0,1704.0,16.27,84.68,59.884517669677734,1703.0,0.0,1262.0,23.885,100.0,54.78093338012695,406.0,0.0
7,0.0,1777.0,16.424,62.1,59.884517669677734,1703.0,0.0,1257.0,23.737,100.0,54.78093338012695,406.0,0.0
8,0.0,1812.0,18.989,52.18,59.884517669677734,1703.0,0.0,1251.0,23.388,100.0,54.78093338012695,406.0,0.0
9,0.0,1299.0,25.559,40.29,59.884517669677734,1703.0,0.0,1246.0,23.158,100.0,54.78093338012695,406.0,0.0
10,0.0,1122.0,25.494,50.14,59.884517669677734,1703.0,0.0,1239.0,22.885,100.0,54.78093338012695,406.0,0.0
11,0.0,1247.0,25.442,44.86,59.884517669677734,1703.0,0.0,1228.0,22.605,98.73,54.78093338012695,406.0,0.0
12,0.0,1233.0,25.248,49.01,59.884517669677734,1703.0,0.0,1154.0,0.837,37.22,54.78093338012695,406.0,0.0
13,0.0,1825.0,23.465,63.44,59.884517669677734,1703.0,0.0,1148.0,0.652,36.36,54.78093338012695,406.0,0.0
14,0.0,1464.0,25.814,45.26,59.884517669677734,1703.0,0.0,460.0,0.65,38.88,54.78093338012695,406.0,0.0
15,0.0,2134.0,26.389,68.45,59.884517669677734,1703.0,0.0,444.0,0.611,37.42,54.78093338012695,406.0,0.0
16,0.0,1271.0,25.545,63.69,59.884517669677734,1703.0,0.0,444.0,0.645,39.45,54.78093338012695,406.0,0.0
17,0.0,1477.0,25.924,53.08,59.884517669677734,1703.0,0.0,444.0,0.6,36.94,54.78093338012695,406.0,0.0
18,0.0,1647.0,26.116,51.68,59.884517669677734,1703.0,0.0,444.0,0.656,40.83,54.78093338012695,406.0,0.0
19,0.0,1958.0,27.092,53.33,59.884517669677734,1703.0,0.0,444.0,0.349,29.52,54.78093338012695,406.0,0.0
20,0.0,1917.0,25.835,58.4,59.884517669677734,1703.0,0.0,444.0,0.619,35.09,54.78093338012695,406.0,0.0
21,0.0,1733.0,27.423,57.56,59.884517669677734,1703.0,0.0,444.0,0.485,31.95,54.78093338012695,406.0,0.0
22,0.0,2136.0,28.959,46.04,59.884517669677734,1703.0,0.0,444.0,0.25,20.66,54.78093338012695,406.0,0.0
23,0.0,2275.0,25.319,59.12,59.884517669677734,1703.0,0.0,444.0,0.321,27.05,54.78093338012695,406.0,0.0
24,0.0,1962.0,27.3,48.49,59.884517669677734,1703.0,0.0,444.0,0.403,29.19,54.78093338012695,406.0,0.0
25,0.0,1413.0,25.704,58.11,59.884517669677734,1703.0,0.0,444.0,0.635,37.94,54.78093338012695,406.0,0.0
26,0.0,1647.0,25.716,53.64,59.884517669677734,1703.0,0.0,444.0,0.604,38.53,54.78093338012695,406.0,0.0
27,0.0,1393.0,25.864,42.99,59.884517669677734,1703.0,0.0,444.0,0.628,36.63,54.78093338012695,406.0,0.0
28,0.0,1876.0,28.17,51.84,59.884517669677734,1703.0,0.0,444.0,0.326,28.14,54.78093338012695,406.0,0.0
29,0.0,1702.0,27.929,53.31,59.884517669677734,1703.0,0.0,444.0,0.471,31.84,54.78093338012695,406.0,0.0
