idx,ane_power_w,cpu_avg_freq_mhz,cpu_power_w,cpu_residency_active_pct,cpu_temp_c,cpu_usage_pct,fan_rpm,gpu_avg_freq_mhz,gpu_power_w,gpu_residency_active_pct,gpu_temp_c,gpu_usage_pct,soc_temp_c
0,0.0,1892.0,10.067138671875,36.99,65.26516723632812,2146.0,0.0,1367.0,0.0519568659365177,100.0,55.997901916503906,444.0,0.0
1,0.0,1892.0,10.067138671875,36.99,65.26516723632812,2146.0,0.0,1367.0,0.0519568659365177,100.0,55.997901916503906,444.0,0.0
2,0.0,1892.0,10.067138671875,36.99,65.26516723632812,2146.0,0.0,1367.0,0.0519568659365177,100.0,55.997901916503906,444.0,0.0
3,0.0,1892.0,10.067138671875,36.99,65.26516723632812,2146.0,0.0,1367.0,0.0519568659365177,100.0,55.997901916503906,444.0,0.0
4,0.0,1892.0,10.067138671875,36.99,65.26516723632812,2146.0,0.0,1367.0,0.0519568659365177,100.0,55.997901916503906,444.0,0.0
5,0.0,1892.0,11.523591995239258,36.99,65.14703369140625,2185.0,0.0,1367.0,0.1199425160884857,100.0,55.96625900268555,475.0,0.0
6,0.0,1892.0,11.523591995239258,36.99,65.14703369140625,2185.0,0.0,1367.0,0.1199425160884857,100.0,55.96625900268555,475.0,0.0
7,0.0,1892.0,11.523591995239258,36.99,65.14703369140625,2185.0,0.0,1367.0,0.1199425160884857,100.0,55.96625900268555,475.0,0.0
8,0.0,1892.0,11.523591995239258,36.99,65.14703369140625,2185.0,0.0,1367.0,0.1199425160884857,100.0,55.96625900268555,475.0,0.0
9,0.0,1892.0,11.805729866027832,36.99,65.72331237792969,1911.0,0.0,1367.0,0.0948808491230011,100.0,55.771461486816406,444.0,0.0
10,0.0,1892.0,11.805729866027832,36.99,65.72331237792969,1911.0,0.0,1367.0,0.0948808491230011,100.0,55.771461486816406,444.0,0.0
11,0.0,1892.0,11.805729866027832,36.99,65.72331237792969,1911.0,0.0,1367.0,0.0948808491230011,100.0,55.771461486816406,444.0,0.0
12,0.0,1892.0,11.805729866027832,36.99,65.72331237792969,1911.0,0.0,1367.0,0.0948808491230011,100.0,55.771461486816406,444.0,0.0
13,0.0,1892.0,11.805729866027832,36.99,65.72331237792969,1911.0,0.0,1367.0,0.0948808491230011,100.0,55.771461486816406,444.0,0.0
14,0.0,1892.0,16.716651916503906,36.99,67.88267517089844,2058.0,0.0,1367.0,0.2986670136451721,100.0,56.15641021728515,469.0,0.0
15,0.0,1892.0,16.716651916503906,36.99,67.88267517089844,2058.0,0.0,1367.0,0.2986670136451721,100.0,56.15641021728515,469.0,0.0
16,0.0,1892.0,16.716651916503906,36.99,67.88267517089844,2058.0,0.0,1367.0,0.2986670136451721,100.0,56.15641021728515,469.0,0.0
17,0.0,1892.0,16.716651916503906,36.99,67.88267517089844,2058.0,0.0,1367.0,0.2986670136451721,100.0,56.15641021728515,469.0,0.0
18,0.0,1892.0,15.772682189941406,36.99,68.13030242919922,1899.0,0.0,1367.0,0.3693482577800751,100.0,56.45884323120117,446.0,0.0
19,0.0,1892.0,15.772682189941406,36.99,68.13030242919922,1899.0,0.0,1367.0,0.3693482577800751,100.0,56.45884323120117,446.0,0.0
20,0.0,1892.0,15.772682189941406,36.99,68.13030242919922,1899.0,0.0,1367.0,0.3693482577800751,100.0,56.45884323120117,446.0,0.0
21,0.0,1892.0,15.772682189941406,36.99,68.13030242919922,1899.0,0.0,1367.0,0.3693482577800751,100.0,56.45884323120117,446.0,0.0
22,0.0,1892.0,15.772682189941406,36.99,68.13030242919922,1899.0,0.0,1367.0,0.3693482577800751,100.0,56.45884323120117,446.0,0.0
23,0.0,1892.0,13.647164344787598,36.99,67.25318145751953,1589.0,0.0,1367.0,0.3622703552246094,100.0,56.37481689453125,590.0,0.0
24,0.0,1892.0,13.647164344787598,36.99,67.25318145751953,1589.0,0.0,1367.0,0.3622703552246094,100.0,56.37481689453125,590.0,0.0
