idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,10.64883804321289,0.0,10.647859573364258,1197.0,0.0624106712639331,0.0009784582071006,0.0,111.0,0.0007457435713149,17179869184.0,12784222208.0,5368709120.0,3703635968.0,2007.0,0.2127413153648376,1.1118676662445068,21.450353622436523,65.18341827392578,57.320030212402344,2026.0
1,10.64883804321289,0.0,10.647859573364258,1197.0,0.0624106712639331,0.0009784582071006,0.0,111.0,0.0007457435713149,17179869184.0,12784222208.0,5368709120.0,3703635968.0,2007.0,0.2127413153648376,1.1118676662445068,21.450353622436523,65.18341827392578,57.320030212402344,2026.0
2,10.64883804321289,0.0,10.647859573364258,1197.0,0.0624106712639331,0.0009784582071006,0.0,111.0,0.0007457435713149,17179869184.0,12784222208.0,5368709120.0,3703635968.0,2007.0,0.2127413153648376,1.1118676662445068,21.450353622436523,65.18341827392578,57.320030212402344,2026.0
3,10.64883804321289,0.0,10.647859573364258,1197.0,0.0624106712639331,0.0009784582071006,0.0,111.0,0.0007457435713149,17179869184.0,12784222208.0,5368709120.0,3703635968.0,2007.0,0.2127413153648376,1.1118676662445068,21.450353622436523,65.18341827392578,57.320030212402344,2026.0
4,10.64883804321289,0.0,10.647859573364258,1197.0,0.0624106712639331,0.0009784582071006,0.0,111.0,0.0007457435713149,17179869184.0,12784222208.0,5368709120.0,3703635968.0,2007.0,0.2127413153648376,1.1118676662445068,21.450353622436523,65.18341827392578,57.320030212402344,2026.0
5,10.91804027557373,0.0,10.916833877563477,1125.0,0.0550167188048362,0.0012068171054124,0.0,222.0,0.0013899374753236,17179869184.0,12795183104.0,5368709120.0,3703635968.0,1992.0,0.2134563773870468,1.132728934288025,21.34798812866211,67.26393127441406,57.209617614746094,2026.0
6,10.91804027557373,0.0,10.916833877563477,1125.0,0.0550167188048362,0.0012068171054124,0.0,222.0,0.0013899374753236,17179869184.0,12795183104.0,5368709120.0,3703635968.0,1992.0,0.2134563773870468,1.132728934288025,21.34798812866211,67.26393127441406,57.209617614746094,2026.0
7,10.91804027557373,0.0,10.916833877563477,1125.0,0.0550167188048362,0.0012068171054124,0.0,222.0,0.0013899374753236,17179869184.0,12795183104.0,5368709120.0,3703635968.0,1992.0,0.2134563773870468,1.132728934288025,21.34798812866211,67.26393127441406,57.209617614746094,2026.0
8,10.91804027557373,0.0,10.916833877563477,1125.0,0.0550167188048362,0.0012068171054124,0.0,222.0,0.0013899374753236,17179869184.0,12795183104.0,5368709120.0,3703635968.0,1992.0,0.2134563773870468,1.132728934288025,21.34798812866211,67.26393127441406,57.209617614746094,2026.0
9,10.91804027557373,0.0,10.916833877563477,1125.0,0.0550167188048362,0.0012068171054124,0.0,222.0,0.0013899374753236,17179869184.0,12795183104.0,5368709120.0,3703635968.0,1992.0,0.2134563773870468,1.132728934288025,21.34798812866211,67.26393127441406,57.209617614746094,2026.0
