idx,ane_power_w,cpu_avg_freq_mhz,cpu_power_w,cpu_residency_active_pct,cpu_temp_c,cpu_usage_pct,fan_rpm,gpu_avg_freq_mhz,gpu_power_w,gpu_residency_active_pct,gpu_temp_c,gpu_usage_pct,soc_temp_c
0,0.0,1892.0,12.476137161254885,36.99,64.20641326904297,1094.0,0.0,1367.0,0.0069253537803888,100.0,5.8734002113342285,111.0,0.0
1,0.0,1892.0,12.476137161254885,36.99,64.20641326904297,1094.0,0.0,1367.0,0.0069253537803888,100.0,5.8734002113342285,111.0,0.0
2,0.0,1892.0,12.476137161254885,36.99,64.20641326904297,1094.0,0.0,1367.0,0.0069253537803888,100.0,5.8734002113342285,111.0,0.0
3,0.0,1892.0,12.476137161254885,36.99,64.20641326904297,1094.0,0.0,1367.0,0.0069253537803888,100.0,5.8734002113342285,111.0,0.0
4,0.0,1892.0,12.476137161254885,36.99,64.20641326904297,1094.0,0.0,1367.0,0.0069253537803888,100.0,5.8734002113342285,111.0,0.0
5,0.0,1892.0,12.50300121307373,36.99,65.2494888305664,1082.0,0.0,1367.0,0.0,100.0,22.938398361206055,0.0,0.0
6,0.0,1892.0,12.50300121307373,36.99,65.2494888305664,1082.0,0.0,1367.0,0.0,100.0,22.938398361206055,0.0,0.0
7,0.0,1892.0,12.50300121307373,36.99,65.2494888305664,1082.0,0.0,1367.0,0.0,100.0,22.938398361206055,0.0,0.0
8,0.0,1892.0,12.50300121307373,36.99,65.2494888305664,1082.0,0.0,1367.0,0.0,100.0,22.938398361206055,0.0,0.0
9,0.0,1892.0,12.50300121307373,36.99,65.2494888305664,1082.0,0.0,1367.0,0.0,100.0,22.938398361206055,0.0,0.0
10,0.0,1892.0,12.50300121307373,36.99,65.2494888305664,1082.0,0.0,1367.0,0.0,100.0,22.938398361206055,0.0,0.0
11,0.0,1892.0,12.40129852294922,36.99,65.98564910888672,1128.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
12,0.0,1892.0,12.40129852294922,36.99,65.98564910888672,1128.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
13,0.0,1892.0,12.40129852294922,36.99,65.98564910888672,1128.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
14,0.0,1892.0,12.40129852294922,36.99,65.98564910888672,1128.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
15,0.0,1892.0,12.40129852294922,36.99,65.98564910888672,1128.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
16,0.0,1892.0,12.590161323547363,36.99,66.25782012939453,1399.0,0.0,1367.0,0.003575942479074,100.0,58.15544891357422,111.0,0.0
17,0.0,1892.0,12.590161323547363,36.99,66.25782012939453,1399.0,0.0,1367.0,0.003575942479074,100.0,58.15544891357422,111.0,0.0
18,0.0,1892.0,12.590161323547363,36.99,66.25782012939453,1399.0,0.0,1367.0,0.003575942479074,100.0,58.15544891357422,111.0,0.0
19,0.0,1892.0,12.590161323547363,36.99,66.25782012939453,1399.0,0.0,1367.0,0.003575942479074,100.0,58.15544891357422,111.0,0.0
20,0.0,1892.0,12.590161323547363,36.99,66.25782012939453,1399.0,0.0,1367.0,0.003575942479074,100.0,58.15544891357422,111.0,0.0
21,0.0,1892.0,12.428644180297852,36.99,66.2513198852539,1271.0,0.0,1367.0,4.54649816674646e-05,100.0,58.201805114746094,111.0,0.0
22,0.0,1892.0,12.428644180297852,36.99,66.2513198852539,1271.0,0.0,1367.0,4.54649816674646e-05,100.0,58.201805114746094,111.0,0.0
23,0.0,1892.0,12.428644180297852,36.99,66.2513198852539,1271.0,0.0,1367.0,4.54649816674646e-05,100.0,58.201805114746094,111.0,0.0
24,0.0,1892.0,12.428644180297852,36.99,66.2513198852539,1271.0,0.0,1367.0,4.54649816674646e-05,100.0,58.201805114746094,111.0,0.0
25,0.0,1892.0,12.428644180297852,36.99,66.2513198852539,1271.0,0.0,1367.0,4.54649816674646e-05,100.0,58.201805114746094,111.0,0.0
26,0.0,1892.0,12.46957015991211,36.99,66.05711364746094,1303.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
27,0.0,1892.0,12.46957015991211,36.99,66.05711364746094,1303.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
28,0.0,1892.0,12.46957015991211,36.99,66.05711364746094,1303.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
29,0.0,1892.0,12.46957015991211,36.99,66.05711364746094,1303.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
30,0.0,1892.0,12.46957015991211,36.99,66.05711364746094,1303.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
31,0.0,1892.0,12.428661346435549,36.99,65.72301483154297,1167.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
32,0.0,1892.0,12.428661346435549,36.99,65.72301483154297,1167.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
33,0.0,1892.0,12.428661346435549,36.99,65.72301483154297,1167.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
34,0.0,1892.0,12.428661346435549,36.99,65.72301483154297,1167.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
35,0.0,1892.0,12.428661346435549,36.99,65.72301483154297,1167.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
36,0.0,1892.0,12.43594741821289,36.99,65.7589111328125,1158.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
37,0.0,1892.0,12.43594741821289,36.99,65.7589111328125,1158.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
38,0.0,1892.0,12.43594741821289,36.99,65.7589111328125,1158.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
39,0.0,1892.0,12.43594741821289,36.99,65.7589111328125,1158.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
40,0.0,1892.0,12.43594741821289,36.99,65.7589111328125,1158.0,0.0,1367.0,0.0,100.0,5.8734002113342285,0.0,0.0
41,0.0,1892.0,12.480737686157228,36.99,66.1540756225586,1086.0,0.0,1367.0,0.0052959788590669,100.0,58.8629035949707,222.0,0.0
42,0.0,1892.0,12.480737686157228,36.99,66.1540756225586,1086.0,0.0,1367.0,0.0052959788590669,100.0,58.8629035949707,222.0,0.0
43,0.0,1892.0,12.480737686157228,36.99,66.1540756225586,1086.0,0.0,1367.0,0.0052959788590669,100.0,58.8629035949707,222.0,0.0
44,0.0,1892.0,12.480737686157228,36.99,66.1540756225586,1086.0,0.0,1367.0,0.0052959788590669,100.0,58.8629035949707,222.0,0.0
45,0.0,1892.0,12.480737686157228,36.99,66.1540756225586,1086.0,0.0,1367.0,0.0052959788590669,100.0,58.8629035949707,222.0,0.0
46,0.0,1892.0,12.410394668579102,36.99,65.99564361572266,1129.0,0.0,1367.0,0.0034706341102719,100.0,58.99347686767578,354.0,0.0
47,0.0,1892.0,12.410394668579102,36.99,65.99564361572266,1129.0,0.0,1367.0,0.0034706341102719,100.0,58.99347686767578,354.0,0.0
