idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,13.583256721496582,0.0,13.582046508789062,1407.0,0.1320588737726211,0.001210045767948,0.0,111.0,0.0015282796230167,17179869184.0,13025542144.0,5368709120.0,3661692928.0,2518.0,0.2660380899906158,1.7293781042099,33.620323181152344,64.5828857421875,55.73097610473633,2026.0
1,13.583256721496582,0.0,13.582046508789062,1407.0,0.1320588737726211,0.001210045767948,0.0,111.0,0.0015282796230167,17179869184.0,13025542144.0,5368709120.0,3661692928.0,2518.0,0.2660380899906158,1.7293781042099,33.620323181152344,64.5828857421875,55.73097610473633,2026.0
2,13.583256721496582,0.0,13.582046508789062,1407.0,0.1320588737726211,0.001210045767948,0.0,111.0,0.0015282796230167,17179869184.0,13025542144.0,5368709120.0,3661692928.0,2518.0,0.2660380899906158,1.7293781042099,33.620323181152344,64.5828857421875,55.73097610473633,2026.0
3,13.583256721496582,0.0,13.582046508789062,1407.0,0.1320588737726211,0.001210045767948,0.0,111.0,0.0015282796230167,17179869184.0,13025542144.0,5368709120.0,3661692928.0,2518.0,0.2660380899906158,1.7293781042099,33.620323181152344,64.5828857421875,55.73097610473633,2026.0
4,13.583256721496582,0.0,13.582046508789062,1407.0,0.1320588737726211,0.001210045767948,0.0,111.0,0.0015282796230167,17179869184.0,13025542144.0,5368709120.0,3661692928.0,2518.0,0.2660380899906158,1.7293781042099,33.620323181152344,64.5828857421875,55.73097610473633,2026.0
5,13.0252685546875,0.0,13.023597717285156,1068.0,0.0391670279204845,0.0016710320487618,0.0,222.0,0.0013156884815543,17179869184.0,13026033664.0,5368709120.0,3661692928.0,2190.0,0.2575051188468933,1.6810451745986938,33.430335998535156,63.1259651184082,55.73148727416992,2026.0
6,13.0252685546875,0.0,13.023597717285156,1068.0,0.0391670279204845,0.0016710320487618,0.0,222.0,0.0013156884815543,17179869184.0,13026033664.0,5368709120.0,3661692928.0,2190.0,0.2575051188468933,1.6810451745986938,33.430335998535156,63.1259651184082,55.73148727416992,2026.0
7,13.0252685546875,0.0,13.023597717285156,1068.0,0.0391670279204845,0.0016710320487618,0.0,222.0,0.0013156884815543,17179869184.0,13026033664.0,5368709120.0,3661692928.0,2190.0,0.2575051188468933,1.6810451745986938,33.430335998535156,63.1259651184082,55.73148727416992,2026.0
8,13.0252685546875,0.0,13.023597717285156,1068.0,0.0391670279204845,0.0016710320487618,0.0,222.0,0.0013156884815543,17179869184.0,13026033664.0,5368709120.0,3661692928.0,2190.0,0.2575051188468933,1.6810451745986938,33.430335998535156,63.1259651184082,55.73148727416992,2026.0
9,13.0252685546875,0.0,13.023597717285156,1068.0,0.0391670279204845,0.0016710320487618,0.0,222.0,0.0013156884815543,17179869184.0,13026033664.0,5368709120.0,3661692928.0,2190.0,0.2575051188468933,1.6810451745986938,33.430335998535156,63.1259651184082,55.73148727416992,2026.0
10,13.0252685546875,0.0,13.023597717285156,1068.0,0.0391670279204845,0.0016710320487618,0.0,222.0,0.0013156884815543,17179869184.0,13026033664.0,5368709120.0,3661692928.0,2190.0,0.2575051188468933,1.6810451745986938,33.430335998535156,63.1259651184082,55.73148727416992,2026.0
11,13.01968765258789,0.0,13.01828956604004,1250.0,0.0673505961894989,0.0013981775846332,0.0,222.0,0.0005053674685768,17179869184.0,13030178816.0,5368709120.0,3661692928.0,1752.0,0.2527413964271545,1.704036831855774,32.31150817871094,63.646514892578125,55.829200744628906,2026.0
12,13.01968765258789,0.0,13.01828956604004,1250.0,0.0673505961894989,0.0013981775846332,0.0,222.0,0.0005053674685768,17179869184.0,13030178816.0,5368709120.0,3661692928.0,1752.0,0.2527413964271545,1.704036831855774,32.31150817871094,63.646514892578125,55.829200744628906,2026.0
13,13.01968765258789,0.0,13.01828956604004,1250.0,0.0673505961894989,0.0013981775846332,0.0,222.0,0.0005053674685768,17179869184.0,13030178816.0,5368709120.0,3661692928.0,1752.0,0.2527413964271545,1.704036831855774,32.31150817871094,63.646514892578125,55.829200744628906,2026.0
14,13.01968765258789,0.0,13.01828956604004,1250.0,0.0673505961894989,0.0013981775846332,0.0,222.0,0.0005053674685768,17179869184.0,13030178816.0,5368709120.0,3661692928.0,1752.0,0.2527413964271545,1.704036831855774,32.31150817871094,63.646514892578125,55.829200744628906,2026.0
15,13.01968765258789,0.0,13.01828956604004,1250.0,0.0673505961894989,0.0013981775846332,0.0,222.0,0.0005053674685768,17179869184.0,13030178816.0,5368709120.0,3661692928.0,1752.0,0.2527413964271545,1.704036831855774,32.31150817871094,63.646514892578125,55.829200744628906,2026.0
16,13.080716133117676,0.0,13.080041885375977,1344.0,0.1043856367468833,0.0006746547296643,0.0,111.0,0.0007065967656672,17179869184.0,13042237440.0,5368709120.0,3661692928.0,2080.0,0.2517284154891968,1.7126414775848389,32.67549133300781,63.170536041259766,55.867950439453125,2026.0
