idx,all_power,ane_power,cpu_power,ecpu_usage_0,ecpu_usage_1,gpu_power,gpu_ram_power,gpu_usage_0,gpu_usage_1,memory_ram_total,memory_ram_usage,memory_swap_total,memory_swap_usage,pcpu_usage_0,pcpu_usage_1,ram_power,sys_power,temp_cpu_temp_avg,temp_gpu_temp_avg,timestamp
0,15.182860374450684,0.0,14.905227661132812,1916.0,0.1552125513553619,0.2776328325271606,0.0097583858296275,515.0,0.0880710706114769,17179869184.0,14196555776.0,5368709120.0,3760717824.0,3474.0,0.3743028938770294,1.9808216094970703,23.30546188354492,64.51554107666016,55.275634765625,2026.0
1,15.182860374450684,0.0,14.905227661132812,1916.0,0.1552125513553619,0.2776328325271606,0.0097583858296275,515.0,0.0880710706114769,17179869184.0,14196555776.0,5368709120.0,3760717824.0,3474.0,0.3743028938770294,1.9808216094970703,23.30546188354492,64.51554107666016,55.275634765625,2026.0
2,15.182860374450684,0.0,14.905227661132812,1916.0,0.1552125513553619,0.2776328325271606,0.0097583858296275,515.0,0.0880710706114769,17179869184.0,14196555776.0,5368709120.0,3760717824.0,3474.0,0.3743028938770294,1.9808216094970703,23.30546188354492,64.51554107666016,55.275634765625,2026.0
3,15.182860374450684,0.0,14.905227661132812,1916.0,0.1552125513553619,0.2776328325271606,0.0097583858296275,515.0,0.0880710706114769,17179869184.0,14196555776.0,5368709120.0,3760717824.0,3474.0,0.3743028938770294,1.9808216094970703,23.30546188354492,64.51554107666016,55.275634765625,2026.0
4,15.182860374450684,0.0,14.905227661132812,1916.0,0.1552125513553619,0.2776328325271606,0.0097583858296275,515.0,0.0880710706114769,17179869184.0,14196555776.0,5368709120.0,3760717824.0,3474.0,0.3743028938770294,1.9808216094970703,23.30546188354492,64.51554107666016,55.275634765625,2026.0
5,14.72234058380127,0.0,14.295147895812988,1770.0,0.1663578450679779,0.4271930158138275,0.0115638524293899,608.0,0.1053580939769744,17179869184.0,14265761792.0,5368709120.0,3760717824.0,3462.0,0.3902815580368042,1.9927170276641848,30.963621139526367,66.40168762207031,55.839935302734375,2026.0
6,14.72234058380127,0.0,14.295147895812988,1770.0,0.1663578450679779,0.4271930158138275,0.0115638524293899,608.0,0.1053580939769744,17179869184.0,14265761792.0,5368709120.0,3760717824.0,3462.0,0.3902815580368042,1.9927170276641848,30.963621139526367,66.40168762207031,55.839935302734375,2026.0
7,14.72234058380127,0.0,14.295147895812988,1770.0,0.1663578450679779,0.4271930158138275,0.0115638524293899,608.0,0.1053580939769744,17179869184.0,14265761792.0,5368709120.0,3760717824.0,3462.0,0.3902815580368042,1.9927170276641848,30.963621139526367,66.40168762207031,55.839935302734375,2026.0
8,14.72234058380127,0.0,14.295147895812988,1770.0,0.1663578450679779,0.4271930158138275,0.0115638524293899,608.0,0.1053580939769744,17179869184.0,14265761792.0,5368709120.0,3760717824.0,3462.0,0.3902815580368042,1.9927170276641848,30.963621139526367,66.40168762207031,55.839935302734375,2026.0
9,14.72234058380127,0.0,14.295147895812988,1770.0,0.1663578450679779,0.4271930158138275,0.0115638524293899,608.0,0.1053580939769744,17179869184.0,14265761792.0,5368709120.0,3760717824.0,3462.0,0.3902815580368042,1.9927170276641848,30.963621139526367,66.40168762207031,55.839935302734375,2026.0
10,14.72234058380127,0.0,14.295147895812988,1770.0,0.1663578450679779,0.4271930158138275,0.0115638524293899,608.0,0.1053580939769744,17179869184.0,14265761792.0,5368709120.0,3760717824.0,3462.0,0.3902815580368042,1.9927170276641848,30.963621139526367,66.40168762207031,55.839935302734375,2026.0
11,10.759108543395996,0.0,10.536901473999023,2053.0,0.2708858847618103,0.2222069352865219,0.0076965880580246,444.0,0.058473914861679,17179869184.0,14115094528.0,5368709120.0,3760717824.0,3145.0,0.2463922351598739,1.8122605085372925,32.13111114501953,66.54035186767578,56.33885955810547,2026.0
12,10.759108543395996,0.0,10.536901473999023,2053.0,0.2708858847618103,0.2222069352865219,0.0076965880580246,444.0,0.058473914861679,17179869184.0,14115094528.0,5368709120.0,3760717824.0,3145.0,0.2463922351598739,1.8122605085372925,32.13111114501953,66.54035186767578,56.33885955810547,2026.0
13,10.759108543395996,0.0,10.536901473999023,2053.0,0.2708858847618103,0.2222069352865219,0.0076965880580246,444.0,0.058473914861679,17179869184.0,14115094528.0,5368709120.0,3760717824.0,3145.0,0.2463922351598739,1.8122605085372925,32.13111114501953,66.54035186767578,56.33885955810547,2026.0
14,10.759108543395996,0.0,10.536901473999023,2053.0,0.2708858847618103,0.2222069352865219,0.0076965880580246,444.0,0.058473914861679,17179869184.0,14115094528.0,5368709120.0,3760717824.0,3145.0,0.2463922351598739,1.8122605085372925,32.13111114501953,66.54035186767578,56.33885955810547,2026.0
15,10.759108543395996,0.0,10.536901473999023,2053.0,0.2708858847618103,0.2222069352865219,0.0076965880580246,444.0,0.058473914861679,17179869184.0,14115094528.0,5368709120.0,3760717824.0,3145.0,0.2463922351598739,1.8122605085372925,32.13111114501953,66.54035186767578,56.33885955810547,2026.0
16,9.05142879486084,0.0,9.022011756896973,1871.0,0.2301585376262664,0.0294175017625093,0.0009727626456879,444.0,0.0197738241404294,17179869184.0,14037286912.0,5368709120.0,3760717824.0,2668.0,0.1656122952699661,1.6236441135406494,29.636137008666992,63.79925537109375,55.906776428222656,2026.0
17,9.05142879486084,0.0,9.022011756896973,1871.0,0.2301585376262664,0.0294175017625093,0.0009727626456879,444.0,0.0197738241404294,17179869184.0,14037286912.0,5368709120.0,3760717824.0,2668.0,0.1656122952699661,1.6236441135406494,29.636137008666992,63.79925537109375,55.906776428222656,2026.0
18,9.05142879486084,0.0,9.022011756896973,1871.0,0.2301585376262664,0.0294175017625093,0.0009727626456879,444.0,0.0197738241404294,17179869184.0,14037286912.0,5368709120.0,3760717824.0,2668.0,0.1656122952699661,1.6236441135406494,29.636137008666992,63.79925537109375,55.906776428222656,2026.0
