idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.389655172413793,1000000.0,10.0,1.0,290.0,4.0,290000000.0,31.0,46.0
1,3.7893401015228423,1000000.0,10.0,1.0,394.0,24.0,394000000.0,27.0,55.0
2,4.07051282051282,1000000.0,10.0,1.0,468.0,33.0,468000000.0,42.0,77.0
3,3.681578947368421,1000000.0,7.0,1.0,380.0,26.0,380000000.0,32.0,60.0
4,3.4671532846715327,1000000.0,7.0,1.0,411.0,20.0,411000000.0,36.0,68.0
5,3.07741935483871,1000000.0,11.0,1.0,465.0,99.0,465000000.0,23.0,41.0
6,3.4825396825396826,1000000.0,7.0,1.0,315.0,17.0,315000000.0,16.0,35.0
7,3.3234323432343236,1000000.0,7.0,1.0,303.0,12.0,303000000.0,32.0,50.0
8,4.095419847328245,1000000.0,7.0,1.0,262.0,12.0,262000000.0,22.0,41.0
9,3.980132450331126,1000000.0,9.0,1.0,302.0,13.0,302000000.0,26.0,48.0
10,4.59375,1000000.0,11.0,1.0,224.0,1.0,224000000.0,16.0,26.0
11,3.1671159029649596,1000000.0,7.0,1.0,371.0,21.0,371000000.0,30.0,53.0
12,4.03598971722365,1000000.0,8.0,1.0,389.0,56.0,389000000.0,27.0,47.0
13,5.045180722891566,1000000.0,10.0,1.0,332.0,71.0,332000000.0,14.0,27.0
14,4.25,1000000.0,11.0,1.0,308.0,19.0,308000000.0,28.0,49.0
15,3.833935018050542,1000000.0,11.0,1.0,277.0,12.0,277000000.0,30.0,46.0
16,4.461538461538462,1000000.0,9.0,1.0,234.0,4.0,234000000.0,18.0,29.0
17,7.402439024390244,1000000.0,11.0,1.0,246.0,9.0,246000000.0,16.0,30.0
18,6.891050583657588,1000000.0,11.0,1.0,257.0,7.0,257000000.0,19.0,36.0
19,6.907692307692308,1000000.0,11.0,1.0,260.0,9.0,260000000.0,22.0,38.0
20,7.857142857142857,1000000.0,11.0,1.0,238.0,2.0,238000000.0,12.0,23.0
21,6.457142857142857,1000000.0,11.0,1.0,315.0,17.0,315000000.0,29.0,54.0
22,6.58477508650519,1000000.0,11.0,1.0,289.0,7.0,289000000.0,29.0,47.0
23,6.671378091872792,1000000.0,11.0,1.0,283.0,12.0,283000000.0,36.0,55.0
24,5.853503184713376,1000000.0,11.0,1.0,314.0,19.0,314000000.0,51.0,76.0
25,7.7,1000000.0,11.0,1.0,230.0,6.0,230000000.0,13.0,22.0
26,6.940074906367041,1000000.0,11.0,1.0,267.0,7.0,267000000.0,18.0,35.0
27,7.345132743362832,1000000.0,11.0,1.0,339.0,19.0,339000000.0,36.0,58.0
28,7.470355731225297,1000000.0,11.0,1.0,253.0,14.0,253000000.0,17.0,30.0
29,5.690476190476191,1000000.0,11.0,1.0,336.0,18.0,336000000.0,33.0,64.0
30,7.403292181069959,1000000.0,11.0,1.0,243.0,5.0,243000000.0,15.0,26.0
31,6.479704797047971,1000000.0,11.0,1.0,271.0,7.0,271000000.0,26.0,49.0
32,6.986159169550173,1000000.0,11.0,1.0,289.0,10.0,289000000.0,21.0,42.0
33,6.590909090909091,1000000.0,10.0,1.0,264.0,13.0,264000000.0,26.0,44.0
34,6.1940298507462686,1000000.0,11.0,1.0,268.0,6.0,268000000.0,23.0,40.0
35,7.330543933054393,1000000.0,11.0,1.0,239.0,5.0,239000000.0,21.0,34.0
36,7.4591439688715955,1000000.0,11.0,1.0,257.0,6.0,257000000.0,15.0,30.0
37,7.064638783269962,1000000.0,11.0,1.0,263.0,16.0,263000000.0,24.0,43.0
38,7.684873949579832,1000000.0,11.0,1.0,238.0,5.0,238000000.0,21.0,33.0
39,6.6875,1000000.0,11.0,1.0,256.0,8.0,256000000.0,25.0,38.0
40,6.944852941176471,1000000.0,11.0,1.0,272.0,6.0,272000000.0,19.0,28.0
41,7.533898305084746,1000000.0,11.0,1.0,236.0,4.0,236000000.0,16.0,28.0
42,6.087662337662338,1000000.0,11.0,1.0,308.0,18.0,308000000.0,31.0,53.0
43,6.344947735191638,1000000.0,10.0,1.0,287.0,16.0,287000000.0,36.0,56.0
44,6.28,1000000.0,11.0,1.0,275.0,6.0,275000000.0,31.0,49.0
45,6.874493927125506,1000000.0,11.0,1.0,247.0,7.0,247000000.0,19.0,31.0
46,6.992592592592593,1000000.0,11.0,1.0,270.0,6.0,270000000.0,23.0,39.0
47,6.513888888888889,1000000.0,11.0,1.0,288.0,16.0,288000000.0,22.0,43.0
48,7.381526104417671,1000000.0,11.0,1.0,249.0,5.0,249000000.0,21.0,36.0
49,6.933333333333334,1000000.0,11.0,1.0,270.0,10.0,270000000.0,27.0,42.0
50,6.620817843866171,1000000.0,11.0,1.0,269.0,9.0,269000000.0,17.0,34.0
51,7.522821576763485,1000000.0,11.0,1.0,241.0,11.0,241000000.0,18.0,32.0
52,7.040229885057471,1000000.0,11.0,1.0,348.0,24.0,348000000.0,46.0,74.0
53,7.036363636363636,1000000.0,10.0,1.0,275.0,23.0,275000000.0,18.0,39.0
54,5.207885304659499,1000000.0,11.0,1.0,279.0,10.0,279000000.0,22.0,45.0
55,4.509578544061303,1000000.0,9.0,1.0,261.0,9.0,261000000.0,24.0,40.0
56,3.9193548387096775,1000000.0,7.0,1.0,248.0,5.0,248000000.0,13.0,28.0
57,4.241379310344827,1000000.0,8.0,1.0,232.0,5.0,232000000.0,19.0,29.0
58,3.306233062330623,1000000.0,7.0,1.0,369.0,8.0,369000000.0,33.0,61.0
59,2.8466522678185746,1000000.0,6.0,1.0,463.0,37.0,463000000.0,21.0,43.0
60,2.65625,1000000.0,8.0,1.0,480.0,15.0,480000000.0,39.0,65.0
61,3.662068965517242,1000000.0,10.0,1.0,290.0,10.0,290000000.0,19.0,35.0
62,4.380952380952381,1000000.0,8.0,1.0,252.0,8.0,252000000.0,23.0,44.0
63,3.976744186046512,1000000.0,7.0,1.0,258.0,14.0,258000000.0,19.0,35.0
64,3.717557251908397,1000000.0,6.0,1.0,262.0,9.0,262000000.0,22.0,38.0
65,3.973684210526316,1000000.0,8.0,1.0,266.0,19.0,266000000.0,15.0,31.0
66,4.38671875,1000000.0,10.0,1.0,256.0,9.0,256000000.0,21.0,36.0
67,4.172413793103448,1000000.0,8.0,1.0,232.0,2.0,232000000.0,16.0,27.0
68,3.704861111111111,1000000.0,7.0,1.0,288.0,9.0,288000000.0,19.0,33.0
69,3.614678899082569,1000000.0,9.0,1.0,327.0,29.0,327000000.0,27.0,64.0
70,4.134693877551021,1000000.0,9.0,1.0,245.0,5.0,245000000.0,16.0,27.0
71,4.329113924050633,1000000.0,7.0,1.0,237.0,4.0,237000000.0,17.0,29.0
72,4.465020576131687,1000000.0,9.0,1.0,243.0,3.0,243000000.0,19.0,33.0
73,4.0411985018726595,1000000.0,7.0,1.0,267.0,8.0,267000000.0,20.0,39.0
74,3.0225,1000000.0,8.0,1.0,400.0,118.0,400000000.0,31.0,53.0
75,2.9754299754299756,1000000.0,7.0,1.0,407.0,165.0,407000000.0,24.0,42.0
76,4.365079365079365,1000000.0,8.0,1.0,252.0,7.0,252000000.0,17.0,36.0
77,3.9808429118773945,1000000.0,7.0,1.0,261.0,8.0,261000000.0,26.0,40.0
78,4.471264367816092,1000000.0,9.0,1.0,348.0,28.0,348000000.0,24.0,49.0
79,3.6666666666666665,1000000.0,9.0,1.0,261.0,16.0,261000000.0,19.0,35.0
80,4.153526970954357,1000000.0,7.0,1.0,241.0,5.0,241000000.0,19.0,35.0
81,4.258333333333334,1000000.0,7.0,1.0,240.0,9.0,240000000.0,15.0,25.0
82,4.051660516605166,1000000.0,9.0,1.0,271.0,14.0,271000000.0,22.0,40.0
83,3.9881889763779528,1000000.0,7.0,1.0,254.0,8.0,254000000.0,13.0,30.0
84,3.5521885521885523,1000000.0,10.0,1.0,297.0,24.0,297000000.0,27.0,48.0
85,4.215189873417722,1000000.0,7.0,1.0,237.0,7.0,237000000.0,20.0,36.0
86,3.7224199288256226,1000000.0,7.0,1.0,281.0,13.0,281000000.0,21.0,41.0
87,4.354166666666667,1000000.0,7.0,1.0,240.0,5.0,240000000.0,19.0,33.0
88,4.257936507936508,1000000.0,7.0,1.0,252.0,5.0,252000000.0,17.0,33.0
89,3.93609022556391,1000000.0,10.0,1.0,266.0,10.0,266000000.0,19.0,35.0
90,4.3201754385964914,1000000.0,6.0,1.0,228.0,5.0,228000000.0,14.0,25.0
91,4.176691729323308,1000000.0,9.0,1.0,266.0,11.0,266000000.0,16.0,33.0
92,7.115671641791045,1000000.0,11.0,1.0,268.0,11.0,268000000.0,19.0,35.0
93,6.949612403100775,1000000.0,11.0,1.0,258.0,11.0,258000000.0,17.0,33.0
94,7.125954198473282,1000000.0,11.0,1.0,262.0,11.0,262000000.0,17.0,35.0
95,8.004424778761061,1000000.0,11.0,1.0,226.0,7.0,226000000.0,15.0,23.0
96,6.371710526315789,1000000.0,11.0,1.0,304.0,6.0,304000000.0,19.0,41.0
97,7.2426778242677825,1000000.0,11.0,1.0,239.0,6.0,239000000.0,17.0,32.0
98,6.773049645390071,1000000.0,11.0,1.0,282.0,10.0,282000000.0,27.0,41.0
99,5.405247813411079,1000000.0,10.0,1.0,343.0,10.0,343000000.0,40.0,71.0
100,6.647272727272727,1000000.0,11.0,1.0,275.0,6.0,275000000.0,16.0,40.0
101,7.018939393939394,1000000.0,11.0,1.0,264.0,14.0,264000000.0,16.0,36.0
102,6.352542372881356,1000000.0,11.0,1.0,295.0,10.0,295000000.0,29.0,52.0
103,6.48314606741573,1000000.0,11.0,1.0,356.0,18.0,356000000.0,34.0,62.0
104,7.118367346938776,1000000.0,11.0,1.0,245.0,6.0,245000000.0,20.0,35.0
105,7.280155642023346,1000000.0,11.0,1.0,257.0,9.0,257000000.0,25.0,46.0
106,5.839762611275964,1000000.0,11.0,1.0,337.0,11.0,337000000.0,29.0,53.0
107,5.787003610108303,1000000.0,11.0,1.0,277.0,7.0,277000000.0,25.0,45.0
108,6.482213438735178,1000000.0,11.0,1.0,253.0,8.0,253000000.0,21.0,40.0
109,7.047445255474453,1000000.0,11.0,1.0,274.0,11.0,274000000.0,27.0,44.0
110,7.022058823529412,1000000.0,11.0,1.0,272.0,16.0,272000000.0,12.0,34.0
111,6.842696629213483,1000000.0,11.0,1.0,267.0,10.0,267000000.0,26.0,42.0
112,6.7908745247148286,1000000.0,11.0,1.0,263.0,8.0,263000000.0,22.0,39.0
113,7.062256809338521,1000000.0,11.0,1.0,257.0,5.0,257000000.0,16.0,31.0
114,6.5606060606060606,1000000.0,11.0,1.0,264.0,6.0,264000000.0,22.0,35.0
115,8.089285714285714,1000000.0,11.0,1.0,224.0,4.0,224000000.0,13.0,25.0
116,6.865612648221344,1000000.0,11.0,1.0,253.0,6.0,253000000.0,21.0,36.0
117,7.647321428571429,1000000.0,11.0,1.0,224.0,3.0,224000000.0,13.0,25.0
118,6.977443609022556,1000000.0,11.0,1.0,266.0,12.0,266000000.0,26.0,46.0
119,6.473684210526316,1000000.0,10.0,1.0,285.0,15.0,285000000.0,25.0,44.0
120,6.984790874524715,1000000.0,11.0,1.0,263.0,8.0,263000000.0,19.0,35.0
121,5.97191011235955,1000000.0,11.0,1.0,356.0,15.0,356000000.0,28.0,52.0
122,7.018796992481203,1000000.0,11.0,1.0,266.0,21.0,266000000.0,16.0,28.0
123,8.365296803652969,1000000.0,11.0,1.0,219.0,6.0,219000000.0,11.0,20.0
124,6.19811320754717,1000000.0,11.0,1.0,318.0,7.0,318000000.0,26.0,51.0
125,7.150197628458498,1000000.0,11.0,1.0,253.0,12.0,253000000.0,20.0,32.0
126,6.591549295774648,1000000.0,11.0,1.0,284.0,21.0,284000000.0,22.0,38.0
127,7.322314049586777,1000000.0,11.0,1.0,242.0,9.0,242000000.0,14.0,27.0
128,7.092307692307692,1000000.0,11.0,1.0,325.0,11.0,325000000.0,34.0,54.0
129,5.738955823293173,1000000.0,11.0,1.0,249.0,10.0,249000000.0,16.0,30.0
130,3.760869565217391,1000000.0,7.0,1.0,276.0,10.0,276000000.0,23.0,51.0
131,3.9790794979079496,1000000.0,7.0,1.0,239.0,8.0,239000000.0,13.0,25.0
132,4.378854625550661,1000000.0,7.0,1.0,227.0,8.0,227000000.0,16.0,27.0
133,4.136,1000000.0,7.0,1.0,250.0,6.0,250000000.0,20.0,34.0
134,3.8184818481848186,1000000.0,10.0,1.0,303.0,18.0,303000000.0,26.0,51.0
135,4.331967213114754,1000000.0,7.0,1.0,244.0,19.0,244000000.0,16.0,29.0
136,3.776859504132231,1000000.0,6.0,1.0,242.0,5.0,242000000.0,14.0,26.0
137,4.421940928270042,1000000.0,7.0,1.0,237.0,5.0,237000000.0,15.0,32.0
138,4.402439024390244,1000000.0,9.0,1.0,246.0,5.0,246000000.0,13.0,25.0
139,4.4397394136807815,1000000.0,11.0,1.0,307.0,9.0,307000000.0,29.0,45.0
140,5.654639175257732,1000000.0,11.0,1.0,388.0,13.0,388000000.0,19.0,41.0
141,5.01171875,1000000.0,10.0,1.0,256.0,6.0,256000000.0,15.0,27.0
142,3.21875,1000000.0,9.0,1.0,448.0,24.0,448000000.0,34.0,59.0
143,2.6487695749440716,1000000.0,8.0,1.0,447.0,25.0,447000000.0,15.0,37.0
144,2.6777996070726915,1000000.0,10.0,1.0,509.0,23.0,509000000.0,29.0,60.0
145,3.4873949579831933,1000000.0,10.0,1.0,476.0,14.0,476000000.0,21.0,37.0
146,2.975391498881432,1000000.0,8.0,1.0,447.0,19.0,447000000.0,16.0,32.0
147,2.9273858921161824,1000000.0,8.0,1.0,482.0,38.0,482000000.0,27.0,48.0
148,2.706896551724138,1000000.0,8.0,1.0,464.0,13.0,464000000.0,26.0,43.0
149,2.911708253358926,1000000.0,10.0,1.0,521.0,26.0,521000000.0,34.0,60.0
150,3.547727272727273,1000000.0,11.0,1.0,440.0,25.0,440000000.0,34.0,74.0
151,4.650205761316872,1000000.0,9.0,1.0,243.0,6.0,243000000.0,18.0,31.0
152,3.7580071174377223,1000000.0,7.0,1.0,281.0,12.0,281000000.0,21.0,41.0
153,4.848249027237354,1000000.0,11.0,1.0,257.0,9.0,257000000.0,25.0,43.0
154,4.544959128065395,1000000.0,9.0,1.0,367.0,20.0,367000000.0,30.0,55.0
155,4.0,1000000.0,8.0,1.0,305.0,15.0,305000000.0,27.0,56.0
156,3.6215277777777777,1000000.0,8.0,1.0,288.0,6.0,288000000.0,26.0,49.0
157,4.244541484716157,1000000.0,7.0,1.0,229.0,5.0,229000000.0,13.0,22.0
158,3.750750750750751,1000000.0,8.0,1.0,333.0,21.0,333000000.0,36.0,62.0
159,3.752577319587629,1000000.0,6.0,1.0,291.0,10.0,291000000.0,32.0,57.0
160,4.309236947791165,1000000.0,10.0,1.0,249.0,11.0,249000000.0,22.0,37.0
161,4.57976653696498,1000000.0,11.0,1.0,257.0,13.0,257000000.0,17.0,33.0
162,3.886363636363636,1000000.0,11.0,1.0,308.0,20.0,308000000.0,25.0,51.0
163,4.743801652892562,1000000.0,9.0,1.0,242.0,12.0,242000000.0,20.0,33.0
164,6.921875,1000000.0,11.0,1.0,256.0,6.0,256000000.0,24.0,38.0
165,7.711790393013101,1000000.0,11.0,1.0,229.0,10.0,229000000.0,11.0,22.0
166,6.75,1000000.0,11.0,1.0,280.0,6.0,280000000.0,24.0,41.0
167,7.784232365145228,1000000.0,11.0,1.0,241.0,6.0,241000000.0,16.0,29.0
168,6.588028169014085,1000000.0,11.0,1.0,284.0,13.0,284000000.0,28.0,47.0
169,6.581632653061225,1000000.0,11.0,1.0,294.0,11.0,294000000.0,27.0,47.0
170,6.746268656716418,1000000.0,11.0,1.0,268.0,14.0,268000000.0,19.0,35.0
171,6.811715481171548,1000000.0,10.0,1.0,239.0,7.0,239000000.0,18.0,32.0
172,6.82509505703422,1000000.0,10.0,1.0,263.0,11.0,263000000.0,19.0,39.0
173,7.151020408163265,1000000.0,11.0,1.0,245.0,7.0,245000000.0,17.0,27.0
174,5.963917525773196,1000000.0,11.0,1.0,776.0,149.0,776000000.0,54.0,93.0
175,6.9494163424124515,1000000.0,10.0,1.0,257.0,21.0,257000000.0,17.0,35.0
176,6.222857142857142,1000000.0,11.0,1.0,525.0,97.0,525000000.0,40.0,82.0
177,7.40531561461794,1000000.0,11.0,1.0,301.0,19.0,301000000.0,26.0,44.0
178,6.618110236220472,1000000.0,11.0,1.0,254.0,7.0,254000000.0,23.0,40.0
179,6.71978021978022,1000000.0,11.0,1.0,728.0,65.0,728000000.0,49.0,95.0
180,6.80794701986755,1000000.0,11.0,1.0,302.0,13.0,302000000.0,30.0,52.0
181,6.30976430976431,1000000.0,11.0,1.0,297.0,7.0,297000000.0,19.0,40.0
182,7.811715481171548,1000000.0,11.0,1.0,239.0,4.0,239000000.0,19.0,30.0
183,6.579505300353357,1000000.0,11.0,1.0,283.0,14.0,283000000.0,18.0,37.0
184,5.017199017199017,1000000.0,11.0,1.0,814.0,55.0,814000000.0,37.0,66.0
185,4.254646840148699,1000000.0,11.0,1.0,538.0,30.0,538000000.0,13.0,34.0
186,4.452173913043478,1000000.0,11.0,1.0,460.0,14.0,460000000.0,18.0,42.0
187,4.661733615221987,1000000.0,11.0,1.0,473.0,7.0,473000000.0,19.0,40.0
188,6.850574712643678,1000000.0,11.0,1.0,261.0,9.0,261000000.0,19.0,38.0
189,7.044280442804428,1000000.0,11.0,1.0,271.0,5.0,271000000.0,30.0,43.0
190,7.632911392405063,1000000.0,11.0,1.0,237.0,7.0,237000000.0,14.0,28.0
191,6.977528089887641,1000000.0,11.0,1.0,267.0,18.0,267000000.0,13.0,40.0
192,6.458955223880597,1000000.0,10.0,1.0,268.0,7.0,268000000.0,22.0,39.0
193,6.941634241245136,1000000.0,11.0,1.0,257.0,7.0,257000000.0,20.0,34.0
194,7.552941176470588,1000000.0,11.0,1.0,255.0,11.0,255000000.0,21.0,39.0
195,6.086330935251799,1000000.0,10.0,1.0,278.0,9.0,278000000.0,25.0,41.0
196,3.8724279835390942,1000000.0,7.0,1.0,243.0,12.0,243000000.0,12.0,27.0
197,4.088888888888889,1000000.0,9.0,1.0,270.0,7.0,270000000.0,18.0,40.0
198,3.712686567164179,1000000.0,7.0,1.0,268.0,19.0,268000000.0,19.0,37.0
199,3.95,1000000.0,11.0,1.0,300.0,25.0,300000000.0,36.0,55.0
200,3.8206106870229006,1000000.0,7.0,1.0,262.0,4.0,262000000.0,23.0,39.0
201,4.2521008403361344,1000000.0,9.0,1.0,238.0,6.0,238000000.0,17.0,32.0
202,3.965909090909091,1000000.0,7.0,1.0,264.0,9.0,264000000.0,27.0,44.0
203,3.720149253731343,1000000.0,7.0,1.0,268.0,4.0,268000000.0,24.0,38.0
204,4.2507552870090635,1000000.0,9.0,1.0,331.0,19.0,331000000.0,36.0,63.0
