idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.521951219512195,1000000.0,281702416.0,481060708.0,10.0,205.0,1.0,199358292.0,205.0,0.0,205000000.0,1.0,2.0
1,8.616915422885572,1000000.0,482060958.0,681063750.0,10.0,201.0,1.0,199002792.0,201.0,0.0,201000000.0,1.0,2.0
2,8.495049504950495,1000000.0,682060458.0,881060541.0,11.0,202.0,1.0,199000083.0,202.0,0.0,202000000.0,1.0,2.0
3,8.631313131313131,1000000.0,882060291.0,1081060500.0,11.0,198.0,1.0,199000209.0,198.0,0.0,198000000.0,1.0,2.0
4,8.702970297029703,1000000.0,1082060541.0,1281060666.0,11.0,202.0,1.0,199000125.0,202.0,0.0,202000000.0,1.0,2.0
5,8.793103448275861,1000000.0,1282060625.0,1481060875.0,9.0,203.0,1.0,199000250.0,203.0,0.0,203000000.0,1.0,2.0
6,8.865,1000000.0,1482060791.0,1681060791.0,9.0,200.0,1.0,199000000.0,200.0,0.0,200000000.0,1.0,1.0
7,8.782178217821782,1000000.0,1682060791.0,1881060791.0,9.0,202.0,1.0,199000000.0,202.0,0.0,202000000.0,1.0,2.0
8,6.965174129353234,1000000.0,1882060875.0,2081060458.0,9.0,201.0,1.0,198999583.0,201.0,0.0,201000000.0,1.0,2.0
9,5.024752475247524,1000000.0,2082060708.0,2281060791.0,6.0,202.0,1.0,199000083.0,202.0,0.0,202000000.0,1.0,2.0
10,4.940298507462686,1000000.0,2282060750.0,2481060750.0,5.0,201.0,1.0,199000000.0,201.0,0.0,201000000.0,1.0,3.0
11,4.633663366336633,1000000.0,2482060625.0,2681060666.0,6.0,202.0,1.0,199000041.0,202.0,0.0,202000000.0,1.0,2.0
12,4.72636815920398,1000000.0,2682060625.0,2881064250.0,5.0,201.0,1.0,199003625.0,201.0,0.0,201000000.0,1.0,2.0
13,4.825870646766169,1000000.0,2882060500.0,3081060666.0,5.0,201.0,1.0,199000166.0,201.0,0.0,201000000.0,1.0,2.0
14,4.800995024875622,1000000.0,3082060666.0,3281060708.0,5.0,201.0,1.0,199000042.0,201.0,0.0,201000000.0,1.0,2.0
15,4.772277227722772,1000000.0,3282060750.0,3481060833.0,6.0,202.0,1.0,199000083.0,202.0,0.0,202000000.0,1.0,2.0
16,4.597014925373134,1000000.0,3482060666.0,3681060541.0,8.0,201.0,1.0,198999875.0,201.0,0.0,201000000.0,1.0,2.0
17,4.842364532019705,1000000.0,3682060541.0,3881060875.0,5.0,203.0,1.0,199000334.0,203.0,0.0,203000000.0,1.0,2.0
18,5.0049504950495045,1000000.0,3882060791.0,4081060666.0,6.0,202.0,1.0,198999875.0,202.0,0.0,202000000.0,1.0,2.0
19,4.772277227722772,1000000.0,4082060708.0,4281060833.0,5.0,202.0,1.0,199000125.0,202.0,0.0,202000000.0,1.0,2.0
20,4.736318407960199,1000000.0,4282060833.0,4481060666.0,5.0,201.0,1.0,198999833.0,201.0,0.0,201000000.0,1.0,2.0
21,4.955223880597015,1000000.0,4482060666.0,4681060625.0,6.0,201.0,1.0,198999959.0,201.0,0.0,201000000.0,1.0,2.0
22,4.685,1000000.0,4682064083.0,4881060708.0,5.0,200.0,1.0,198996625.0,200.0,0.0,200000000.0,1.0,2.0
23,4.7711442786069655,1000000.0,4882060666.0,5081060833.0,5.0,201.0,1.0,199000167.0,201.0,0.0,201000000.0,1.0,2.0
24,4.87192118226601,1000000.0,5082060708.0,5281062333.0,5.0,203.0,1.0,199001625.0,203.0,0.0,203000000.0,1.0,2.0
25,4.905,1000000.0,5282060708.0,5481060750.0,5.0,200.0,1.0,199000042.0,200.0,0.0,200000000.0,1.0,1.0
26,4.871287128712871,1000000.0,5482060750.0,5681060375.0,5.0,202.0,1.0,198999625.0,202.0,0.0,202000000.0,1.0,2.0
27,4.850746268656716,1000000.0,5682060916.0,5881060666.0,6.0,201.0,1.0,198999750.0,201.0,0.0,201000000.0,1.0,2.0
28,4.626865671641791,1000000.0,5882061000.0,6081060791.0,5.0,201.0,1.0,198999791.0,201.0,0.0,201000000.0,1.0,2.0
29,4.676616915422885,1000000.0,6082060916.0,6281060708.0,5.0,201.0,1.0,198999792.0,201.0,0.0,201000000.0,1.0,2.0
30,4.871287128712871,1000000.0,6282064000.0,6481060833.0,6.0,202.0,1.0,198996833.0,202.0,0.0,202000000.0,1.0,2.0
31,4.945544554455446,1000000.0,6482060875.0,6681060583.0,6.0,202.0,1.0,198999708.0,202.0,0.0,202000000.0,1.0,2.0
32,4.9,1000000.0,6682060583.0,6881060666.0,6.0,200.0,1.0,199000083.0,200.0,0.0,200000000.0,1.0,2.0
33,4.735,1000000.0,6882065625.0,7081060666.0,6.0,200.0,1.0,198995041.0,200.0,0.0,200000000.0,1.0,2.0
34,4.850746268656716,1000000.0,7082060833.0,7281060791.0,6.0,201.0,1.0,198999958.0,201.0,0.0,201000000.0,1.0,2.0
35,4.755,1000000.0,7282060625.0,7481060666.0,5.0,200.0,1.0,199000041.0,200.0,0.0,200000000.0,1.0,1.0
36,4.836633663366337,1000000.0,7482060750.0,7681060875.0,5.0,202.0,1.0,199000125.0,202.0,0.0,202000000.0,1.0,2.0
37,4.810945273631841,1000000.0,7682060875.0,7881060708.0,5.0,201.0,1.0,198999833.0,201.0,0.0,201000000.0,1.0,2.0
38,4.715,1000000.0,7882060833.0,8081060583.0,5.0,200.0,1.0,198999750.0,200.0,0.0,200000000.0,1.0,2.0
39,4.562189054726368,1000000.0,8082060791.0,8281060875.0,5.0,201.0,1.0,199000084.0,201.0,0.0,201000000.0,1.0,2.0
40,4.876237623762377,1000000.0,8282060708.0,8481060875.0,6.0,202.0,1.0,199000167.0,202.0,0.0,202000000.0,1.0,2.0
