idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.570890840652447,1000000.0,485331458.0,685331125.0,11.0,797.0,1.0,199999667.0,797.0,163.0,797000000.0,47.0,102.0
1,3.869448183041723,1000000.0,686330791.0,885330833.0,11.0,743.0,1.0,199000042.0,743.0,119.0,743000000.0,60.0,107.0
2,4.115463917525773,1000000.0,886334125.0,1085331291.0,10.0,485.0,1.0,198997166.0,485.0,140.0,485000000.0,26.0,47.0
3,3.5009487666034156,1000000.0,1086330708.0,1285330708.0,9.0,527.0,1.0,199000000.0,527.0,147.0,527000000.0,30.0,58.0
4,3.830578512396694,1000000.0,1285331541.0,1484331791.0,10.0,484.0,1.0,199000250.0,484.0,121.0,484000000.0,28.0,48.0
5,3.812382739212007,1000000.0,1485334333.0,1685330750.0,10.0,533.0,1.0,199996417.0,533.0,149.0,533000000.0,27.0,50.0
6,3.7955271565495208,1000000.0,1686330625.0,1885330625.0,10.0,626.0,1.0,199000000.0,626.0,187.0,626000000.0,31.0,56.0
7,3.6037383177570095,1000000.0,1885332083.0,2084331500.0,11.0,535.0,1.0,198999417.0,535.0,123.0,535000000.0,22.0,49.0
8,3.9686924493554327,1000000.0,2085334250.0,2285330916.0,11.0,543.0,1.0,199996666.0,543.0,139.0,543000000.0,31.0,60.0
9,4.15,1000000.0,2285331500.0,2484334166.0,11.0,600.0,1.0,199002666.0,600.0,166.0,600000000.0,31.0,64.0
10,3.5840407470288627,1000000.0,2485334041.0,2685330583.0,10.0,589.0,1.0,199996542.0,589.0,182.0,589000000.0,25.0,57.0
11,3.100558659217877,1000000.0,2685331541.0,2885331291.0,9.0,537.0,1.0,199999750.0,537.0,125.0,537000000.0,29.0,54.0
12,3.781925343811395,1000000.0,2886330625.0,3085331125.0,9.0,509.0,1.0,199000500.0,509.0,137.0,509000000.0,44.0,77.0
13,3.4133858267716537,1000000.0,3086330750.0,3285331166.0,9.0,508.0,1.0,199000416.0,508.0,138.0,508000000.0,24.0,49.0
14,2.776719576719577,1000000.0,3285370041.0,3485330875.0,11.0,945.0,1.0,199960834.0,945.0,157.0,945000000.0,62.0,127.0
15,3.0538599640933572,1000000.0,3485332041.0,3685331083.0,11.0,1114.0,1.0,199999042.0,1114.0,153.0,1114000000.0,61.0,128.0
16,3.989873417721519,1000000.0,3685332041.0,3885330791.0,11.0,1185.0,1.0,199998750.0,1185.0,164.0,1185000000.0,84.0,153.0
17,3.483666061705989,1000000.0,3885331833.0,4085331000.0,11.0,1102.0,1.0,199999167.0,1102.0,164.0,1102000000.0,68.0,135.0
18,3.7451612903225806,1000000.0,4085332083.0,4285330541.0,11.0,1240.0,1.0,199998458.0,1240.0,129.0,1240000000.0,49.0,93.0
19,3.2163187855787476,1000000.0,4285331958.0,4485330583.0,11.0,1054.0,1.0,199998625.0,1054.0,50.0,1054000000.0,41.0,74.0
20,3.4829443447037702,1000000.0,4485334500.0,4685330708.0,11.0,1114.0,1.0,199996208.0,1114.0,93.0,1114000000.0,39.0,72.0
21,3.550600343053173,1000000.0,4685332208.0,4885331333.0,11.0,1166.0,1.0,199999125.0,1166.0,138.0,1166000000.0,56.0,99.0
22,2.9660852713178296,1000000.0,4885331500.0,5085330500.0,11.0,1032.0,1.0,199999000.0,1032.0,39.0,1032000000.0,36.0,65.0
23,3.264409881061299,1000000.0,5085331625.0,5285330791.0,11.0,1093.0,1.0,199999166.0,1093.0,132.0,1093000000.0,82.0,119.0
24,3.0578898225957047,1000000.0,5285331916.0,5485330583.0,11.0,1071.0,1.0,199998667.0,1071.0,74.0,1071000000.0,48.0,94.0
25,3.717542120911794,1000000.0,5485331458.0,5685330750.0,11.0,1009.0,1.0,199999292.0,1009.0,102.0,1009000000.0,50.0,86.0
26,3.687651331719128,1000000.0,5685334833.0,5885330625.0,11.0,826.0,1.0,199995792.0,826.0,68.0,826000000.0,38.0,70.0
