idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,2.5,1000000.0,445485083.0,578484916.0,8.0,8.0,1.0,132999833.0,8.0,0.0,8000000.0,1.0,1.0
1,1.5,1000000.0,651488041.0,836485500.0,3.0,10.0,1.0,184997459.0,10.0,0.0,10000000.0,1.0,1.0
2,1.4444444444444444,1000000.0,864485958.0,1039488083.0,3.0,9.0,1.0,175002125.0,9.0,0.0,9000000.0,1.0,1.0
3,1.6666666666666667,1000000.0,1065485625.0,1241486250.0,3.0,9.0,1.0,176000625.0,9.0,0.0,9000000.0,1.0,1.0
4,1.875,1000000.0,1293486458.0,1402491333.0,3.0,8.0,1.0,109004875.0,8.0,0.0,8000000.0,1.0,1.0
5,2.4166666666666665,1000000.0,1447485625.0,1634490583.0,4.0,12.0,1.0,187004958.0,12.0,0.0,12000000.0,1.0,2.0
6,1.5555555555555556,1000000.0,1679488791.0,1827484666.0,3.0,9.0,1.0,147995875.0,9.0,0.0,9000000.0,1.0,1.0
7,2.1818181818181817,1000000.0,1851485500.0,2003485875.0,3.0,11.0,1.0,152000375.0,11.0,0.0,11000000.0,1.0,2.0
8,1.4,1000000.0,2059486416.0,2243485875.0,3.0,15.0,1.0,183999459.0,15.0,0.0,15000000.0,1.0,1.0
9,1.25,1000000.0,2299485541.0,2366488166.0,3.0,4.0,1.0,67002625.0,4.0,0.0,4000000.0,1.0,1.0
10,1.0,1000000.0,2456484583.0,2619487916.0,2.0,11.0,1.0,163003333.0,11.0,0.0,11000000.0,1.0,1.0
11,2.6666666666666665,1000000.0,2650485958.0,2838487375.0,6.0,6.0,1.0,188001417.0,6.0,0.0,6000000.0,1.0,2.0
12,2.0,1000000.0,2857483958.0,3042485541.0,8.0,8.0,1.0,185001583.0,8.0,0.0,8000000.0,1.0,1.0
13,1.0,1000000.0,3103485583.0,3233485333.0,3.0,9.0,1.0,129999750.0,9.0,0.0,9000000.0,1.0,1.0
14,1.0,1000000.0,3284488583.0,3357484750.0,3.0,6.0,1.0,72996167.0,6.0,0.0,6000000.0,1.0,2.0
15,1.1428571428571428,1000000.0,3472484833.0,3593485125.0,2.0,7.0,1.0,121000292.0,7.0,0.0,7000000.0,1.0,1.0
16,2.125,1000000.0,3647489291.0,3835484625.0,3.0,8.0,1.0,187995334.0,8.0,0.0,8000000.0,1.0,1.0
17,0.75,1000000.0,3918485666.0,4032493875.0,2.0,8.0,1.0,114008209.0,8.0,0.0,8000000.0,1.0,1.0
18,2.5555555555555554,1000000.0,4057487833.0,4225485833.0,3.0,9.0,1.0,167998000.0,9.0,0.0,9000000.0,1.0,1.0
19,1.9090909090909092,1000000.0,4284486833.0,4425485166.0,3.0,11.0,1.0,140998333.0,11.0,0.0,11000000.0,1.0,1.0
20,1.4,1000000.0,4449485250.0,4602485625.0,3.0,5.0,1.0,153000375.0,5.0,0.0,5000000.0,1.0,1.0
21,1.4,1000000.0,4656485750.0,4832485416.0,3.0,10.0,1.0,175999666.0,10.0,0.0,10000000.0,1.0,2.0
22,1.6,1000000.0,4870487250.0,5032484208.0,5.0,5.0,1.0,161996958.0,5.0,0.0,5000000.0,1.0,1.0
23,1.2857142857142858,1000000.0,5108485708.0,5236485625.0,3.0,7.0,1.0,127999917.0,7.0,0.0,7000000.0,1.0,1.0
24,1.6,1000000.0,5290484333.0,5417484666.0,2.0,10.0,1.0,127000333.0,10.0,0.0,10000000.0,1.0,1.0
25,1.2,1000000.0,5470485791.0,5628486208.0,2.0,10.0,1.0,158000417.0,10.0,0.0,10000000.0,1.0,1.0
26,1.625,1000000.0,5656485375.0,5789485541.0,3.0,16.0,1.0,133000166.0,16.0,0.0,16000000.0,1.0,1.0
27,2.0714285714285716,1000000.0,5845486375.0,6040485041.0,3.0,14.0,1.0,194998666.0,14.0,0.0,14000000.0,1.0,1.0
28,1.625,1000000.0,6070485083.0,6210485625.0,3.0,8.0,1.0,140000542.0,8.0,0.0,8000000.0,1.0,1.0
29,1.3333333333333333,1000000.0,6258488125.0,6411487416.0,3.0,9.0,1.0,152999291.0,9.0,0.0,9000000.0,1.0,2.0
30,0.7777777777777778,1000000.0,6521493375.0,6628486750.0,3.0,9.0,1.0,106993375.0,9.0,0.0,9000000.0,1.0,1.0
31,1.7142857142857142,1000000.0,6653486041.0,6800484666.0,3.0,7.0,1.0,146998625.0,7.0,0.0,7000000.0,1.0,1.0
32,2.090909090909091,1000000.0,6860488375.0,7031484833.0,3.0,11.0,1.0,170996458.0,11.0,0.0,11000000.0,1.0,2.0
33,0.875,1000000.0,7057485041.0,7179486666.0,3.0,8.0,1.0,122001625.0,8.0,0.0,8000000.0,1.0,3.0
34,2.0,1000000.0,7256488333.0,7430486916.0,3.0,9.0,1.0,173998583.0,9.0,0.0,9000000.0,1.0,2.0
35,1.25,1000000.0,7486486125.0,7640486916.0,3.0,8.0,1.0,154000791.0,8.0,0.0,8000000.0,1.0,1.0
36,2.0,1000000.0,7696486750.0,7765488708.0,3.0,7.0,1.0,69001958.0,7.0,0.0,7000000.0,1.0,1.0
37,2.25,1000000.0,7916487000.0,8024485333.0,3.0,8.0,1.0,107998333.0,8.0,0.0,8000000.0,1.0,1.0
38,1.4444444444444444,1000000.0,8078486333.0,8241486833.0,3.0,9.0,1.0,163000500.0,9.0,0.0,9000000.0,1.0,1.0
39,1.0,1000000.0,8275485916.0,8439489166.0,3.0,10.0,1.0,164003250.0,10.0,0.0,10000000.0,1.0,2.0
40,1.6666666666666667,1000000.0,8458486458.0,8592488000.0,3.0,6.0,1.0,134001542.0,6.0,0.0,6000000.0,1.0,1.0
41,1.6153846153846154,1000000.0,8650484833.0,8841485375.0,3.0,13.0,1.0,191000542.0,13.0,0.0,13000000.0,1.0,1.0
42,1.5,1000000.0,8887485083.0,9043485208.0,3.0,10.0,1.0,156000125.0,10.0,0.0,10000000.0,1.0,1.0
43,2.25,1000000.0,9127487458.0,9241484333.0,3.0,8.0,1.0,113996875.0,8.0,0.0,8000000.0,1.0,1.0
44,1.7142857142857142,1000000.0,9272486083.0,9419485541.0,3.0,7.0,1.0,146999458.0,7.0,0.0,7000000.0,1.0,1.0
45,1.2727272727272727,1000000.0,9449485333.0,9638485416.0,3.0,11.0,1.0,189000083.0,11.0,0.0,11000000.0,1.0,1.0
46,1.125,1000000.0,9660485291.0,9804485500.0,3.0,8.0,1.0,144000209.0,8.0,0.0,8000000.0,1.0,1.0
