idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.935323383084578,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
1,8.727722772277227,1000000.0,10.0,1.0,202.0,0.0,202000000.0,1.0,2.0
2,8.525,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,1.0
3,8.565,1000000.0,10.0,1.0,200.0,0.0,200000000.0,1.0,3.0
4,8.90547263681592,1000000.0,10.0,1.0,201.0,0.0,201000000.0,1.0,2.0
5,8.705,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,2.0
6,8.109452736318408,1000000.0,9.0,1.0,201.0,0.0,201000000.0,1.0,2.0
7,5.024752475247524,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,2.0
8,4.691542288557214,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,3.0
9,4.850746268656716,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
10,5.275,1000000.0,8.0,1.0,200.0,0.0,200000000.0,1.0,2.0
11,4.63681592039801,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
12,4.875621890547263,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
13,4.603960396039604,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,2.0
14,4.555,1000000.0,5.0,1.0,200.0,0.0,200000000.0,1.0,2.0
15,4.688118811881188,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,3.0
16,4.782178217821782,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
17,4.67,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,1.0
18,4.655,1000000.0,7.0,1.0,200.0,0.0,200000000.0,1.0,2.0
19,4.788177339901478,1000000.0,5.0,1.0,203.0,0.0,203000000.0,1.0,2.0
20,4.653465346534653,1000000.0,7.0,1.0,202.0,0.0,202000000.0,1.0,2.0
21,4.564356435643564,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
22,4.845,1000000.0,6.0,1.0,200.0,0.0,200000000.0,1.0,2.0
23,4.678217821782178,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
24,5.004926108374384,1000000.0,6.0,1.0,203.0,0.0,203000000.0,1.0,2.0
25,4.46039603960396,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,3.0
26,4.707920792079208,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
27,4.46039603960396,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,2.0
28,4.8606965174129355,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
29,4.6716417910447765,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
30,4.169154228855722,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
31,4.544554455445544,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,2.0
32,4.696517412935323,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
33,4.645,1000000.0,5.0,1.0,200.0,0.0,200000000.0,1.0,1.0
