idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.935323383084578,1000000.0,292092125.0,491091083.0,10.0,201.0,1.0,198998958.0,201.0,0.0,201000000.0,1.0,2.0
1,8.727722772277227,1000000.0,492094458.0,692091125.0,10.0,202.0,1.0,199996667.0,202.0,0.0,202000000.0,1.0,2.0
2,8.525,1000000.0,693094375.0,892091291.0,10.0,200.0,1.0,198996916.0,200.0,0.0,200000000.0,1.0,1.0
3,8.565,1000000.0,893091250.0,1092091250.0,10.0,200.0,1.0,199000000.0,200.0,0.0,200000000.0,1.0,3.0
4,8.90547263681592,1000000.0,1093091000.0,1292091166.0,10.0,201.0,1.0,199000166.0,201.0,0.0,201000000.0,1.0,2.0
5,8.705,1000000.0,1293094375.0,1491091083.0,9.0,200.0,1.0,197996708.0,200.0,0.0,200000000.0,1.0,2.0
6,8.109452736318408,1000000.0,1492094375.0,1692091083.0,9.0,201.0,1.0,199996708.0,201.0,0.0,201000000.0,1.0,2.0
7,5.024752475247524,1000000.0,1693094958.0,1892091000.0,6.0,202.0,1.0,198996042.0,202.0,0.0,202000000.0,1.0,2.0
8,4.691542288557214,1000000.0,1893091208.0,2092091125.0,5.0,201.0,1.0,198999917.0,201.0,0.0,201000000.0,1.0,3.0
9,4.850746268656716,1000000.0,2093091166.0,2292090958.0,5.0,201.0,1.0,198999792.0,201.0,0.0,201000000.0,1.0,2.0
10,5.275,1000000.0,2293091208.0,2491094666.0,8.0,200.0,1.0,198003458.0,200.0,0.0,200000000.0,1.0,2.0
11,4.63681592039801,1000000.0,2492094625.0,2691091000.0,5.0,201.0,1.0,198996375.0,201.0,0.0,201000000.0,1.0,2.0
12,4.875621890547263,1000000.0,2692094458.0,2891094500.0,5.0,201.0,1.0,199000042.0,201.0,0.0,201000000.0,1.0,2.0
13,4.603960396039604,1000000.0,2892094458.0,3092091000.0,7.0,202.0,1.0,199996542.0,202.0,0.0,202000000.0,1.0,2.0
14,4.555,1000000.0,3093094500.0,3292091208.0,5.0,200.0,1.0,198996708.0,200.0,0.0,200000000.0,1.0,2.0
15,4.688118811881188,1000000.0,3293091333.0,3491094416.0,6.0,202.0,1.0,198003083.0,202.0,0.0,202000000.0,1.0,3.0
16,4.782178217821782,1000000.0,3492094416.0,3692091333.0,5.0,202.0,1.0,199996917.0,202.0,0.0,202000000.0,1.0,2.0
17,4.67,1000000.0,3693094375.0,3892091208.0,6.0,200.0,1.0,198996833.0,200.0,0.0,200000000.0,1.0,1.0
18,4.655,1000000.0,3893094416.0,4091091041.0,7.0,200.0,1.0,197996625.0,200.0,0.0,200000000.0,1.0,2.0
