idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,4.7164179104477615,1000000.0,289873458.0,488876125.0,6.0,201.0,1.0,199002667.0,201.0,0.0,201000000.0,1.0,3.0
1,5.3681592039801,1000000.0,489875875.0,688875458.0,8.0,201.0,1.0,198999583.0,201.0,0.0,201000000.0,1.0,3.0
2,4.758793969849246,1000000.0,692872458.0,889872541.0,5.0,199.0,1.0,197000083.0,199.0,0.0,199000000.0,1.0,2.0
3,5.0,1000000.0,890875833.0,1088876625.0,6.0,198.0,1.0,198000792.0,198.0,0.0,198000000.0,1.0,1.0
4,4.9504950495049505,1000000.0,1089879125.0,1289872125.0,7.0,202.0,1.0,199993000.0,202.0,0.0,202000000.0,1.0,2.0
5,5.064676616915423,1000000.0,1290875583.0,1489872541.0,6.0,201.0,1.0,198996958.0,201.0,0.0,201000000.0,1.0,3.0
6,4.989949748743719,1000000.0,1490875791.0,1688872125.0,7.0,199.0,1.0,197996334.0,199.0,0.0,199000000.0,1.0,1.0
7,7.134328358208955,1000000.0,1689875791.0,1888872166.0,11.0,201.0,1.0,198996375.0,201.0,0.0,201000000.0,1.0,2.0
8,9.04,1000000.0,1889875833.0,2088872166.0,10.0,200.0,1.0,198996333.0,200.0,0.0,200000000.0,1.0,2.0
9,8.975247524752476,1000000.0,2089875916.0,2289872416.0,10.0,202.0,1.0,199996500.0,202.0,0.0,202000000.0,1.0,3.0
10,8.949748743718592,1000000.0,2290875708.0,2488872416.0,10.0,199.0,1.0,197996708.0,199.0,0.0,199000000.0,1.0,2.0
11,8.965174129353233,1000000.0,2489875666.0,2689872625.0,10.0,201.0,1.0,199996959.0,201.0,0.0,201000000.0,1.0,1.0
12,8.84,1000000.0,2690872166.0,2888872208.0,10.0,200.0,1.0,198000042.0,200.0,0.0,200000000.0,1.0,3.0
13,8.810945273631841,1000000.0,2889875625.0,3089872500.0,9.0,201.0,1.0,199996875.0,201.0,0.0,201000000.0,1.0,1.0
14,8.894472361809045,1000000.0,3090872583.0,3288875666.0,10.0,199.0,1.0,198003083.0,199.0,0.0,199000000.0,1.0,2.0
15,8.85024154589372,1000000.0,3289875875.0,3488872166.0,10.0,207.0,1.0,198996291.0,207.0,0.0,207000000.0,1.0,3.0
16,7.87007874015748,1000000.0,3489875833.0,3688872375.0,9.0,254.0,1.0,198996542.0,254.0,0.0,254000000.0,1.0,3.0
17,7.939024390243903,1000000.0,3689875875.0,3888872208.0,10.0,246.0,1.0,198996333.0,246.0,0.0,246000000.0,1.0,3.0
18,7.819277108433735,1000000.0,3889875833.0,4088872916.0,9.0,249.0,1.0,198997083.0,249.0,0.0,249000000.0,1.0,3.0
19,7.786290322580645,1000000.0,4089875583.0,4288875916.0,10.0,248.0,1.0,199000333.0,248.0,0.0,248000000.0,1.0,3.0
20,8.043650793650794,1000000.0,4289875791.0,4489872208.0,10.0,252.0,1.0,199996417.0,252.0,0.0,252000000.0,1.0,3.0
21,7.995951417004049,1000000.0,4490875625.0,4689872333.0,10.0,247.0,1.0,198996708.0,247.0,0.0,247000000.0,1.0,3.0
22,8.068548387096774,1000000.0,4690872208.0,4888872875.0,10.0,248.0,1.0,198000667.0,248.0,0.0,248000000.0,1.0,3.0
23,7.931726907630522,1000000.0,4889875791.0,5088884833.0,11.0,249.0,1.0,199009042.0,249.0,0.0,249000000.0,1.0,3.0
24,8.37704918032787,1000000.0,5089875916.0,5289872291.0,11.0,244.0,1.0,199996375.0,244.0,0.0,244000000.0,1.0,3.0
25,8.008230452674898,1000000.0,5290875666.0,5488872166.0,10.0,243.0,1.0,197996500.0,243.0,0.0,243000000.0,1.0,3.0
26,8.290322580645162,1000000.0,5489875958.0,5688872166.0,11.0,248.0,1.0,198996208.0,248.0,0.0,248000000.0,1.0,3.0
27,8.331983805668017,1000000.0,5689875583.0,5889872541.0,10.0,247.0,1.0,199996958.0,247.0,0.0,247000000.0,1.0,3.0
28,8.069958847736626,1000000.0,5890875833.0,6089872375.0,10.0,243.0,1.0,198996542.0,243.0,0.0,243000000.0,1.0,3.0
29,8.132231404958677,1000000.0,6090872458.0,6288872166.0,10.0,242.0,1.0,197999708.0,242.0,0.0,242000000.0,1.0,3.0
30,7.893280632411067,1000000.0,6289875625.0,6489872541.0,10.0,253.0,1.0,199996916.0,253.0,0.0,253000000.0,1.0,3.0
31,7.768924302788845,1000000.0,6490875791.0,6689872541.0,9.0,251.0,1.0,198996750.0,251.0,0.0,251000000.0,1.0,3.0
32,7.931451612903226,1000000.0,6690875750.0,6888875708.0,10.0,248.0,1.0,197999958.0,248.0,0.0,248000000.0,1.0,3.0
33,7.908366533864542,1000000.0,6889875833.0,7088875583.0,10.0,251.0,1.0,198999750.0,251.0,0.0,251000000.0,1.0,3.0
34,7.951417004048583,1000000.0,7089875833.0,7289872333.0,10.0,247.0,1.0,199996500.0,247.0,0.0,247000000.0,1.0,3.0
35,7.728,1000000.0,7290875625.0,7488875583.0,9.0,250.0,1.0,197999958.0,250.0,0.0,250000000.0,1.0,3.0
36,7.842741935483871,1000000.0,7489875791.0,7689872541.0,9.0,248.0,1.0,199996750.0,248.0,0.0,248000000.0,1.0,3.0
37,7.871485943775101,1000000.0,7690872500.0,7888875458.0,10.0,249.0,1.0,198002958.0,249.0,0.0,249000000.0,1.0,3.0
38,7.775100401606426,1000000.0,7889876000.0,8088875833.0,9.0,249.0,1.0,198999833.0,249.0,0.0,249000000.0,1.0,3.0
39,5.376,1000000.0,8089875750.0,8289873250.0,9.0,250.0,1.0,199997500.0,250.0,0.0,250000000.0,1.0,3.0
40,4.616935483870968,1000000.0,8290872333.0,8489872583.0,8.0,248.0,1.0,199000250.0,248.0,0.0,248000000.0,1.0,3.0
41,5.141552511415525,1000000.0,8490872375.0,8689872375.0,6.0,219.0,1.0,199000000.0,219.0,17.0,219000000.0,1.0,3.0
42,4.810945273631841,1000000.0,8690875583.0,8889872666.0,5.0,201.0,1.0,198997083.0,201.0,0.0,201000000.0,1.0,2.0
43,4.97,1000000.0,8890872625.0,9089872583.0,7.0,200.0,1.0,198999958.0,200.0,0.0,200000000.0,1.0,1.0
44,4.91542288557214,1000000.0,9090875833.0,9289872500.0,6.0,201.0,1.0,198996667.0,201.0,0.0,201000000.0,1.0,2.0
45,4.93,1000000.0,9290875833.0,9489872583.0,6.0,200.0,1.0,198996750.0,200.0,0.0,200000000.0,1.0,2.0
46,4.91542288557214,1000000.0,9490872958.0,9688872208.0,5.0,201.0,1.0,197999250.0,201.0,0.0,201000000.0,1.0,3.0
47,4.920792079207921,1000000.0,9689875625.0,9889872125.0,5.0,202.0,1.0,199996500.0,202.0,0.0,202000000.0,1.0,2.0
48,4.85,1000000.0,9890872541.0,10089872541.0,5.0,200.0,1.0,199000000.0,200.0,0.0,200000000.0,1.0,1.0
49,4.91,1000000.0,10090875833.0,10289872416.0,8.0,200.0,1.0,198996583.0,200.0,0.0,200000000.0,1.0,2.0
50,5.069651741293533,1000000.0,10290875791.0,10488872208.0,6.0,201.0,1.0,197996417.0,201.0,0.0,201000000.0,1.0,3.0
51,5.0,1000000.0,10489875875.0,10689872583.0,6.0,202.0,1.0,199996708.0,202.0,0.0,202000000.0,1.0,2.0
52,4.954773869346734,1000000.0,10690875875.0,10888872458.0,6.0,199.0,1.0,197996583.0,199.0,0.0,199000000.0,1.0,1.0
53,5.0,1000000.0,10889875833.0,11088875833.0,6.0,200.0,1.0,199000000.0,200.0,0.0,200000000.0,1.0,1.0
54,4.930348258706467,1000000.0,11089875958.0,11289872375.0,6.0,201.0,1.0,199996417.0,201.0,0.0,201000000.0,1.0,1.0
55,4.954773869346734,1000000.0,11290875541.0,11488872208.0,5.0,199.0,1.0,197996667.0,199.0,0.0,199000000.0,1.0,2.0
