idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,9.0,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,1.0
1,9.038461538461538,1000000.0,11.0,1.0,208.0,0.0,208000000.0,1.0,2.0
2,8.947368421052632,1000000.0,11.0,1.0,209.0,2.0,209000000.0,1.0,5.0
3,4.41,1000000.0,9.0,1.0,200.0,0.0,200000000.0,1.0,2.0
4,5.038277511961723,1000000.0,9.0,1.0,209.0,0.0,209000000.0,1.0,5.0
5,5.95260663507109,1000000.0,7.0,1.0,211.0,2.0,211000000.0,1.0,4.0
6,5.985148514851486,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,2.0
7,4.389671361502347,1000000.0,7.0,1.0,213.0,2.0,213000000.0,1.0,4.0
8,4.99009900990099,1000000.0,5.0,1.0,202.0,0.0,202000000.0,1.0,3.0
9,5.028708133971292,1000000.0,6.0,1.0,209.0,1.0,209000000.0,1.0,3.0
10,6.450980392156863,1000000.0,7.0,1.0,204.0,0.0,204000000.0,1.0,4.0
11,4.109004739336493,1000000.0,7.0,1.0,211.0,3.0,211000000.0,1.0,3.0
12,4.014851485148514,1000000.0,6.0,1.0,202.0,0.0,202000000.0,1.0,3.0
13,4.586572438162544,1000000.0,8.0,1.0,283.0,1.0,283000000.0,1.0,5.0
14,5.671848013816926,1000000.0,9.0,1.0,579.0,1.0,579000000.0,1.0,5.0
15,5.660899653979238,1000000.0,8.0,1.0,578.0,2.0,578000000.0,1.0,5.0
16,5.651041666666667,1000000.0,8.0,1.0,576.0,0.0,576000000.0,1.0,6.0
17,6.08994708994709,1000000.0,8.0,1.0,567.0,0.0,567000000.0,1.0,4.0
18,5.573943661971831,1000000.0,8.0,1.0,568.0,0.0,568000000.0,1.0,3.0
19,5.632246376811594,1000000.0,9.0,1.0,552.0,0.0,552000000.0,1.0,3.0
20,5.557319223985891,1000000.0,8.0,1.0,567.0,0.0,567000000.0,1.0,3.0
21,5.659050966608084,1000000.0,8.0,1.0,569.0,0.0,569000000.0,1.0,4.0
22,5.666098807495741,1000000.0,8.0,1.0,587.0,0.0,587000000.0,1.0,3.0
23,6.757469244288225,1000000.0,10.0,1.0,569.0,0.0,569000000.0,1.0,3.0
24,7.056140350877193,1000000.0,10.0,1.0,570.0,0.0,570000000.0,1.0,3.0
25,7.050966608084359,1000000.0,9.0,1.0,569.0,0.0,569000000.0,1.0,3.0
26,7.005008347245409,1000000.0,9.0,1.0,599.0,0.0,599000000.0,1.0,3.0
27,7.077834179357022,1000000.0,11.0,1.0,591.0,0.0,591000000.0,1.0,3.0
28,7.0,1000000.0,9.0,1.0,597.0,0.0,597000000.0,1.0,3.0
29,7.1792294807370185,1000000.0,11.0,1.0,597.0,0.0,597000000.0,1.0,4.0
30,7.123239436619718,1000000.0,11.0,1.0,568.0,0.0,568000000.0,1.0,3.0
31,7.07105719237435,1000000.0,9.0,1.0,577.0,0.0,577000000.0,1.0,3.0
32,7.003496503496503,1000000.0,11.0,1.0,572.0,0.0,572000000.0,1.0,3.0
33,7.078809106830122,1000000.0,10.0,1.0,571.0,0.0,571000000.0,1.0,3.0
34,7.109185441941075,1000000.0,10.0,1.0,577.0,0.0,577000000.0,1.0,3.0
35,7.147424511545293,1000000.0,10.0,1.0,563.0,0.0,563000000.0,1.0,3.0
36,7.2,1000000.0,10.0,1.0,575.0,0.0,575000000.0,1.0,3.0
37,6.685025817555938,1000000.0,10.0,1.0,581.0,0.0,581000000.0,1.0,3.0
38,5.541425818882466,1000000.0,8.0,1.0,519.0,16.0,519000000.0,1.0,4.0
39,5.05188679245283,1000000.0,7.0,1.0,212.0,0.0,212000000.0,1.0,3.0
40,4.9950248756218905,1000000.0,5.0,1.0,201.0,0.0,201000000.0,1.0,2.0
41,5.048076923076923,1000000.0,7.0,1.0,208.0,3.0,208000000.0,1.0,3.0
42,5.004761904761905,1000000.0,7.0,1.0,210.0,3.0,210000000.0,1.0,4.0
43,4.852216748768473,1000000.0,7.0,1.0,203.0,0.0,203000000.0,1.0,2.0
44,4.099056603773585,1000000.0,7.0,1.0,212.0,2.0,212000000.0,1.0,4.0
45,4.009950248756219,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
46,4.107476635514018,1000000.0,6.0,1.0,214.0,4.0,214000000.0,1.0,3.0
47,4.014778325123153,1000000.0,5.0,1.0,203.0,0.0,203000000.0,1.0,2.0
48,4.014925373134329,1000000.0,6.0,1.0,201.0,0.0,201000000.0,1.0,2.0
49,4.10377358490566,1000000.0,7.0,1.0,212.0,1.0,212000000.0,1.0,6.0
50,4.0245098039215685,1000000.0,6.0,1.0,204.0,0.0,204000000.0,1.0,3.0
51,4.052884615384615,1000000.0,6.0,1.0,208.0,1.0,208000000.0,1.0,4.0
52,4.06280193236715,1000000.0,6.0,1.0,207.0,1.0,207000000.0,1.0,4.0
53,4.874396135265701,1000000.0,6.0,1.0,207.0,1.0,207000000.0,1.0,5.0
54,5.004878048780488,1000000.0,6.0,1.0,205.0,0.0,205000000.0,1.0,4.0
55,5.776190476190476,1000000.0,8.0,1.0,210.0,1.0,210000000.0,1.0,4.0
56,5.971014492753623,1000000.0,7.0,1.0,207.0,1.0,207000000.0,1.0,4.0
57,5.942857142857143,1000000.0,7.0,1.0,210.0,3.0,210000000.0,1.0,4.0
58,5.9330143540669855,1000000.0,6.0,1.0,209.0,1.0,209000000.0,1.0,4.0
59,5.956730769230769,1000000.0,6.0,1.0,208.0,1.0,208000000.0,1.0,3.0
60,5.956310679611651,1000000.0,6.0,1.0,206.0,1.0,206000000.0,1.0,4.0
61,5.937799043062201,1000000.0,6.0,1.0,209.0,1.0,209000000.0,1.0,4.0
62,5.951690821256038,1000000.0,6.0,1.0,207.0,1.0,207000000.0,1.0,3.0
63,5.400735294117647,1000000.0,9.0,1.0,272.0,0.0,272000000.0,1.0,4.0
64,5.637901861252115,1000000.0,8.0,1.0,591.0,2.0,591000000.0,1.0,5.0
65,5.605851979345955,1000000.0,8.0,1.0,581.0,0.0,581000000.0,1.0,5.0
66,6.273037542662116,1000000.0,10.0,1.0,586.0,0.0,586000000.0,1.0,5.0
67,7.066439522998296,1000000.0,10.0,1.0,587.0,0.0,587000000.0,1.0,4.0
