idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,9.0,1000000.0,306505250.0,505504166.0,9.0,200.0,1.0,198998916.0,200.0,0.0,200000000.0,1.0,1.0
1,9.038461538461538,1000000.0,506507583.0,706505083.0,11.0,208.0,1.0,199997500.0,208.0,0.0,208000000.0,1.0,2.0
2,8.947368421052632,1000000.0,706507291.0,906504000.0,11.0,209.0,1.0,199996709.0,209.0,2.0,209000000.0,1.0,5.0
3,4.41,1000000.0,907507291.0,1105503958.0,9.0,200.0,1.0,197996667.0,200.0,0.0,200000000.0,1.0,2.0
4,5.038277511961723,1000000.0,1106507375.0,1305507250.0,9.0,209.0,1.0,198999875.0,209.0,0.0,209000000.0,1.0,5.0
5,5.95260663507109,1000000.0,1306507208.0,1506504083.0,7.0,211.0,1.0,199996875.0,211.0,2.0,211000000.0,1.0,4.0
6,5.985148514851486,1000000.0,1507504416.0,1706503958.0,6.0,202.0,1.0,198999542.0,202.0,0.0,202000000.0,1.0,2.0
7,4.389671361502347,1000000.0,1707507375.0,1906503958.0,7.0,213.0,1.0,198996583.0,213.0,2.0,213000000.0,1.0,4.0
8,4.99009900990099,1000000.0,1907507458.0,2106504041.0,5.0,202.0,1.0,198996583.0,202.0,0.0,202000000.0,1.0,3.0
9,5.028708133971292,1000000.0,2107507333.0,2305507375.0,6.0,209.0,1.0,198000042.0,209.0,1.0,209000000.0,1.0,3.0
10,6.450980392156863,1000000.0,2306507458.0,2506503958.0,7.0,204.0,1.0,199996500.0,204.0,0.0,204000000.0,1.0,4.0
11,4.109004739336493,1000000.0,2507507666.0,2705507125.0,7.0,211.0,1.0,197999459.0,211.0,3.0,211000000.0,1.0,3.0
12,4.014851485148514,1000000.0,2706507000.0,2905507375.0,6.0,202.0,1.0,199000375.0,202.0,0.0,202000000.0,1.0,3.0
13,4.586572438162544,1000000.0,2906507333.0,3105504750.0,8.0,283.0,1.0,198997417.0,283.0,1.0,283000000.0,1.0,5.0
14,5.671848013816926,1000000.0,3106507541.0,3305504625.0,9.0,579.0,1.0,198997084.0,579.0,1.0,579000000.0,1.0,5.0
15,5.660899653979238,1000000.0,3306507500.0,3506504333.0,8.0,578.0,1.0,199996833.0,578.0,2.0,578000000.0,1.0,5.0
16,5.651041666666667,1000000.0,3507507416.0,3706504833.0,8.0,576.0,1.0,198997417.0,576.0,0.0,576000000.0,1.0,6.0
17,6.08994708994709,1000000.0,3707504000.0,3905504250.0,8.0,567.0,1.0,198000250.0,567.0,0.0,567000000.0,1.0,4.0
18,5.573943661971831,1000000.0,3906507333.0,4105504458.0,8.0,568.0,1.0,198997125.0,568.0,0.0,568000000.0,1.0,3.0
19,5.632246376811594,1000000.0,4106507500.0,4306504083.0,9.0,552.0,1.0,199996583.0,552.0,0.0,552000000.0,1.0,3.0
20,5.557319223985891,1000000.0,4306505666.0,4506504541.0,8.0,567.0,1.0,199998875.0,567.0,0.0,567000000.0,1.0,3.0
21,5.659050966608084,1000000.0,4507504125.0,4706504291.0,8.0,569.0,1.0,199000166.0,569.0,0.0,569000000.0,1.0,4.0
22,5.666098807495741,1000000.0,4707507458.0,4906504416.0,8.0,587.0,1.0,198996958.0,587.0,0.0,587000000.0,1.0,3.0
23,6.757469244288225,1000000.0,4907504208.0,5105504750.0,10.0,569.0,1.0,198000542.0,569.0,0.0,569000000.0,1.0,3.0
24,7.056140350877193,1000000.0,5106507375.0,5306504750.0,10.0,570.0,1.0,199997375.0,570.0,0.0,570000000.0,1.0,3.0
25,7.050966608084359,1000000.0,5307504250.0,5505504208.0,9.0,569.0,1.0,197999958.0,569.0,0.0,569000000.0,1.0,3.0
26,7.005008347245409,1000000.0,5506507458.0,5705504500.0,9.0,599.0,1.0,198997042.0,599.0,0.0,599000000.0,1.0,3.0
27,7.077834179357022,1000000.0,5706507416.0,5906504208.0,11.0,591.0,1.0,199996792.0,591.0,0.0,591000000.0,1.0,3.0
28,7.0,1000000.0,5907504041.0,6105507708.0,9.0,597.0,1.0,198003667.0,597.0,0.0,597000000.0,1.0,3.0
29,7.1792294807370185,1000000.0,6106507458.0,6305504833.0,11.0,597.0,1.0,198997375.0,597.0,0.0,597000000.0,1.0,4.0
30,7.123239436619718,1000000.0,6306507291.0,6506504375.0,11.0,568.0,1.0,199997084.0,568.0,0.0,568000000.0,1.0,3.0
31,7.07105719237435,1000000.0,6507507541.0,6706504416.0,9.0,577.0,1.0,198996875.0,577.0,0.0,577000000.0,1.0,3.0
32,7.003496503496503,1000000.0,6707507416.0,6905504416.0,11.0,572.0,1.0,197997000.0,572.0,0.0,572000000.0,1.0,3.0
33,7.078809106830122,1000000.0,6906507375.0,7106504500.0,10.0,571.0,1.0,199997125.0,571.0,0.0,571000000.0,1.0,3.0
34,7.109185441941075,1000000.0,7107507458.0,7306504500.0,10.0,577.0,1.0,198997042.0,577.0,0.0,577000000.0,1.0,3.0
35,7.147424511545293,1000000.0,7307504125.0,7505507625.0,10.0,563.0,1.0,198003500.0,563.0,0.0,563000000.0,1.0,3.0
36,7.2,1000000.0,7506507375.0,7705507750.0,10.0,575.0,1.0,199000375.0,575.0,0.0,575000000.0,1.0,3.0
