idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,7.125,1000000.0,9.0,1.0,72.0,8.0,72000000.0,1.0,1.0
1,8.96078431372549,1000000.0,10.0,1.0,102.0,0.0,102000000.0,1.0,2.0
2,4.586956521739131,1000000.0,8.0,1.0,46.0,0.0,46000000.0,1.0,1.0
3,5.7317073170731705,1000000.0,9.0,1.0,41.0,1.0,41000000.0,1.0,2.0
4,3.311111111111111,1000000.0,9.0,1.0,90.0,0.0,90000000.0,1.0,1.0
5,8.472222222222221,1000000.0,10.0,1.0,36.0,0.0,36000000.0,1.0,1.0
6,4.166666666666667,1000000.0,8.0,1.0,54.0,0.0,54000000.0,1.0,1.0
7,2.643835616438356,1000000.0,8.0,1.0,73.0,1.0,73000000.0,1.0,2.0
8,1.52,1000000.0,9.0,1.0,75.0,0.0,75000000.0,1.0,2.0
9,3.183333333333333,1000000.0,8.0,1.0,60.0,0.0,60000000.0,1.0,1.0
10,1.1,1000000.0,8.0,1.0,70.0,0.0,70000000.0,1.0,1.0
11,5.102564102564102,1000000.0,8.0,1.0,78.0,1.0,78000000.0,1.0,1.0
12,1.7012987012987013,1000000.0,8.0,1.0,77.0,0.0,77000000.0,1.0,1.0
13,2.989010989010989,1000000.0,8.0,1.0,91.0,0.0,91000000.0,1.0,1.0
14,4.6571428571428575,1000000.0,8.0,1.0,70.0,0.0,70000000.0,1.0,1.0
15,7.677777777777778,1000000.0,9.0,1.0,90.0,0.0,90000000.0,1.0,2.0
16,8.511363636363637,1000000.0,11.0,1.0,88.0,0.0,88000000.0,1.0,1.0
17,8.876190476190477,1000000.0,11.0,1.0,105.0,1.0,105000000.0,1.0,1.0
18,8.798507462686567,1000000.0,11.0,1.0,134.0,13.0,134000000.0,1.0,2.0
19,8.305555555555555,1000000.0,10.0,1.0,36.0,26.0,36000000.0,1.0,3.0
20,8.785714285714286,1000000.0,10.0,1.0,14.0,3.0,14000000.0,1.0,3.0
21,8.571428571428571,1000000.0,9.0,1.0,7.0,2.0,7000000.0,1.0,3.0
22,9.0,1000000.0,10.0,1.0,5.0,0.0,5000000.0,1.0,2.0
23,8.571428571428571,1000000.0,9.0,1.0,7.0,2.0,7000000.0,1.0,2.0
24,8.571428571428571,1000000.0,9.0,1.0,7.0,1.0,7000000.0,1.0,4.0
25,8.571428571428571,1000000.0,9.0,1.0,7.0,2.0,7000000.0,1.0,2.0
26,8.5,1000000.0,9.0,1.0,4.0,1.0,4000000.0,1.0,3.0
27,8.4,1000000.0,9.0,1.0,5.0,0.0,5000000.0,1.0,3.0
28,8.8,1000000.0,9.0,1.0,5.0,1.0,5000000.0,1.0,2.0
29,8.6,1000000.0,9.0,1.0,5.0,0.0,5000000.0,1.0,3.0
30,7.4,1000000.0,9.0,1.0,5.0,1.0,5000000.0,1.0,3.0
31,8.571428571428571,1000000.0,9.0,1.0,7.0,0.0,7000000.0,1.0,3.0
32,8.4,1000000.0,9.0,1.0,5.0,0.0,5000000.0,1.0,3.0
