idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,7.125,1000000.0,914891250.0,1114889041.0,9.0,72.0,1.0,199997791.0,72.0,8.0,72000000.0,1.0,1.0
1,8.96078431372549,1000000.0,1115889083.0,1310889250.0,10.0,102.0,1.0,195000167.0,102.0,0.0,102000000.0,1.0,2.0
2,4.586956521739131,1000000.0,1317886416.0,1508890625.0,8.0,46.0,1.0,191004209.0,46.0,0.0,46000000.0,1.0,1.0
3,5.7317073170731705,1000000.0,1516888958.0,1712889708.0,9.0,41.0,1.0,196000750.0,41.0,1.0,41000000.0,1.0,2.0
4,3.311111111111111,1000000.0,1720888791.0,1909886208.0,9.0,90.0,1.0,188997417.0,90.0,0.0,90000000.0,1.0,1.0
5,8.472222222222221,1000000.0,1926890166.0,2110889375.0,10.0,36.0,1.0,183999209.0,36.0,0.0,36000000.0,1.0,1.0
6,4.166666666666667,1000000.0,2115889333.0,2313886625.0,8.0,54.0,1.0,197997292.0,54.0,0.0,54000000.0,1.0,1.0
7,2.643835616438356,1000000.0,2320888416.0,2510887000.0,8.0,73.0,1.0,189998584.0,73.0,1.0,73000000.0,1.0,2.0
8,1.52,1000000.0,2520886708.0,2714889583.0,9.0,75.0,1.0,194002875.0,75.0,0.0,75000000.0,1.0,2.0
9,3.183333333333333,1000000.0,2715888083.0,2914886625.0,8.0,60.0,1.0,198998542.0,60.0,0.0,60000000.0,1.0,1.0
10,1.1,1000000.0,2919889791.0,3113887958.0,8.0,70.0,1.0,193998167.0,70.0,0.0,70000000.0,1.0,1.0
11,5.102564102564102,1000000.0,3118889291.0,3311889166.0,8.0,78.0,1.0,192999875.0,78.0,1.0,78000000.0,1.0,1.0
12,1.7012987012987013,1000000.0,3317891041.0,3514887041.0,8.0,77.0,1.0,196996000.0,77.0,0.0,77000000.0,1.0,1.0
13,2.989010989010989,1000000.0,3517887208.0,3714889708.0,8.0,91.0,1.0,197002500.0,91.0,0.0,91000000.0,1.0,1.0
14,4.6571428571428575,1000000.0,3715886250.0,3914886458.0,8.0,70.0,1.0,199000208.0,70.0,0.0,70000000.0,1.0,1.0
15,7.677777777777778,1000000.0,3915886541.0,4113886125.0,9.0,90.0,1.0,197999584.0,90.0,0.0,90000000.0,1.0,2.0
16,8.511363636363637,1000000.0,4117886333.0,4314885875.0,11.0,88.0,1.0,196999542.0,88.0,0.0,88000000.0,1.0,1.0
17,8.876190476190477,1000000.0,4315889166.0,4514885875.0,11.0,105.0,1.0,198996709.0,105.0,1.0,105000000.0,1.0,1.0
