idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
1,6.455,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
2,6.56,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
3,6.556962025316456,1000000.0,8.0,1.0,395.0,0.0,395000000.0,1.0,2.0
4,6.089775561097257,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
5,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
6,6.246268656716418,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
7,6.496240601503759,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
8,6.503740648379052,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
9,6.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
10,6.503759398496241,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
11,6.87468671679198,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
12,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
13,6.992518703241895,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,3.0
14,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
15,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
16,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
17,7.002493765586035,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
18,6.99749373433584,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
19,7.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
20,7.05,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
21,7.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
22,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
23,7.266832917705735,1000000.0,10.0,1.0,401.0,0.0,401000000.0,1.0,2.0
24,7.994987468671679,1000000.0,10.0,1.0,399.0,0.0,399000000.0,1.0,2.0
25,6.95,1000000.0,10.0,1.0,400.0,0.0,400000000.0,1.0,2.0
26,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
27,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
28,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
29,6.231155778894473,1000000.0,10.0,1.0,398.0,0.0,398000000.0,1.0,2.0
30,5.99501246882793,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
31,6.042606516290727,1000000.0,11.0,1.0,399.0,0.0,399000000.0,1.0,2.0
32,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
33,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
34,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
35,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
36,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
37,6.00498753117207,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
38,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
39,5.994987468671679,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
40,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
41,5.994987468671679,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
42,6.005012531328321,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
43,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
44,5.99749373433584,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,3.0
45,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
46,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
47,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
48,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
49,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
50,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
51,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
52,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
53,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
54,6.194513715710723,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
55,6.503759398496241,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
56,6.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
57,6.132169576059851,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
58,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
59,5.99501246882793,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
60,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
61,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
62,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
63,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
64,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
65,5.994987468671679,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
66,6.658354114713217,1000000.0,10.0,1.0,401.0,0.0,401000000.0,1.0,2.0
67,7.0,1000000.0,10.0,1.0,400.0,0.0,400000000.0,1.0,2.0
68,6.265,1000000.0,10.0,1.0,400.0,0.0,400000000.0,1.0,2.0
69,5.994987468671679,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
70,6.00498753117207,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
71,6.007518796992481,1000000.0,9.0,1.0,399.0,0.0,399000000.0,1.0,3.0
72,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
73,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
74,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
75,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
76,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
77,6.0725,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
78,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
79,6.044776119402985,1000000.0,11.0,1.0,402.0,0.0,402000000.0,1.0,2.0
80,7.040201005025126,1000000.0,11.0,1.0,398.0,0.0,398000000.0,1.0,2.0
81,7.5,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
82,7.491271820448878,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,3.0
83,7.5,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
84,7.5,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
85,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
86,7.5,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
87,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
88,7.5,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
89,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
90,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
91,7.5,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
92,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
93,7.5,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
94,7.5,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
95,7.5,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
96,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
97,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
98,7.5,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
99,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
100,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
101,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
102,6.0525,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
103,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
104,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
105,6.793532338308458,1000000.0,11.0,1.0,402.0,0.0,402000000.0,1.0,2.0
106,6.072681704260652,1000000.0,11.0,1.0,399.0,0.0,399000000.0,1.0,2.0
107,5.989949748743719,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
108,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
109,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
110,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
111,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
112,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
113,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
114,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
115,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
116,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
117,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
118,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
119,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
120,6.005012531328321,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
121,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
122,5.99501246882793,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
123,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
124,5.997506234413965,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,3.0
125,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
126,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
127,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
128,6.00498753117207,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
129,5.994987468671679,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
