idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
1,6.293233082706767,1000000.0,10.0,1.0,399.0,0.0,399000000.0,1.0,2.0
2,7.090452261306533,1000000.0,9.0,1.0,398.0,0.0,398000000.0,1.0,3.0
3,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
4,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
5,6.8922305764411025,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
6,5.99501246882793,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,2.0
7,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
8,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
9,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
10,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
11,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
12,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
13,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
14,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
15,6.005012531328321,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
16,6.440298507462686,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,3.0
17,7.5,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
18,7.5,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
19,7.5,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
20,7.1175,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
21,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
22,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
23,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
24,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
25,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
26,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
27,6.731155778894473,1000000.0,11.0,1.0,398.0,0.0,398000000.0,1.0,2.0
28,7.0,1000000.0,10.0,1.0,402.0,0.0,402000000.0,1.0,2.0
29,6.785,1000000.0,10.0,1.0,400.0,0.0,400000000.0,1.0,2.0
30,6.005012531328321,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,2.0
31,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
32,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
33,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
34,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
35,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
36,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
37,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
38,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
39,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
40,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
41,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
42,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
43,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
44,6.338308457711443,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
45,7.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
46,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
47,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
48,7.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
49,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
50,7.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
51,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
52,6.99501246882793,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,3.0
53,6.935,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
54,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
55,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
56,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
57,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
58,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
59,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
60,6.5376884422110555,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
61,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
62,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
63,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
64,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
65,7.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
66,7.005012531328321,1000000.0,9.0,1.0,399.0,0.0,399000000.0,1.0,3.0
67,7.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
68,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
69,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
70,7.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
71,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
72,6.119402985074627,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
73,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
74,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
75,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
76,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
77,6.022388059701493,1000000.0,9.0,1.0,402.0,0.0,402000000.0,1.0,2.0
78,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
79,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
80,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
81,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
82,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
83,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
84,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
85,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
86,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
87,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
88,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
89,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
90,6.0,1000000.0,8.0,1.0,401.0,0.0,401000000.0,1.0,3.0
91,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
92,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
93,6.45273631840796,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
94,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
95,7.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
96,6.225,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
97,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
98,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
99,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
100,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
101,5.99749373433584,1000000.0,8.0,1.0,399.0,0.0,399000000.0,1.0,3.0
102,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
103,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
104,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
105,6.105527638190955,1000000.0,9.0,1.0,398.0,0.0,398000000.0,1.0,2.0
106,6.470149253731344,1000000.0,9.0,1.0,402.0,0.0,402000000.0,1.0,2.0
107,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
108,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
109,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
110,6.304239401496259,1000000.0,10.0,1.0,401.0,0.0,401000000.0,1.0,3.0
111,7.0,1000000.0,10.0,1.0,400.0,0.0,400000000.0,1.0,2.0
112,7.0,1000000.0,10.0,1.0,398.0,0.0,398000000.0,1.0,2.0
113,7.0,1000000.0,10.0,1.0,400.0,0.0,400000000.0,1.0,2.0
114,7.0,1000000.0,10.0,1.0,402.0,0.0,402000000.0,1.0,2.0
115,7.0,1000000.0,10.0,1.0,398.0,0.0,398000000.0,1.0,2.0
116,6.982587064676617,1000000.0,10.0,1.0,402.0,0.0,402000000.0,1.0,2.0
117,6.506265664160401,1000000.0,9.0,1.0,399.0,0.0,399000000.0,1.0,2.0
118,6.493765586034913,1000000.0,9.0,1.0,401.0,0.0,401000000.0,1.0,2.0
119,6.5,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
120,6.5,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
121,6.5,1000000.0,9.0,1.0,398.0,0.0,398000000.0,1.0,2.0
122,6.5,1000000.0,9.0,1.0,402.0,0.0,402000000.0,1.0,2.0
123,6.493734335839599,1000000.0,9.0,1.0,399.0,0.0,399000000.0,1.0,2.0
124,6.5,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
125,6.5,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
126,6.506234413965087,1000000.0,9.0,1.0,401.0,0.0,401000000.0,1.0,2.0
127,6.5,1000000.0,9.0,1.0,398.0,0.0,398000000.0,1.0,2.0
128,6.565,1000000.0,9.0,1.0,400.0,0.0,400000000.0,1.0,2.0
129,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
130,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
131,6.135,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
132,7.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
133,6.628140703517588,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
134,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
135,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
136,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
137,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
138,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
139,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
140,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
141,6.08457711442786,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
142,7.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
143,6.756218905472637,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
144,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
145,6.007444168734492,1000000.0,9.0,1.0,403.0,0.0,403000000.0,1.0,3.0
146,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
147,6.0,1000000.0,8.0,1.0,398.0,0.0,398000000.0,1.0,2.0
148,6.0,1000000.0,8.0,1.0,402.0,0.0,402000000.0,1.0,2.0
149,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
150,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
151,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
152,6.0,1000000.0,8.0,1.0,400.0,0.0,400000000.0,1.0,2.0
