idx,avg_core_id,avg_weight_ns,first_sample_time_ns,last_sample_time_ns,max_core_id,running_count,running_fraction,sample_span_ns,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,9.126829268292685,1000000.0,283393791.0,483393541.0,11.0,205.0,1.0,199999750.0,205.0,0.0,205000000.0,1.0,7.0
1,8.91826923076923,1000000.0,484393375.0,683393458.0,11.0,208.0,1.0,199000083.0,208.0,0.0,208000000.0,1.0,7.0
2,8.87192118226601,1000000.0,684390250.0,883390208.0,11.0,203.0,1.0,198999958.0,203.0,0.0,203000000.0,1.0,7.0
3,9.106060606060606,1000000.0,884390291.0,1083390291.0,11.0,198.0,1.0,199000000.0,198.0,0.0,198000000.0,1.0,6.0
4,8.802884615384615,1000000.0,1084393708.0,1283393375.0,11.0,208.0,1.0,198999667.0,208.0,0.0,208000000.0,1.0,8.0
5,8.115,1000000.0,1284390041.0,1482390458.0,11.0,200.0,1.0,198000417.0,200.0,0.0,200000000.0,1.0,7.0
6,4.548543689320389,1000000.0,1483393958.0,1682390458.0,10.0,206.0,1.0,198996500.0,206.0,0.0,206000000.0,1.0,8.0
7,4.311881188118812,1000000.0,1683393791.0,1883390208.0,7.0,202.0,1.0,199996417.0,202.0,0.0,202000000.0,1.0,7.0
8,4.669902912621359,1000000.0,1884393625.0,2083393708.0,7.0,206.0,1.0,199000083.0,206.0,0.0,206000000.0,1.0,7.0
9,5.135,1000000.0,2084390250.0,2283393583.0,7.0,200.0,1.0,199003333.0,200.0,0.0,200000000.0,1.0,7.0
10,4.443349753694581,1000000.0,2284390041.0,2483390000.0,7.0,203.0,1.0,198999959.0,203.0,0.0,203000000.0,1.0,7.0
11,4.980487804878049,1000000.0,2484393708.0,2683390291.0,7.0,205.0,1.0,198996583.0,205.0,0.0,205000000.0,1.0,7.0
12,4.5588235294117645,1000000.0,2684390166.0,2883393583.0,7.0,204.0,1.0,199003417.0,204.0,0.0,204000000.0,1.0,7.0
13,4.751243781094527,1000000.0,2884393583.0,3083390041.0,7.0,201.0,1.0,198996458.0,201.0,0.0,201000000.0,1.0,7.0
14,4.436893203883495,1000000.0,3084393375.0,3283390041.0,7.0,206.0,1.0,198996666.0,206.0,0.0,206000000.0,1.0,7.0
15,4.650246305418719,1000000.0,3284393583.0,3483393458.0,7.0,203.0,1.0,198999875.0,203.0,0.0,203000000.0,1.0,7.0
16,5.0,1000000.0,3484390000.0,3683390208.0,9.0,201.0,1.0,199000208.0,201.0,0.0,201000000.0,1.0,7.0
17,4.9411764705882355,1000000.0,3684390083.0,3883390250.0,9.0,204.0,1.0,199000167.0,204.0,0.0,204000000.0,1.0,7.0
18,4.660194174757281,1000000.0,3884393583.0,4083390000.0,6.0,206.0,1.0,198996417.0,206.0,0.0,206000000.0,1.0,6.0
19,4.733990147783251,1000000.0,4084393666.0,4283390041.0,7.0,203.0,1.0,198996375.0,203.0,0.0,203000000.0,1.0,7.0
20,4.5588235294117645,1000000.0,4284393416.0,4483390041.0,7.0,204.0,1.0,198996625.0,204.0,0.0,204000000.0,1.0,7.0
21,4.980295566502463,1000000.0,4484393666.0,4683390041.0,7.0,203.0,1.0,198996375.0,203.0,0.0,203000000.0,1.0,7.0
22,4.47,1000000.0,4684393416.0,4883393500.0,9.0,200.0,1.0,199000084.0,200.0,0.0,200000000.0,1.0,7.0
23,4.561576354679803,1000000.0,4884390041.0,5083390041.0,7.0,203.0,1.0,199000000.0,203.0,0.0,203000000.0,1.0,7.0
24,4.892156862745098,1000000.0,5084390333.0,5283393666.0,7.0,204.0,1.0,199003333.0,204.0,0.0,204000000.0,1.0,8.0
25,4.7,1000000.0,5284393416.0,5483393458.0,7.0,200.0,1.0,199000042.0,200.0,0.0,200000000.0,1.0,6.0
26,5.029411764705882,1000000.0,5484390375.0,5683390041.0,7.0,204.0,1.0,198999666.0,204.0,0.0,204000000.0,1.0,7.0
27,4.779411764705882,1000000.0,5684393666.0,5883390041.0,7.0,204.0,1.0,198996375.0,204.0,0.0,204000000.0,1.0,7.0
28,4.908212560386473,1000000.0,5884393500.0,6083393625.0,7.0,207.0,1.0,199000125.0,207.0,0.0,207000000.0,1.0,8.0
29,4.682926829268292,1000000.0,6084390041.0,6283393416.0,7.0,205.0,1.0,199003375.0,205.0,0.0,205000000.0,1.0,7.0
30,4.815533980582524,1000000.0,6284390041.0,6483390041.0,7.0,206.0,1.0,199000000.0,206.0,0.0,206000000.0,1.0,9.0
31,4.614634146341463,1000000.0,6484390000.0,6683393375.0,11.0,205.0,1.0,199003375.0,205.0,0.0,205000000.0,1.0,7.0
32,5.122549019607843,1000000.0,6684393541.0,6883393458.0,7.0,204.0,1.0,198999917.0,204.0,0.0,204000000.0,1.0,7.0
33,4.936893203883495,1000000.0,6884393333.0,7083390583.0,7.0,206.0,1.0,198997250.0,206.0,0.0,206000000.0,1.0,7.0
34,4.878048780487805,1000000.0,7084393791.0,7283390291.0,7.0,205.0,1.0,198996500.0,205.0,0.0,205000000.0,1.0,7.0
35,4.758620689655173,1000000.0,7284393583.0,7483393375.0,7.0,203.0,1.0,198999792.0,203.0,0.0,203000000.0,1.0,7.0
36,4.657004830917875,1000000.0,7484393583.0,7683390583.0,7.0,207.0,1.0,198997000.0,207.0,0.0,207000000.0,1.0,7.0
37,5.313432835820896,1000000.0,7684390375.0,7883393541.0,7.0,201.0,1.0,199003166.0,201.0,0.0,201000000.0,1.0,7.0
38,4.512315270935961,1000000.0,7884390041.0,8083393541.0,7.0,203.0,1.0,199003500.0,203.0,0.0,203000000.0,1.0,7.0
39,4.845410628019324,1000000.0,8084390041.0,8283393583.0,7.0,207.0,1.0,199003542.0,207.0,0.0,207000000.0,1.0,8.0
40,7.151960784313726,1000000.0,8284393583.0,8483390416.0,11.0,204.0,1.0,198996833.0,204.0,0.0,204000000.0,1.0,7.0
41,8.819512195121952,1000000.0,8484393666.0,8683393416.0,11.0,205.0,1.0,198999750.0,205.0,0.0,205000000.0,1.0,7.0
42,8.801980198019802,1000000.0,8684390041.0,8883393375.0,11.0,202.0,1.0,199003334.0,202.0,0.0,202000000.0,1.0,7.0
43,9.111650485436892,1000000.0,8884393583.0,9083390000.0,11.0,206.0,1.0,198996417.0,206.0,0.0,206000000.0,1.0,7.0
44,8.834146341463414,1000000.0,9084393500.0,9283390000.0,11.0,205.0,1.0,198996500.0,205.0,0.0,205000000.0,1.0,7.0
