idx,avg_core_id,avg_weight_ns,max_core_id,running_fraction,samples_per_bucket,sentinel_count,total_weight_ns,unique_process_count,unique_thread_count
0,8.726027397260275,1000000.0,10.0,1.0,219.0,0.0,219000000.0,1.0,2.0
1,6.8812785388127855,1000000.0,9.0,1.0,219.0,0.0,219000000.0,1.0,2.0
2,4.607305936073059,1000000.0,7.0,1.0,219.0,0.0,219000000.0,1.0,2.0
3,4.658767772511848,1000000.0,6.0,1.0,211.0,0.0,211000000.0,1.0,2.0
4,5.0,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
5,4.895734597156398,1000000.0,6.0,1.0,211.0,0.0,211000000.0,1.0,2.0
6,4.757009345794392,1000000.0,6.0,1.0,214.0,0.0,214000000.0,1.0,2.0
7,4.796296296296297,1000000.0,6.0,1.0,216.0,0.0,216000000.0,1.0,2.0
8,4.714285714285714,1000000.0,5.0,1.0,217.0,0.0,217000000.0,1.0,2.0
9,4.806603773584905,1000000.0,6.0,1.0,212.0,0.0,212000000.0,1.0,2.0
10,4.921658986175115,1000000.0,7.0,1.0,217.0,0.0,217000000.0,1.0,3.0
11,4.741935483870968,1000000.0,5.0,1.0,217.0,0.0,217000000.0,1.0,2.0
12,4.789954337899544,1000000.0,6.0,1.0,219.0,0.0,219000000.0,1.0,2.0
13,4.809302325581395,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
14,4.7953488372093025,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
15,4.7695852534562215,1000000.0,6.0,1.0,217.0,0.0,217000000.0,1.0,2.0
16,4.843601895734597,1000000.0,6.0,1.0,211.0,0.0,211000000.0,1.0,2.0
17,4.796296296296297,1000000.0,7.0,1.0,216.0,0.0,216000000.0,1.0,2.0
18,4.872641509433962,1000000.0,8.0,1.0,212.0,0.0,212000000.0,1.0,2.0
19,4.764150943396227,1000000.0,6.0,1.0,212.0,0.0,212000000.0,1.0,2.0
20,4.917050691244239,1000000.0,6.0,1.0,217.0,0.0,217000000.0,1.0,2.0
21,4.748858447488584,1000000.0,6.0,1.0,219.0,0.0,219000000.0,1.0,2.0
22,4.767441860465116,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
23,4.837209302325581,1000000.0,7.0,1.0,215.0,0.0,215000000.0,1.0,2.0
24,4.8604651162790695,1000000.0,6.0,1.0,215.0,0.0,215000000.0,1.0,2.0
25,4.780373831775701,1000000.0,6.0,1.0,214.0,0.0,214000000.0,1.0,2.0
26,4.855203619909502,1000000.0,6.0,1.0,221.0,0.0,221000000.0,1.0,2.0
27,4.766355140186916,1000000.0,6.0,1.0,214.0,0.0,214000000.0,1.0,2.0
28,4.816901408450704,1000000.0,5.0,1.0,213.0,0.0,213000000.0,1.0,2.0
29,4.852534562211981,1000000.0,6.0,1.0,217.0,0.0,217000000.0,1.0,2.0
